MatchNumber,Date,HomeTeam,AwayTeam,HomeLineup,AwayLineup
24,2023-08-26,Granada,Mallorca,"raul fernandez, carlos neva, ignasi miquel, miguel rubio, ricard sanchez, jose callejon, sergio ruiz, gerard gumbau, oscar melendo, bryan zaragoza, myrto uzuni","predrag rakjovic, pablo maffeo, giovanni gonzalez, martin valjent, jose copete, toni lato, dani rodriguez, omar mascarell, sergi darder, vedat muriqi, abdon prats"
25,2023-08-26,Sevilla,Girona,"marko dmitrovic, adria pedrosa, nemanja gudelj, loic bade, jesus navas, ivan rakitic, djibril sow, lucas ocampos, oliver torres, suso, youssef en-nesyri","paulo gazzaniga, arnau martinez, david lopez, daley blind, miguel gutierrez, aleix garcia, viktor tsygankov, yangel herrera, ivan martin, savinho, christian stuani"
26,2023-08-27,Villarreal,Barcelona,"filip jorgensen, alfonso pedraza, jorge cuenca, matteo gabbia, juan foyth, alex baena, dani parejo, etienne capoue, ramon terrats, alexander sorloth, gerard moreno","marc-andre ter stegen, sergi roberto, jules kounde, andreas christensen, marcos alonso, ilkay gundogan, oriol romeu, frenkie de jong, lamine yamal, robert lewandowski, gavi"
27,2023-08-27,Valencia,Osasuna,"giorgi mamardashvili, jose luis gaya, cenk ozkaçar, gabriel paulista, thierry correia, diego lopez, mouctar diakhaby, pepelu, fran perez, hugo duro, javi guerra","sergio herrera, jesus areso, alejandro catena, david garcia, juan cruz, pablo ibañez, iker muñoz, aimar oroz, kike barja, raul garcia, jose manuel arnaiz"
28,2023-08-27,Athletic,Real Betis,"unai simon, imanol garcia de albeniz, aitor paredes, dani vivian, iñigo lekue, iñigo ruiz de galarreta, mikel vesga, nico williams, iker muniain, iñaki williams, gorka guruzeta","rui silva, youssouf sabaly, german pezzella, luiz felipe, abner, guido rodriguez, marc roca, aitor ruibal, isco, ayoze perez, willian jose"
29,2023-08-28,Getafe,Alavés,"david soria, gaston alvarez, stefan mitrovic, domingos duarte, damian suarez, jaime mata, djene, nemanja maksimovic, juan iglesias, borja mayoral, juanmi latasa","antonio sivera, andoni gorosabel, abdel abqar, aleksandar sedlar, ruben duarte, ander guevara, carlos protesoni, jon guridi, xeber alkain, kike garcia, luis rioja"
30,2023-08-28,Rayo Vallecano,Atlético,"stole dimitrievski, alfonso espino, florian lejeune, aridane hernandez, ivan balliu, oscar valentin, unai lopez, alvaro garcia, oscar trejo, isi palazon, raul de tomas","jan oblak, nahuel molina, stefan savic, axel witsel, mario hermoso, yannick carrasco, rodrigo de paul, pablo barrios, saul ñiguez, antoine griezmann, memphis depay"
31,2023-09-01,Cádiz,Villarreal,"conan ledesma, javier hernandez, fali, luis hernandez, iza carcelen, darwin machis, gonzalo escalante, ruben alcaraz, ivan alejo, chris ramos, roger marti","filip jorgensen, juan foyth, raul albiol, jorge cuenca, alfonso pedraza, ramon terrats, denis suarez, alex baena, gerard moreno, alexander sorloth, yeremy pino"
32,2023-09-01,Almería,Celta,"luis maximiano, sergio akieme, kaiky, chumi, marc pubill, iddrisu baba, lucas robertone, largie ramazani, gonzalo melero, adrian embarba, luis suarez","ivan villar, oscar mingueza, unai nuñez, carl starfelt, carlos dominguez, manu sanchez, jorgen strand larsen, fran beltran, luca de la torre, jonathan bamba, iago aspas"
33,2023-09-02,R. Sociedad,Granada,"alex remiro, kieran tierney, robin le normand, igor zubeldia, hamari traore, mikel merino, martin zubimendi, brais mendez, ander barrenetxea, mikel oyarzabal, takefusa kubo","raul fernandez, victor diaz, miguel rubio, ignasi miquel, jose callejon, sergio ruiz, gerard gumbau, carlos neva, myrto uzuni, lucas boye, bryan zaragoza"
34,2023-09-02,Real Madrid,Getafe,"kepa arrizabalaga, fran garcia, david alaba, antonio rudiger, daniel carvajal, eduardo camavinga, aurelien tchouameni, luka modric, jude bellingham, rodrygo, joselu","david soria, damian suarez, domingos duarte, stefan mitrovic, gaston alvarez, djene, carles aleña, omar alderete, nemanja maksimovic, borja mayoral, juanmi latasa"
35,2023-09-02,Alavés,Valencia,"antonio sivera, ruben duarte, alekansdar sedlar, rafa marin, andoni gorosabel, antonio blanco, ander guevara, luis rioja, jon guridi, xeber alkain, kike garcia","giorgi mamardashvili, dimitri foulquier, mouctar diakhaby, cenk ozkaçar, jose luis gaya, thierry correia, javi guerra, pepelu, diego lopez, andre almeida, hugo duro"
36,2023-09-02,Real Betis,Rayo Vallecano,"rui silva, juan miranda, luiz felipe, german pezzella, hector bellerin, marc roca, guido rodriguez, ayoze perez, isco, rodri sanchez, willian jose","stole dimitrievski, ivan balliu, aridane hernandez, florian lejeune, alfonso espino, isi palazon, pathe ciss, oscar valentin, alvaro garcia, raul de tomas, randy nteka"
37,2023-09-03,Girona,Las Palmas,"paulo gazzaniga, miguel gutierrez, daley blind, david lopez, arnau martinez, aleix garcia, savinho, ivan martin, yangel herrera, viktor tsygankov, christian stuani","alvaro valles, julian araujo, alex suarez, mika marmol, sergi cardona, enzo loiodice, kirian rodriguez, pejiño, jonathan viera, munir el haddadi, sory kaba"
38,2023-09-03,Mallorca,Athletic,"predrag rajkovic, toni lato, siebe van der heyden, martin valjent, giovanni gonzalez, pablo maffeo, sergi darder, samu costa, dani rodriguez, vedat muriqi, cyle larin","unai simon, iñigo lekue, dani vivian, aitor paredes, yuri berchiche, iñigo ruiz de galarreta, mikel vesga, iñaki williams, oihan sancet, nico williams, gorka guruzeta"
39,2023-09-03,Osasuna,Barcelona,"aitor fernandez, juan cruz, jorge herrando, alejandro catena, jesus areso, iker muñoz, jose manuel arnaiz, aimar oroz, pablo ibañez, ruben garcia, raul garcia","marc-andre ter stegen, sergi roberto, jules kounde, andreas christensen, alejandro balde, frenkie de jong, oriol romeu, ilkay gundogan, lamine yamal, robert lewandowski, gavi"
40,2023-12-23,Atlético,Sevilla,"jan oblak, samuel lino, cesar azpilicueta, jose maria gimenez, axel witsel, nahuel molina, rodrigo riquelme, koke, rodrigo de paul, antoine griezmann, alvaro morata","marko dmitrovic, nemanja gudelj, sergio ramos, kike salas, juanlu sanchez, oliver torres, boubakary soumare, ivan rakitic, adria pedrosa, suso, lucas ocampos"
41,2023-09-15,Rayo Vallecano,Alavés,"stole dimitrievski, alfonso espino, florian lejeune, aridane hernandez, ivan balliu, unai lopez, oscar valentin, alvaro garcia, kike perez, isi palazon, sergio camello","antonio sivera, andoni gorosabel, abdel abqar, rafa marin, ruben duarte, ander guevara, antonio blanco, alex sola, jon guridi, luis rojas, kike garcia"
42,2023-09-16,Athletic,Cádiz,"unai simon, yuri berchiche, aitor paredes, dani vivian, oscar de marcos, iñigo ruiz de galarreta, mikel vesga, alex berenguer, oihan sancet, iñaki williams, gorka guruzeta","conan ledesma, iza carcelen, luis hernandez, fali, javier hernandez, ivan alejo, ruben alcaraz, gonzalo escalante, ruben sobrino, chris ramos, roger marti"
43,2023-09-16,Valencia,Atlético,"giorgi mamardashvili, jose luis gaya, mouctar diakhaby, cristhian mosquera, thierry correia, javi guerra, pepelu, sergi canos, andre almeida, fran perez, hugo duro","jan oblak, cesar azpilicueta, stefan savic, axel witsel, mario hermoso, rodrigo riquelme, marcos llorente, pablo barrios, thomas lemar, antoine griezmann, alvaro morata"
44,2023-09-16,Celta,Mallorca,"ivan villar, carlos dominguez, carl starfelt, unai nuñez, mihailo ristic, luca de la torre, fran beltran, oscar mingueza, jonathan bamba, iago aspas, jorgen strand larsen","predrag rajkovic, pablo maffeo, martin valjent, matija nastasic, siebe van der heyden, toni lato, dani rodriguez, manu morlanes, samu costa, sergi darder, vedat muriqi"
45,2023-09-16,Barcelona,Real Betis,"marc-andre ter stegen, alejandro balde, andreas christensen, jules kounde, joao cancelo, frenkie de jong, oriol romeu, gavi, joao felix, robert lewandowski, ferran torres","rui silva, hector bellerin, marc bartra, chadi riad, juan miranda, sergi altimira, marc roca, luiz henrique, isco, ayoze perez, willian jose"
46,2023-09-17,Getafe,Osasuna,"david soria, diego rico, stefan mitrovic, domingos duarte, damian suarez, jaime mata, nemanja maksimovic, djene, jose angel carmona, juanmi latasa, borja mayoral","sergio herrera, ruben peña, david garcia, jorge herrando, juan cruz, aimar oroz, iker muñoz, moi gomez, chimy avila, ante budimir, kike barja"
47,2023-09-17,Villarreal,Almería,"filip jorgensen, carlos romero, matteo gabbia, raul albiol, juan foyth, etienne capoue, dani parejo, alex baena, gerard moreno, yeremy pino, alexander sorloth","luis maximiano, chumi, cesar montes, edgar gonzalez, sergio akieme, dion lopy, lucas robertone, adrian embarba, gonzalo melero, sergio arribas, luis suarez"
48,2023-09-17,Sevilla,Las Palmas,"marko dmitrovic, adria pedrosa, sergio ramos, loic bade, jesus navas, ivan rakitic, djibril sow, lucas ocampos, oliver torres, suso, rafa mir","alvaro valles, julian araujo, alex suarez, mika marmol, sergi cardona, enzo loiodice, kirian rodriguez, munir el haddadi, jonathan viera, sandro ramirez, sory kaba"
49,2023-09-17,Real Madrid,R. Sociedad,"kepa arrizabalaga, fran garcia, david alaba, antonio rudiger, daniel carvajal, toni kroos, aurelien tchouameni, federico valverde, jude bellingham, joselu, rodrygo","alex remiro, hamari traore, igor zubeldia, robin le normand, kieran tierney, brais mendez, martin zubimendi, mikel merino, takefusa kubo, mikel oyarzabal, ander barrenetxea"
50,2023-09-18,Granada,Girona,"raul fernandez, carlos neva, ignasi miquel, victor diaz, ricard sanchez, jose callejon, gerard gumbau, oscar melendo, bryan zaragoza, lucas boye, myrto uzuni","paulo gazzaniga, yan couto, eric garcia, daley blind, miguel gutierrez, david lopez, viktor tsygankov, ivan martin, aleix garcia, savinho, artem dovbyk"
51,2023-09-22,Alavés,Athletic,"antonio sivera, ruben duarte, aleksandar sedlar, abdel abqar, andoni gorosabel, ander guevara, carlos protesoni, luis rioja, ianis hagi, alex sola, kike garcia","unai simon, oscar de marcos, dani vivian, aitor paredes, yuri berchiche, mikel vesga, iñigo ruiz de galarreta, iñaki williams, oihan sancet, alex berenguer, gorka guruzeta"
52,2023-09-23,Girona,Mallorca,"paulo gazzaniga, daley blind, david lopez, eric garcia, yan couto, aleix garcia, savinho, ivan martin, yangel herrera, viktor tsygankov, artem dovbyk","predrag rajkovic, pablo maffeo, martin valjent, matija nastasic, siebe van der heyden, jaume costa, dani rodriguez, manu morlanes, samu costa, sergi darder, vedat muriqi"
53,2023-09-23,Osasuna,Sevilla,"sergio herrera, juan cruz, david garcia, alejandro catena, ruben peña, aimar oroz, lucas torro, iker muñoz, johan mojica, ante budimir, chimy avila","orjan nyland, juanlu sanchez, loic bade, nemanja gudelj, kike salas, joan jordan, ivan rakitic, lucas ocampos, oliver torres, dodi lukebakio, rafa mir"
54,2023-09-23,Barcelona,Celta,"marc-andre ter stegen, marcos alonso, andreas christensen, jules kounde, joao cancelo, frenkie de jong, oriol romeu, ilkay gundogan, joao felix, robert lewandowski, ferran torres","ivan villar, oscar mingueza, unai nuñez, carl starfelt, carlos dominguez, mihailo ristic, jonathan bamba, fran beltran, luca de la torre, iago aspas, jorgen strand larsen"
55,2023-09-23,Almería,Valencia,"luis maximiano, sergio akieme, edgar gonzalez, cesar montes, chumi, lucas robertone, dion lopy, sergio arribas, gonzalo melero, adrian embarba, luis suarez","giorgi mamardashvili, thierry correia, cristhian mosquera, mouctar diakhaby, jose luis gaya, pepelu, javi guerra, fran perez, andre almeida, diego lopez, hugo duro"
56,2023-09-24,R. Sociedad,Getafe,"alex remiro, aihen muñoz, robin le normand, igor zubeldia, hamari traore, ander barrenetxea, beñat turrientes, urko gonzalez, takefusa kubo, umar sadiq, brais mendez","david soria, damian suarez, stefan mitrovic, omar alderete, diego rico, djene, nemanja maksimovic, jose angel carmona, carles aleña, jaime mata, borja mayoral"
57,2023-09-24,Rayo Vallecano,Villarreal,"stole dimitrievski, alfonso espino, florian lejeune, aridane hernandez, ivan balliu, oscar valentin, unai lopez, alvaro garcia, kike perez, isi palazon, raul de tomas","filip jorgensen, juan foyth, raul albiol, aissa mandi, alberto moreno, yeremy pino, dani parejo, santi comesaña, alex baena, gerard moreno, alexander sorloth"
58,2023-09-24,Las Palmas,Granada,"alvaro valles, sergi cardona, mika marmol, alex suarez, julian araujo, jonathan viera, enzo loiodice, maximo perrone, kirian rodriguez, pejiño, munir el haddadi","andre ferreira, ricard sanchez, ignasi miquel, raul torrente, carlos neva, oscar melendo, sergio ruiz, gerard gumbau, antonio puertas, lucas boye, myrto uzuni"
59,2023-09-24,Real Betis,Cádiz,"claudio bravo, juan miranda, marc bartra, german pezzella, hector bellerin, marc roca, guido rodriguez, ayoze perez, isco, rodri sanchez, willian jose","conan ledesma, iza carcelen, jorge mere, fali, javier hernandez, ivan alejo, gonzalo escalante, ruben alcaraz, robert navarro, maxi gomez, chris ramos"
60,2023-09-24,Atlético,Real Madrid,"jan oblak, samuel lino, mario hermoso, jose maria gimenez, stefan savic, nahuel molina, saul ñiguez, koke, marcos llorente, antoine griezmann, alvaro morata","kepa arrizabalaga, lucas vazquez, antonio rudiger, david alaba, fran garcia, federico valverde, eduardo camavinga, toni kroos, luka modric, jude bellingham, rodrygo"
61,2023-09-26,Sevilla,Almería,"orjan nyland, adria pedrosa, nemanja gudelj, loic bade, jesus navas, fernando, djibril sow, dodi lukebakio, erik lamela, suso, youssef en-nesyri","luis maximiano, alejandro pozo, cesar montes, edgar gonzalez, alex centelles, sergio arribas, dion lopy, iddrisu baba, luis suarez, ibrahima kone, gonzalo melero"
62,2023-09-26,Mallorca,Barcelona,"predrag rajkovic, pablo maffeo, jose copete, matija nastasic, martin valjent, giovanni gonzalez, dani rodriguez, samu costa, antonio sanchez, vedat muriqi, abdon prats","marc-andre ter stegen, joao cancelo, ronald araujo, iñigo martinez, alejandro balde, ilkay gundogan, oriol romeu, gavi, raphinha, ferran torres, joao felix"
63,2023-09-27,Athletic,Getafe,"unai simon, yuri berchiche, aitor paredes, dani vivian, oscar de marcos, ander herrera, mikel vesga, alex berenguer, oihan sancet, iñaki williams, gorka guruzeta","david soria, juan iglesias, domingos duarte, gaston alvarez, diego rico, fabrizio anglieri, carles aleña, mauro arambarri, nemanja maksimovic, mason greenwood, borja mayoral"
64,2023-09-27,Real Madrid,Las Palmas,"kepa arrizabalaga, ferland mendy, david alaba, antonio rudiger, nacho fernandez, eduardo camavinga, aurelien tchouameni, federico valverde, brahim diaz, rodrygo, joselu","alvaro valles, julian araujo, saul coco, eric curbelo, daley sinkgraven, munir el haddadi, javi muñoz, omenuke mfulu, jonathan viera, cristian herrera, sory kaba"
65,2023-09-27,Villarreal,Girona,"filip jorgensen, alfonso pedraza, aissa mandi, raul albiol, juan foyth, yeremy pino, etienne capoue, dani parejo, jose luis morales, alex baena, alexander sorloth","paulo gazzaniga, arnau martinez, eric garcia, david lopez, miguel gutierrez, aleix garcia, viktor tsygankov, yangel herrera, ivan martin, savinho, artem dovbyk"
66,2023-09-27,Cádiz,Rayo Vallecano,"conan ledesma, javier hernandez, fali, luis hernandez, iza carcelen, darwin machis, ruben alcaraz, gonzalo escalante, ivan alejo, maxi gomez, roger marti","stole dimitrievski, ivan balliu, abdul mumin, florian lejeune, alfonso espino, pathe ciss, oscar valentin, jorge de frutos, oscar trejo, alvaro garcia, sergio camello"
67,2023-09-27,Valencia,R. Sociedad,"giorgi mamardashvili, jose luis gaya, cenk ozkaçar, mouctar diakhaby, thierry correia, javi guerra, pepelu, diego lopez, selim amallah, fran perez, hugo duro","alex remiro, hamari traore, aritz elustondo, jon pacheco, kieran tierney, mikel merino, urko gonzalez, beñat turrientes, mikel oyarzabal, carlos fernandez, mohamed-ali cho"
68,2023-09-28,Celta,Alavés,"ivan villar, mihailo ristic, unai nuñez, carl starfelt, joseph aidoo, oscar mingueza, jonathan bamba, luca de la torre, fran beltran, jorgen strand larsen, iago aspas","antonio sivera, andoni gorosabel, rafa marin, aleksandar sedlar, javi lopez, jon guridi, ander guevara, alex sola, ianis hagi, abde rebbach, samu aghehowa"
69,2023-09-28,Granada,Real Betis,"andre ferreira, carlos neva, raul torrente, ignasi miquel, ricard sanchez, antonio puertas, gerard gumbau, gonzalo villar, oscar melendo, lucas boye, myrto uzuni","claudio bravo, aitor ruibal, german pezzella, chadi riad, abner, guido rodriguez, andres guardado, assane diao, isco, abde ezzalzouli, ayoze perez"
70,2023-09-28,Osasuna,Atlético,"aitor fernandez, juan cruz, david garcia, alejandro catena, jesus areso, aimar oroz, lucas torro, pablo ibañez, johan mojica, ante budimir, chimy avila","jan oblak, nahuel molina, axel witsel, jose maria gimenez, mario hermoso, samuel lino, marcos llorente, koke, saul ñiguez, antoine griezmann, alvaro morata"
71,2023-09-29,Barcelona,Sevilla,"marc-andre ter stegen, alejandro balde, andreas christensen, jules kounde, joao cancelo, ilkay gundogan, gavi, raphinha, joao felix, robert lewandowski, lamine yamal","orjan nyland, juanlu sanchez, loic bade, sergio ramos, adria pedrosa, joan jordan, djibril sow, lucas ocampos, ivan rakitic, erik lamela, dodi lukebakio"
72,2023-09-30,Getafe,Villarreal,"david soria, diego rico, gaston alvarez, stefan mitrovic, djene, oscar rodriguez, mauro arambarri, nemanja maksimovic, damian suarez, borja mayoral, jaime mata","filip jorgensen, juan foyth, raul albiol, matteo gabbia, alfonso pedraza, jose luis morales, dani parejo, etienne capoue, yeremy pino, alex baena, alexander sorloth"
73,2023-09-30,Rayo Vallecano,Mallorca,"stole dimitrievski, alfonso espino, florian lejeune, aridane hernandez, ivan balliu, pathe ciss, unai lopez, alvaro garcia, kike perez, isi palazon, sergio camello","predrag rajkovic, giovanni gonzalez, martin valjent, matija nastasic, jaume costa, antonio sanchez, samu costa, sergi darder, dani rodriguez, abdon prats, vedat muriqi"
74,2023-09-30,Girona,Real Madrid,"paulo gazzaniga, miguel gutierrez, daley blind, eric garcia, yan couto, david lopez, savinho, aleix garcia, yangel herrera, viktor tsygankov, artem dovbyk","kepa arrizabalaga, daniel carvajal, antonio rudiger, nacho fernandez, eduardo camavinga, federico valverde, aurelien tchouameni, toni kroos, jude bellingham, vinicius junior, joselu"
75,2023-09-30,R. Sociedad,Athletic,"alex remiro, kieran tierney, robin le normand, igor zubeldia, hamari traore, ander barrenetxea, mikel merino, martin zubimendi, takefusa kubo, umar sadiq, brais mendez","unai simon, oscar de marcos, dani vivian, yeray alvarez, yuri berchiche, ander herrera, dani garcia, iñaki williams, iker muniain, nico williams, gorka guruzeta"
76,2023-10-01,Almería,Granada,"luis maximiano, sergio akieme, chumi, kaiky, arnau puigmal, dion lopy, edgar gonzalez, gonzalo melero, largie ramazani, luis suarez, leo baptistao","andre ferreira, ricard sanchez, ignasi miquel, raul torrente, carlos neva, jose callejon, sergio ruiz, gerard gumbau, bryan zaragoza, antonio puertas, lucas boye"
77,2023-10-01,Alavés,Osasuna,"antonio sivera, ruben duarte, aleksandar sedlar, rafa marin, nahuel tenaglia, ander guevara, antonio blanco, luis rioja, ianis hagi, alex sola, kike garcia","sergio herrera, ruben peña, alejandro catena, david garcia, juan cruz, jon moncayola, iker muñoz, aimar oroz, ruben garcia, raul garcia, jose manuel arnaiz"
78,2023-10-01,Atlético,Cádiz,"jan oblak, mario hermoso, axel witsel, cesar azpilicueta, rodrigo riquelme, saul ñiguez, koke, marcos llorente, nahuel molina, antoine griezmann, angel correa","conan ledesma, joseba zaldua, jorge mere, fali, javier hernandez, lucas pires, rominigue kouame, ruben sobrino, ruben alcaraz, chris ramos, roger marti"
