MatchNumber,Date,HomeTeam,AwayTeam,HomeLineup,AwayLineup
1,2023-08-11,Almería,Rayo Vallecano,"diego mariño, sergio akieme, stefan babic, edgar gonzalez, alejandro pozo, iddrisu baba, lucas robertone, adrian embarba, largie ramazani, lazaro, luis suarez","stole dimitrievski, ivan balliu, aridane hernandez, florian lejeune, alfonso espino, unai lopez, oscar valentin, isi palazon, oscar trejo, alvaro garcia, randy nteka"
2,2023-08-11,Sevilla,Valencia,"yassine bounou, marcos acuña, nemanja gudelj, loic bade, jesus navas, ivan rakitic, fernando, erik lamela, suso, lucas ocampos, youssef en-nesyri","giorgi mamardashvili, thierry correia, gabriel paulista, cenk ozkaçar, jose luis gaya, fran perez, mouctar diakhaby, pepelu, diego lopez, andre almeida, hugo duro"
3,2023-08-12,R. Sociedad,Girona,"alex remiro, aihen muñoz, robin le normand, igor zubeldia, hamari traore, beñat turrientes, martin zubimendi, brais mendez, mikel oyarzabal, carlos fernandez, takefusa kubo","paulo gazzaniga, arnau martinez, david lopez, daley blind, miguel gutierrez, aleix garcia, savinho, yangel herrera, viktor tsygankov, yan couto, christian stuani"
4,2023-08-12,Las Palmas,Mallorca,"alvaro valles, daley sinkgraven, alex suarez, saul coco, alvaro lemos, sandro ramirez, enzo loiodice, kirian rodriguez, javi muñoz, jonathan viera, marc cardona","predrag rajkovic, pablo maffeo, giovanni gonzalez, martin valjent, jose copete, jaume costa, dani rodriguez, omar mascarell, manu morlanes, vedat muriqi, amath ndiaye"
5,2023-08-12,Athletic,Real Madrid,"unai simon, iñigo lekue, aitor paredes, dani vivian, oscar de marcos, mikel vesga, iñigo ruiz de galarreta, iker muniain, unai gomez, nico williams, iñaki williams","andriy lunin, daniel carvajal, eder militao, david alaba, fran garcia, federico valverde, aurelien tchouameni, eduardo camavinga, jude bellingham, vinicius junior, rodrygo"
6,2023-08-13,Celta,Osasuna,"ivan villar, franco cervi, unai nuñez, joseph aidoo, oscar mingueza, jonathan bamba, hugo sotelo, fran beltran, carles perez, jorgen strand larsen, iago aspas","sergio herrera, ruben peña, alejandro catena, david garcia, johan mojica, jon moncayola, lucas torro, aimar oroz, ruben garcia, ante budimir, moi gomez"
7,2023-08-13,Villarreal,Real Betis,"filip jorgensen, alberto moreno, jorge cuenca, aissa mandi, juan foyth, santi comesaña, dani parejo, ramon terrats, alex baena, alexander sorloth, gerard moreno","rui silva, youssouf sabaly, german pezzella, luiz felipe, abner, guido rodriguez, marc roca, luiz henrique, isco, ayoze perez, borja iglesias"
8,2023-08-13,Getafe,Barcelona,"david soria, gaston alvarez, stefan mitrovic, domingos duarte, damian suarez, jaime mata, nemanja maksimovic, djene, carles aleña, juan iglesias, juanmi latasa","marc-andre ter stegen, ronald araujo, jules kounde, andreas christensen, alejandro balde, oriol romeu, frenkie de jong, raphinha, pedri, ilkay gundogan, robert lewandowski"
9,2023-08-14,Cádiz,Alavés,"conan ledesma, javier hernandez, fali, luis hernandez, iza carcelen, darwin machis, ruben alcaraz, fede san emeterio, ivan alejo, roger marti, chris ramos","antonio sivera, andoni gorosabel, abdel abqar, aleksandar sedlar, rafa marin, ruben duarte, jon guridi, antonio blanco, ander guevara, luis rioja, miguel de la fuente"
10,2023-08-14,Atlético,Granada,"jan oblak, mario hermoso, stefan savic, cesar azpilicueta, yannick carrasco, thomar lemar, rodrigo de paul, koke, marcos llorente, alvaro morata, antoine griezmann","andre ferreira, jose callejon, jesus vallejo, miguel rubio, ignasi miquel, carlos neva, sergio ruiz, gerard gumbau, oscar melendo, samu aghehowa, myrto uzuni"
11,2023-08-18,Mallorca,Villarreal,"predrag rajkovic, jaume costa, jose copete, antonio raillo, martin valjent, pablo maffeo, manu morlanes, omar mascarell, dani rodriguez, amath ndiaye, vedat muriqi","fili jorgensen, juan foyth, matteo gabbia, jorge cuenca, alfonso pedraza, ramon terrats, dani parejo, alex baena, gerard moreno, alexander sorloth, ben brereton diaz"
12,2023-08-18,Valencia,Las Palmas,"giorgi mamardashvili, jose luis gaya, cenk ozkaçar, gabriel paulista, thierry correia, diego lopez, pepelu, mouctar diakhaby, fran perez, andre almeida, hugo duro","alvaro valles, alvaro lemus, alex suarez, mika marmol, daley sinkgraven, javi muñoz, kirian rodriguez, enzo loiodice, munir el haddadi, jonathan viera, sandro ramirez"
13,2023-08-19,R. Sociedad,Celta,"alex remiro, aihen muñoz, robin le normand, igor zubeldia, hamari traore, beñat turrientes, martin zubimendi, brais mendez, ander barrenetxea, carlos fernandez, takefusa kubo","ivan villar, oscar mingueza, carl starfelt, unai nuñez, manu sanchez, luca de la torre, fran beltran, hugo sotelo, jonathan bamba, iago aspas, jorgen strand larsen"
14,2023-08-19,Almería,Real Madrid,"luis maximiano, sergio akieme, edgar gonzalez, chumi, marc pubill, iddrisu baba, lucas robertone, largie ramazani, sergio arribas, adrian embarba, luis suarez","andriy lunin, daniel carvajal, antonio rudiger, david alaba, fran garcia, federico valverde, aurelien tchouameni, jude bellingham, rodrygo, vinicius junior"
15,2023-08-19,Osasuna,Athletic,"aitor fernandez, johan mojica, david garcia, alejandro catena, ruben peña, aimar oroz, lucas torro, jon moncayola, moi gomez, ante budimir, ruben garcia","unai simon, oscar de marcos, dani vivian, aitor paredes, imanol garcia de albeniz, mikel vesga, iñigo ruiz de galarreta, oihan sancet, iñaki williams, nico williams, gorka guruzeta"
16,2023-08-20,Girona,Getafe,"paulo gazzaniga, miguel gutierrez, daley blind, david lopez, arnau martinez, savinho, aleix garcia, ivan martin, yangel herrera, viktor tsygankov, christian stuani","david soria, damian suarez, domingos duarte, stefan mitrovic, gaston alvarez, nemanja maksimovic, djene, juan iglesias, carles aleña, borja mayoral, juanmi latasa"
17,2023-08-20,Barcelona,Cádiz,"marc-andre ter stegen, frenkie de jong, andreas christensen, jules kounde, alejandro balde, ilkay gundogan, oriol romeu, lamine yamal, pedri, gavi, robert lewandowski","conan ledesma, iza carcelen, luis hernandez, fali, javier hernandez, ivan alejo, ruben alcaraz, fede san emeterio, chris ramos, alex fernandez, roger marti"
18,2023-08-20,Real Betis,Atlético,"rui silva, abner, luiz felipe, german pezzella, youssouf sabaly, marc roca, guido rodriguez, ayoze perez, isco, aitor ruibal, borja iglesias","jan oblak, cesar azpilicueta, stefan savic, axel witsel, mario hermoso, yannick carrasco, marcos llorente, rodrigo de paul, thomas lemar, antoine griezmann, memphis depay"
19,2023-08-21,Alavés,Sevilla,"antonio sivera, ruben duarte, aleksandar sedlar, abdel abqar, andoni gorosabel, luis rioja, ander guevara, carlos protesoni, xeber alkain, kike garcia, jon guridi","marko dmitrovic, jesus navas, nemanja gudelj, kike salas, marcos acuña, joan jordan, ivan rakitic, lucas ocampos, suso, erik lamela, youssef en-nesyri"
20,2023-08-21,Granada,Rayo Vallecano,"andre ferreira, carlos neva, ignasi miquel, miguel rubio, ricard sanchez, sergio ruiz, gerard gumbau, oscar melendo, bryan zaragoza, jose callejon, myrto uzuni","stole dimitrievski, ivan balliu, aridane hernandez, florian lejeune, alfonso espino, isi palazon, unai lopez, oscar valentin, alvaro garcia, randy nteka, oscar trejo"
21,2023-08-25,Las Palmas,R. Sociedad,"alvaro valles, sergi cardona, mika marmol, alex suarez, julian araujo, jonathan viera, kirian rodriguez, enzo loiodice, sandro ramirez, sory kaba, munir el haddadi","alex remiro, hamari traore, igor zubeldia, robin le normand, aihen muñoz, martin zubimendi, mikel merino, takefusa kubo, brais mendez, ander barrenetxea, carlos fernandez"
22,2023-08-25,Celta,Real Madrid,"ivan villar, franco cervi, unai nuñez, carl starfelt, joseph aidoo, oscar mingueza, jonathan bamba, luca de la torre, fran beltran, iago aspas, jorgen strand larsen","kepa arrizabalaga, daniel carvajal, antonio rudiger, david alaba, fran garcia, federico valverde, aurelien tchouameni, eduardo camavinga, jude bellingham, vinicius junior, rodrygo"
23,2023-08-26,Cádiz,Almería,"conan ledesma, javier hernandez, fali, luis hernandez, iza carcelen, darwin machis, gonzalo escalante, ruben alcaraz, ivan alejo, roger marti, chris ramos","luis maximiano, marc pubill, chumi, edgar gonzalez, sergio akieme, iddrisu baba, dion lopy, adrian embarba, sergio arribas, arnau puigmal, luis suarez"
