MatchNumber,Date,HomeTeam,AwayTeam,HomeLineup,AwayLineup
1,2022-08-12,Osasuna,Sevilla,"Sergio Herrera, Juan Cruz, David García, Unai García, Rubén Peña, Moi Gómez, Lucas Torró, Jon Moncayola, Kike Barja, Aimar Oroz, Chimy Ávila","Bono, Jesus Navas, Nemanja Gudelj, Karim Rekik, Marcos Acuña, Fernando, Thomas Delaney, Jesús Corona, Papu Gómez, Lucas Ocampos, Rafa Mir"
2,2022-08-13,Celta,Espanyol,"Agustín Marchesín, Javi Galán, Unai Núñez, Joseph Aidoo, Hugo Mallo, Fran Beltrán, Franco Cervi, Óscar Rodríguez, Augusto Solari, Gonçalo Paciência, Iago Aspas","Benjamin Leconte, Óscar Gil, Sergi Gómez, Leandro Cabrera, Brian Oliván, Vinicius, Fernando Calero, Sergi Darder, Ruben Sánchez, Joselu, Nicolás Melamed"
3,2022-08-13,Real Valladolid,Villarreal,"Sergio Asenjo, Sergio Escudero, Jawad El Yamiq, Joaquín Fernández, Luis Pérez, Monchu, Toni, Álvaro Aguado, Roque Mesa, Gonzalo Plata, Sergio León","Geronimo Rulli, Juan Foyth, Raúl Albiol, Pau Torres, Alfonso Pedraza, Yeremy Pino, Étienne Capoue, Dani Parejo, Francis Coquelin, Gerard Moreno, Nicholas Jackson"
4,2022-08-13,Barcelona,Rayo Vallecano,"Marc-André ter Stegen, Jordi Alba, Eric García, Andreas Christensen, Ronald Araújo, Pedri, Sergio Busquets, Gavi, Osumane Dembelé, Robert Lewandowski, Raphinha","Stole Dimitrievski, Ivan Balliu, Florian Lejeune, Alejandro Catena, Fran García, Unai López, Pathé Ciss, Isi Palazón, Óscar Trejo, Álvaro García, Sergio Camello"
5,2022-08-14,Cádiz,R. Sociedad,"Conan Ledesma, Alfonso Espino, Victor Chust, Lucas Hernández, Joseba Zaldua, Santiago Arzamendia, José Mari, Fali, Alberto Perea, Choco Lozano, Lucas Pérez","Álvaro Remiro, Aritz Elustondo, Igor Zubeldía, Robin Le Normand, Diego Rico, Brais Méndez, Martín Zubimendi, Mikel Merino, David Silva, Takefusa Kubo, Alexander Isak"
6,2022-08-14,Valencia,Girona,"Giorgi Mamardashvili, Jesús Vázquez, Mouctar Diakhaby, Eray Cömert, Thierry Correia, Carlos Soler, Hugo Guillamón, Yunus Musah, Samuel Lino, Hugo Duro, Samu Castillejo","Juan Carlos, Santiago Bueno, David López, Juanpe, Yan Couto, Ramón Terrats, Aleix García, Valery Fernández, Rodrigo Riquelme, Samu Sáiz, Taty Castellanos"
8,2022-08-14,Almería,Real Madrid,"Fernando Martínez, Sergio Akieme, Srđan Babić, Rodrigo Ely, Kaiky, Chumi, Samú Costa, Íñigo Eguaras, Lucas Robertone, Umar Sadiq, Largie Ramazani","Thibaut Courtois, Lucas Vázquez, Antonio Rüdiger, Nacho Fernández, Ferland Mendy, Eduardo Camavinga, Aurelient Tchouameni, Toni Kroos, Federico Valverde, Karim Benzema, Vinícius Junior"
9,2022-08-15,Athletic,Mallorca,"Unai Simón, Yuri Berchiche, Yeray Álvarez, Dani Vivian, Óscar de Marcos, Iker Muniain, Mikel Vesga, Oihan Sancet, Álex Berenguer, Asier Villalibre, Iñaki Williams","Predrag Rajković, Pablo Maffeo, Martin Valjent, Antonio Raíllo, José Copete, Jaume Costa, Kang-In Lee, Clément Grenier, Rodrigo Battaglia, Dani Rodríguez, Vedat Muriqi"
10,2022-08-15,Getafe,Atlético,"David Soria, Fabrizio Anglieri, Domingos Duarte, Stefan Mitrović, Djené, Juan Iglesias, Nemanja Maksimović, Mauro Arambarri, Carles Aleñá, Enes Ünal, Borja Mayoral","Jan Oblak, Nahuel Molina, Stefan Savić, Axel Witsel, Reinildo Mandava, Saúl Ñíguez, Marcos Llorente, Koke, Thomas Lemar, Álvaro Morata, Joao Félix"
11,2022-08-15,Real Betis,Elche,"Rui Silva, Álex Moreno, Edgar González, Germán Pezzella, Aitor Ruibal, William Carvalho, Guido Rodríguez, Juanmi, Nabil Fekir, Rodri Sánchez, Borja Iglesias","Édgar Badía, John Donald, Enzo Roco, Pedro Bigas, Helibelton Palacios, Omar Mascarell, Gerard Gumbau, Johan Mojica, Pere Milla, Roger Martí, Fidel"
12,2022-08-19,Espanyol,Rayo Vallecano,"Benjamin Lecomte, Brian Oliván, Leandro Cabrera, Sergi Gómez, Óscar Gil, Sergi Darder, Vinicius, Edu Expósito, Nico Melamed, Joselu, Ruben Sánchez","Stole Dimitrievski, Ivan Balliu, Florian Lejeune, Alejandro Catena, Fran García, Unai López, Pathé Ciss, Isi Palazón, Óscar Trejo, Álvaro García, Sergio Camello"
13,2022-08-19,Sevilla,Real Valladolid,"Yassine Bounou, Marcos Acuña, Karim Rekik, Tanguy Nianzou, Gonzalo Montiel, Óliver Torres, Fernando, Joan Jordán, Papu Gómez, Rafa Mir, Erik Lamela","Sergio Asenjo, Luis Pérez, javi sánchez, jawad el yamiq, sergio escudero, álvaro aguado, roque mesa, kike pérez, iván sánchez, sergi guardiola, anuar"
14,2022-08-20,Osasuna,Cádiz,"sergio herrera, juan cruz, david garcía, unai garcía, rubén peña, moi gómez, lucas torró, jon moncayola, chimy ávila, aimar oroz, ante budimir","conan ledesma, joseba zaldúa, luis hernández, victor chust, alfonso espino, mamady diarra, fali, tomás alarcón, awer mabil, lucas pérez, choco lozano"
15,2022-08-20,Mallorca,Real Betis,"Predrag Rajković, jaume costa, josé copete, antonio raíllo, martin valjent, pablo maffeo, dani rodríguez, rodrigo battaglia, clément grenier, vedat muriqi, kang-in lee","rui silva, aitor ruibal, germán pezzella, edgar gonzález, álex moreno, guido rodríguez, william carvalho, rodri sánchez, nabil fekir, juanmi, borja iglesias"
16,2022-08-20,Celta,Real Madrid,"agustin marchesin, javi galan, unai nuñez, joseph aidoo, hugo mallo, oscar rodriguez, renato tapia, fran beltran, franco cervi, gonçalo Paciência, iago aspas","thibaut courtois, daniel carvajal, eder militao, david alaba, ferland mendy, luka modric, aurelien tchouameni, eduardo camavinga, federico valverde, karim benzema, vinicius junior"
17,2022-08-21,Athletic,Valencia,"unai simon, yuri berchiche, yeray alvarez, dani vivian, oscar de marcos, mikel vesga, oihan sancet, alex berenguer, iker muniain, nico williams, iñaki williams","giorgi mamardashvili, thierry correia, gabriel paulista, mouctar diakhaby, jesus vazquez, yunus musah, hugo guillamon, carlos soler, samu castillejo, hugo duro, samuel lino"
18,2022-08-21,Atlético,Villarreal,"jan oblak, reinildo mandava, axel witsel, stefan savic, koke, yannick carrasco, thomas lemar, marcos llorente, nahuel molina, joao felix, alvaro morata","geronimo rulli, juan foyth, raul albiol, pau torres, alfonso pedraza, yeremy pino, etienne capoue, dani parejo, giovani lo celso, gerard moreno, nicolas jackson"
19,2022-08-21,R. Sociedad,Barcelona,"alex remiro, aihen muñoz, robin le normand, igor zubeldia, aritz elustondo, mikel merino, martin zubimendi, brais mendez, david silva, alexander isak, takefusa kubo","marc-andre ter stegen, ronald araujo, andreas christensen, eric garcia, frenkie de jong, gavi, osumane dembele, pedri, ferran torres, alejandro balde, robert lewandowski"
20,2022-08-22,Elche,Almería,"edgar badia, johan mojica, pedro bigas, enzo roco, pol lirola, tete morente, gerard gumbau, omar mascarell, alex collado, ezequiel ponce, roger marti","fernando martinez, kaiky, rodrigo ely, Srđan Babić, aranu puigmal, samu costa, iñigo eguaras, sergio akieme, lucas robertone, umar sadiq, largie ramazani"
21,2022-08-22,Girona,Getafe,"juan carlos, juanpe, david lopez, santiago bueno, aleix garcia, miguel gutierrez, rodrigo riquelme, yangel herrera, yan couto, taty castellanos, christian stuani\","david soria, juan iglesias, djene, stefan mitrovic, domingos duarte, fabrizio anglieri, carles aleña, mauro arambarri, nemanja maksimovic, enes ünal, borja mayoral"
22,2022-08-26,Girona,Celta,"juan carlos, miguel gutierrez, juanpe, santiago bueno, yan couto, oscar ureña, david lopez, aleix garcia, yangel herrera, christian stuani, taty castellanos","agustin marchesin, hugo mallo, joseph aidoo, unai nuñez, javi galan, renato tapia, oscar rodriguez, fran beltran, franco cervi, iago aspas, carles perez"
