MatchNumber,Date,HomeTeam,AwayTeam,HomeLineup,AwayLineup
23,2022-08-26,Real Betis,Osasuna,"rui silva, alex moreno, edgar gonzalez, german pezzella, aitor ruibal, william carvalho, guido rodriguez, juanmi, nabil fekir, rodri sanchez, borja iglesias","sergio herrera, nacho vidal, unai garcia, david garcia, juan cruz, ruben peña, jon moncayola, lucas torró, moi gomez, aimar oroz, chimy avila"
24,2022-08-27,Elche,R. Sociedad,"edgar badia, johan mojica, pedro bigas, enzo roco, pol lirola, tete morente, gerard gumbau, omar mascarell, alex collado, ezequiel ponce, roger marti","alex remiro, andoni gorosabel, igor zubeldia, robin le normand, aihen muñoz, brais mendez, martin zubimendi, mikel merino, david silva, mohamed-ali cho, takefusa kubo"
25,2022-08-27,Rayo Vallecano,Mallorca,"stole dimitrievski, fran garcia, alejandro catena, pathe ciss, ivan balliu, unai lopez, oscar valentin, alvaro garcia, oscar trejo, salvi sanchez, radamel falcao","predrag rajkovic, pablo maffeo, martin valjent, antonio raillo, jose copete, jaume costa, clement grenier, rodrigo battaglia, dani rodriguez, kang-in lee, vedat muriqi"
26,2022-08-27,Almería,Sevilla,"fernando martinez, stefan babic, rodrigo ely, kaiky, sergio akieme, samu costa, iñigo eguaras, alejandro pozo, lucas robertone, umar sadiq, largie ramazani","yassine bounou, jesus navas, tanguy nianzou, karim rekik, alex telles, joan jordan, fernando, papu gomez, oliver torres, rafa mir, erik lamela"
27,2022-08-28,Getafe,Villarreal,"david soria, gastón alvarez, djene, domingos duarte, juan iglesias, portu, mauro arambarri, jaime seoane, carles aleña, borja mayoral, enes ünal","geronimo rulli, juan foyth, raul albiol, pau torres, alfonso pedraza, yeremy pino, etienne capoue, dani parejo, giovani lo celso, gerard moreno, jose luis morales"
28,2022-08-28,Barcelona,Real Valladolid,"marc-andre ter stegen, alejandro balde, eric garcia, ronald araujo, jules kounde, pedri, sergio busquets, gavi, ousmane dembele, robert lewandowski, raphinha","jordi masip, luis perez, joaquin fernandez, javi sanchez, sergio escudero, monchu, ivan sanchez, kike perez, alvaro aguado, anuar, sergi guardiola"
29,2022-08-28,Espanyol,Real Madrid,"benjamin lecomte, brian olivan, leandro cabrera, fernando calero, oscar gil, vini souza, javi puado, sergi darder, edu exposito, ruben sanchez, joselu","thibaut courtois, lucas vazquez, eder militao, antonio rudiger, david alaba, luka modric, aurelien tchouameni, toni kroos, federico valverde, karim benzema, vinicius junior"
30,2022-08-29,Cádiz,Athletic,"conan ledesma, alfonso espino, fali, luis hernandez, joseba zaldua, santiago arzamendia, jose mari, antonio blanco, ivan alejo, alvaro negredo, choco lozano","unai simon, oscar de marcos, dani vivian, yeray alvarez, iñigo lekue, oihan sancet, mikel vesga, nico williams, iker munian, alex berenguer, iñaki williams"
31,2022-08-29,Valencia,Atlético,"giorgi mamardashvili, toni lato, mouctar diakhaby, eray comert, thierry correia, hugo guillamon, yunus musah, samuel lino, carlos soler, samu castillejo, marcos andre","jan oblak, marcos llorente, jose maria gimenez, axel witsel, reinildo mandava, saul ñiguez, rodrigo de paul, geoffrey kondogbia, koke, alvaro morata, joao felix"
32,2022-09-02,Celta,Cádiz,"agustin marchesin, javi galan, unai nuñez, joseph aidoo, hugo mallo, oscar rodriguez, renato tapia, fran beltran, franco cervi, iago aspas, carles perez","conan ledesma, joseba zaldua, luis hernandez, victor chust, alfonso espino, fede san emeterio, ivan alejo, tomas alarcon, antonio blanco, brian ocampo, choco lozano"
33,2022-09-03,Mallorca,Girona,"predrag rajkovic, jaume costa, jose copete, antonio raillo, martin valjent, pablo maffeo, dani rodriguez, rodrio battaglia, antonio sanchez, vedat muriqi, kang-in lee","juan carlos, santiago bueno, david lopez, juanpe, arau martinez, oriol romeu, aleix garcia, miguel gutierrez, reinier, taty castellanos, rodrigo riquelme"
34,2022-09-03,Real Madrid,Real Betis,"thibaut courtois, ferland mendy, david alaba, eder militao, daniel carvajal, eduardo camavinga, aurelien tchouameni, luka modric, vinicius junior, karim benzema, rodrygo","rui silva, youssouf sabaly, luiz felipe, edgar gonzalez, alex moreno, guido rodriguez, andres guardado, sergio canales, nabil fekir, juanmi, borja iglesias"
35,2022-09-03,R. Sociedad,Atlético,"alex remiro, aihen muñoz, robin le normand, igor zubeldia, andoni gorosabel, mikel merino, martin zubimendi, brais mendez, david silva, mohamed-ali cho, alexander sorloth","jan oblak, jose maria gimenez, axel witsel, reinildo mandava, marcos llorente, rodrigo de paul, koke, saul ñiguez, yannick carrasco, alvaro morata, joao felix"
36,2022-09-03,Sevilla,Barcelona,"yassine bounou, marcos acuña, tanguy nianzou, fernando, gonzalo montiel, ivan rakitic, nemanja gudeljm, joan jordan, isco, youssef en-nesyri, erik lamela","marc-andre ter stegen, jules kounde, ronald araujo, eric garcia, alejandro balde, gavi, sergio busquets, pedri, raphinha, robert lewandowski, ousmane dembele"
37,2022-09-04,Osasuna,Rayo Vallecano,"sergio herrera, juan cruz, david garcia, unai garcia, nacho vidal, moi gomez, lucas torro, jon moncayola, chimy avila, ante budimir, aimar oroz","stole dimitrievski, ivan balliu, florian lejeune, alejandro catena, fran garcia, pathe ciss, oscar valentin, salvi sanchez, oscar trejo, alvaro garcia, sergio camello"
38,2022-09-04,Athletic,Espanyol,"unai simon, iñigo lekue, yeray alvarez, dani vivian, oscar de marcos, mikel vesga, oihan sancet, alex berenguer, iker muniain, nico williams, iñaki williams","alvaro fernandez, oscar gil, fernando calero, leandro cabrera, brian olivan, vini souza, edu exposito, sergi darder, javi puado, joselu, martin braithwaite"
39,2022-09-04,Villarreal,Elche,"geronimo rulli, alfonso pedraza, pau torres, raul albiol, kiko femenia, giovani lo celso, dani parejo, etienne capoue, yeremy pino, nicolas jackson, gerard moreno","edgar badia, helibelton palacios, enzo roco, pedro bigas, carlos clerc, tete morente, omar mascarell, raul guti, alex collado, lucas boye, ezequiel ponce"
40,2022-09-04,Valencia,Getafe,"Giorgi Mamardashvili, toni lato, mouctar diakhaby, eray comert, thierry correia, nico gonzalez, hugo guillamon, yunus musah, samuel lino, marcos andre, samu castillejo","david soria, juan iglesias, djene, domingos duarte, fabrizio anglieri, carles aleña, mauro arambarri, jaime seoane, portu, enes unal, borja mayoral"
41,2022-09-05,Real Valladolid,Almería,"sergio asenjo, sergio escudero, javi sanchez, joaquin fernandez, luis perez, kike perez, roque mesa, alvaro aguado, oscar plano, sergi guardiola, ivan sanchez","fernando martinez, alejandro pozo, rodrigo ely, stefan babic, sergio akieme, cesar de la hoz, samu costa, leo baptistao, lucas robertone, largie ramazani, dyego sousa"
42,2022-09-09,Girona,Real Valladolid,"juan carlos, juanpe, bernardo espinosa, santiago bueno, miguel gutierrez, aleix garcia, oriol romeu, arnau martinez, reinier, rodrigo riquelme, taty castellanos","sergio asenjo, luis perez, joaquin fernandez, javi sanchez, lucas olaza, roque mesa, gonzalo plata, kike perez, monchu, anuar, sergi guardiola"
43,2022-09-10,Rayo Vallecano,Valencia,"Stole dimitrievski, fran garcia, alejandro catena, florian lejeune, ivan balliu, oscar valentin, santi comesaña, alvaro garcia, oscar trejo, isi palazon, sergio camello","giorgi mamardashvili, thierry correia, gabriel paulista, mouctar diakhaby, jose luis gaya, hugo guillamon, nico gonzalez, samu castillejo, yunus musah, samuel lino, hugo duro"
44,2022-09-10,Espanyol,Sevilla,"alvaro fernandez, brian olivan, leandro cabrera, sergi gomez, oscar gil, vini souza, edu exposito, martin braithwaite, sergi darder, javi puado, joselu","yassine bounou, jose angel carmona, nemanja gudelj, kike salas, marcos acuña, joan jordan, fernando, youssef en-nesyri, isco, oliver torres, erik lamela"
45,2022-09-10,Cádiz,Barcelona,"conan ledesma, alfonso espino, momo mbaye, luis hernandez, joseba zaldua, fede san emeterio, alex fernandez, brian ocampo, ruben sobrino, ivan alejo, lucas perez","mar-andre ter stegen, hector bellerin, ronald araujo, gerard pique, alejandro balde, frenkie de jong, sergio busquets, gavi, raphinha, memphis depay, ferran torres"
46,2022-09-10,Atlético,Celta,"Ivo grbic, yannick carrasco, reinildo mandava, mario hermoso, axel witsel, nahuel molina, thomas lemar, geoffrey kondogbia, rodrigo de paul, alvaro morata, angel correa","agustin marchesin, hugo mallo, joseph aidoo, unai nuñez, javi galan, renato tapia, carles perez, fran beltran, franco cervi, iago aspas, jorgen strand larsen"
47,2022-09-11,Real Madrid,Mallorca,"thibaut courtois, ferland mendy, david alaba, antonio rudiger, lucas vazquez, dani ceballos, toni kroos, federico valverde, vinicius junior, eden hazard, rodrygo","predrag rajkovic, pablo maffeo, martin valjent, antonio raillo, matija nastasic, jaume costa, dani rodriguez, rodrigo battaglia, iñigo ruiz de galarreta, vedat muriqi, kang-in lee"
48,2022-09-11,Elche,Athletic,"Edgar badia, nicolas fernandez, pedro bigas, enzo roco, pol lirola, gerard gumbau, omar mascarell, pere milla, domingos quina, alex collado, lucas boye","unai simon, oscar de marcos, dani vivian, iñigo martinez, iñigo lekue, oihan sancet, dani garcia, nico williams, iker muniain, alex berenguer, iñaki williams"
49,2022-09-11,Getafe,R. Sociedad,"david soria, fabrizio anglieri, gaston alvarez, stefan mitrovic, domingos duarte, damian suarez, nemanja maksimovic, angel algobia, carles aleña, borja mayoral, enes unal","alex remiro, alex sola, igor zubeldia, jon pacheco, aihen muñoz, mikel merino, martin zubimendi, beñat turrientes, takefusa kubo, alexander sorloth, umar sadiq"
50,2022-09-11,Real Betis,Villarreal,"rui silva, alex moreno, luiz felipe, german pezzella, youssouf sabaly, william carvalho, guido rodriguez, rodri sanchez, sergio canales, luiz henrique, borja iglesias","geronimo rulli, kiko femenia, raul albiol, pau torres, alfonso pedraza, yeremy pino, etienne capoue, dani parejo, giovani lo celso, gerard moreno, nicolas jackson"
51,2022-09-12,Almería,Osasuna,"fernando martinez, sergio akieme, stefan babic, rodrigo ely, alejandro pozo, samu costa, iñigo eguaras, lucas robertone, adrian embarba, dyego sousa, largie ramazani","sergio herrera, nacho vidal, unai garcia, david garcia, juan cruz, lucas torro, darko brasanac, chimy avila, ruben garcia, moi gomez, ante budimir"
52,2022-09-16,Real Valladolid,Cádiz,"sergio asenjo, lucas olaza, javi sanchez, joaquin fernandez, ivan fresneda, kike perez, roque mesa, monchu, oscar plano, gonzalo plata, shon weissman","conan ledesma, iza carcelen, luis hernandez, victor chust, alfonso espino, fede san emeterio, alex fernandez, ivan alejo, ruben sobrino, brian ocampo, lucas perez"
53,2022-09-17,Mallorca,Almería,"predrag rajkovic, jaume costa, jose copete, antonio raillo, martin valjent, pablo maffeo, clement grenier, iñigo ruiz de galarreta, antonio sanchez, vedat muriqi, kang-in lee","fernando martinez, alejandro pozo, chumi, rodrigo ely, stefan babic, sergio akieme, lucas robertone, samu costa, lazaro, el bilal toure, largie ramazani"
54,2022-09-17,Barcelona,Elche,"marc-andre ter stegen, alejandro balde, eric garcia, ronald araujo, jules kounde, pedri, frenkie de jong, franck kessie, memphis depay, robert lewandowski, ousmane dembele","edgar badia, helibelton palacios, john donald, gonzalo verdu, pedro bigas, carlos clerc, tete morente, raul guti, gerard gumbau, fidel, lucas boye"
55,2022-09-17,Valencia,Celta,"giorgi mamardashvili, jose luis gaya, mouctar diakhaby, eray comert, thierry correia, ilaix moriba, hugo guillamon, andre almeida, samuel lino, edinson cavani, samu castillejo","agustin marchesin, hugo mallo, joseph aidoo, unai nuñez, javi galan, renato tapia, oscar rodriguez, fran beltran, franco cervi, iago aspas, jorgen strand larsen"
56,2022-09-17,Athletic,Rayo Vallecano,"unai simon, iñigo lekue, iñigo martinez, yeray alvarez, oscar de marcos, dani garcia, oihan sancet, alex berenguer, iker muniain, nico williams, iñaki williams","stole dimitrievski, ivan balliu, florian lejeune, alejandro catena, fran garcia, oscar valentin, santi comesaña, isi palazon, oscar trejo, alvaro garcia, sergio camello"
57,2022-09-18,Osasuna,Getafe,"sergio herrera, juan cruz, david garcia, unai garcia, nacho vidal, darko brasanac, lucas torro, moi gomez, ruben garcia, chimy avila, ante budimir","david soria, damian suarez, domingos duarte, stefan mitrovic, gaston alvarez, juan iglesias, carles aleña, mauro arambarri, nemanja maksimovic, borja mayoral, enes unal"
58,2022-09-18,Villarreal,Sevilla,"geronimo rulli, alfonso pedraza, pau torres, raul albiol, kiko femenia, francis coquelin, dani parejo, etienne capoue, samu chukwueze, nicolas jackson, giovani lo celso","yassine bounou, jose angel carmona, nemanja gudelj, kike salas, marcos acuña, joan jordan, fernando, jesus navas, isco, oliver torres, rafa mir"
59,2022-09-18,Real Betis,Girona,"rui silva, alex morneo, luiz felipe, german pezzella, martin montoya, william carvalho, guido rodriguez, rodri sanchez, sergio canales, luiz henrique, borja iglesias","juan carlos, santiago bueno, bernardo, juanpe, arnau martinez, oriol romeu, aleix garcia, miguel gutierrez, reinier, rodrigo riquelme, taty castellanos"
60,2022-09-18,R. Sociedad,Espanyol,"alex remiro, aihen muñoz, jon pacheco, aritz elustondo, andoni gorosabel, martin zubimendi, mikel merino, david silva, brais mendez, takefusa kubo, alexander sorloth","alvaro fernandez, omar el hilali, fernando calero, sergi gomez, leandro cabrera, brian olivan, sergi darder, vini souza, edu exposito, joselu, martin braithwaite"
61,2022-09-18,Atlético,Real Madrid,"jan oblak, reinildo mandava, axel witsel, felipe, yannick carrasco, koke, geoffrey kondogbia, rodrigo de paul, marcos llorente, joao felix, antoine griezmann","thibaut courtois, daniel carvajal, eder militao, david alaba, ferland mendy, luka modric, aurelien tchouameni, toni kroos, federico valverde, rodrygo, vinicius junior"
62,2022-09-30,Athletic,Almería,"unai simon, iñigo lekue, iñigo martinez, yeray alvarez, oscar de marcos, dani garcia, oihan sancet, alex berenguer, iker muniain, nico williams, iñaki williams","fernando martinez, Houboulang Mendes, kaiky, rodrigo ely, stefan babic, sergio akieme, francisco portillo, lucas robertone, samu costa, largie ramazani, lazaro"
63,2022-10-01,Cádiz,Villarreal,"conan ledesma, alfonso espino, victor chust, luis hernandez, iza carcelen, theo bongonda, ruben alcaraz, fede san emeterio, ivan alejo, alvaro negredo, ruben sobrino","geronimo rulli, kiko femenia, raul albiol, pau torres, alfonso pedraza, giovani lo celso, etienne capoue, dani parejo, francis coquelin, alex baena, nicolas jackson"
64,2022-10-01,Getafe,Real Valladolid,"david soria, juan iglesias, gaston alvarez, domingos duarte, djene, damian suarez, angel algobia, mauro arambarri, carles aleña, borja mayoral, enes unal","jordi masip, ivan fresneda, joaquin fernandez, javi sanchez, sergio escudero, kike perez, roque mesa, alvaro aguado, gonzalo plata, sergio leon, oscar plano"
65,2022-10-01,Sevilla,Atlético,"yassine bounou, karim rekik, kike salas, tanguy nianzou, jose angel carmona, thomas delaney, nemanja gudelj, isco, oliver torres, erik lamela, kasper dolberg","jan oblak, nahuel molina, stefan savic, jose maria gimenez, reinildo mandava, axel witsel, marcos llorente, koke, saul ñiguez, matheus cunha, alvaro morata"
66,2022-10-01,Mallorca,Barcelona,"predrag rajkovic, jaume costa, jose copete, antonio raillo, martin valjent, pablo maffeo, kang-in lee, iddrisu baba, iñigo ruiz de galarreta, antonio sanchez, vedat muriqi","marc-andre ter stegen, alejandro balde, gerard pique, andreas christensen, jordi alba, franck kessie, sergio busquets, gavi, ousmane dembele, robert lewandowski, ansu fati"
67,2022-10-02,Espanyol,Valencia,"alvaro fernandez, brian olivan, leandro cabrera, sergi gomez, fernando calero, vini souza, sergi darder, martin braithwaite, edu exposito, javi puado, joselu","giorgi mamardashvili, thierry correia, gabriel paulista, mouctar diakhaby, jose luis gaya, andre almeida, hugo guillamon, ilaix moriba, samu castillejo, edinson cavani, samuel lino"
68,2022-10-02,Celta,Real Betis,"agustin marchesin, javi galan, unai nuñez, joseph aidoo, hugo mallo, fran beltran, oscar rodriguez, gabri veiga, augusto solari, jorgen strand larsen, carles perez","rui silva, martin montoya, luiz felipe, edgar gonzalez, alex moreno, paul akoukou, william carvalho, luiz henrique, sergio canales, rodri sanchez, borja iglesias"
69,2022-10-02,Girona,R. Sociedad,"juan carlos, miguel gutierrez, juanpe, bernardo espinosa, santiago bueno, arnau martinez, rodrigo riquelme, aleix garcia, oriol romeu, taty castellanos, manu vallejo","alex remiro, andoni gorosabel, aritz elustondo, jon pacheco, aihen muñoz, brais mendez, martin zubimendi, mikel merino, david silva, takefusa kubo, alexander sorloth"
70,2022-10-02,Real Madrid,Osasuna,"andriy lunin, ferland mendy, david alaba, antonio rudiger, daniel carvajal, toni kroos, aurelien tchouameni, dani ceballos, vinicius junior, karim benzema, rodrygo","sergio herrera, nacho vidal, unai garcia, david garcia, juan cruz, lucas torro, moi gomez, jon moncayola, darko brasanac, abde ezzalzouli, kike garcia"
71,2022-10-03,Rayo Vallecano,Elche,"stole dimitrievski, fran garcia, alejandro catena, florian lejeune, ivan balliu, oscar valentin, santi comesaña, alvaro garcia, oscar trejo, isi palazon, sergio camello","edgar badia, pol lirola, helibelton palacios, federico fernandez, diego gonzalez, carlos clerc, raul guti, gerard gumbau, domingos quina, lucas boye, roger marti"
72,2022-10-07,Osasuna,Valencia,"sergio herrera, juan cruz, aridane hernandez, unai garcia, nacho vidal, moi gomez, aimar oroz, lucas torro, jon moncayola, abde ezzalzouli, kike garcia","giorgi mamardashvili, thierry correia, eray comert, mouctar diakhaby, jose luis gaya, justin kluivert, hugo guillamon, ilaix moriba, samuel lino, andre almeida, edinson cavani"
73,2022-10-08,Almería,Rayo Vallecano,"fernando martinez, sergio akieme, stefan babic, rodrigo ely, houboulang mendes, gonzalo melero, cesar de la hoz, adrian embarba, lucas robertone, leo baptistao, el bilal toure","diego lopez, ivan balliu, florian lejeune, alejandro catena, fran garcia, isi palazon, unai lopez, pathe ciss, salvi sanchez, oscar trejo, sergio camello"
74,2022-10-08,Atlético,Girona,"jan oblak, yannick carrasco, reinildo mandava, jose maria gimenez, stefan savic, nahuel molina, antoine griezmann, axel witsel, koke, angel correa, matheus cunha","juan carlos, arnau martinez, santiago bueno, bernardo espinosa, javier hernandez, miguel gutierrez, yangel herrera, oriol romeu, aleix garcia, taty castellanos, rodrigo riquelme"
75,2022-10-08,Sevilla,Athletic,"marko dmitrovic, alex telles, marcao, tanguy nianzou, gonzalo montiel, nemanja gudelj, joan jordan, isco, oliver torres, papu gomez, kasper dolberg","unai simon, oscar de marcos, yeray alvarez, iñigo martinez, iñigo lekue, oihan sancet, dani garcia, nico williams, iker muniain, alex berenguer, iñaki williams"
76,2022-10-08,Getafe,Real Madrid,"david soria, fabrizio anglieri, domingos duarte, stefan mitrovic, djene, damian suarez, carles aleña, luis milla, angel algobia, enes unal, borja mayoral","andriy lunin, daniel carvajal, eder militao, antonio rudiger, david alaba, luka modric, aurelien tchouameni, eduardo camavinga, federico valverde, rodrygo, vinicius junior"
77,2022-10-09,Real Valladolid,Real Betis,"jordi masip, sergio escudero, javi sanchez, joaquin fernandez, ivan fresneda, alvaro aguado, roque mesa, kike perez, oscar plano, sergio leon, ivan sanchez","rui silva, martin montoya, german pezella, victor ruiz, alex moreno, guido rodriguez, william carvalho, luiz henrique, sergio canales, rodri sanchez, borja iglesias"
78,2022-10-09,Cádiz,Espanyol,"conan ledesma, alfonso espino, victor chust, luis hernandez, joseba zaldua, theo bongonda, ruben alcaraz, fede san emeterio, ivan alejo, alvaro negredo, ruben sobrino","benjamin lecomte, fernando calero, sergi gomez, leandro cabrera, brian olivan, vini souza, sergi darder, aleix vidal, edu exposito, nicolas melamed, joselu"
