date_time,home_team,away_team,home_lineup,away_lineup
2005-09-10 18:00:00+00:00,Real Madrid,Celta,"['/player/i-casillas-23340', '/player/roberto-carlos-31611', '/player/m-salgado-33003', '/player/ivan-helguera-bujia', '/player/f-pavon-24026', '/player/d-beckham-72555', '/player/jose-maria-gutierrez-hernandez', '/player/thomas-gravesen', '/player/robinho-27171', '/player/ronaldo-luiz-nazario-de-lima', '/player/j-baptista-9415']","['/player/pinto-23558', '/player/sergio-34906', '/player/angel-lopez-23461', '/player/diego-rodolfo-placente-72003', '/player/p-contreras-53241', '/player/b-oubina-7459', '/player/iriney-28783', '/player/gustavo-lopez', '/player/f-canobbio-27017', '/player/baiano-257633', '/player/nunez-23690']"
2005-09-10 20:00:00+00:00,Real Betis,Osasuna,"['/player/doblas-27603', '/player/juanito-23327', '/player/oscar-lopez-hernandez', '/player/rivas-23329', '/player/luis-fernandez', '/player/rivera-9911', '/player/marcos-assuncao-7350', '/player/joaquin-23384', '/player/luis-schmidt', '/player/xisco-munoz-33505', '/player/ricardo-oliveira-10936']","['/player/elia-257642', '/player/cesar-cruchaga', '/player/javi-flano-7241', '/player/miguel-flano-23452', '/player/corrales-27021', '/player/punal-27036', '/player/david-lopez-29967', '/player/ludovic-delporte', '/player/raul-garcia-23527', '/player/bernardo-romeo', '/player/savo-milosevic']"
2005-09-10 20:00:00+00:00,RC Deportivo,Atlético,"['/player/jose-francisco-molina', '/player/jorge-andrade', '/player/manuel-pablo-23572', '/player/romero-206008', '/player/capdevila-23462', '/player/aldo-pedro-duscher', '/player/sergio-gonzalez-soriano', '/player/valeron-23583', '/player/diego-tristan-herrera-30520', '/player/munitis-23477', '/player/ruben-castro-7564']","['/player/l-franco-28115', '/player/antonio-lopez-23522', '/player/pablo-ibanez-tebar', '/player/l-perea-7295', '/player/valera-28177', '/player/gabi-7393', '/player/l-galletti-22870', '/player/p-luccin-7430', '/player/zahinos-257639', '/player/m-rodriguez-65427', '/player/f-torres-29366']"
2005-09-11 17:00:00+00:00,Barcelona,Mallorca,"['/player/v-valdes-7171', '/player/puyol-23562', '/player/r-marquez-23561', '/player/giovanni-van-bronckhorst', '/player/juliano-belletti', '/player/oleguer-presas-renom-29669', '/player/deco-61725', '/player/xavi-23564', '/player/ronaldinho-27076', '/player/s-eto-o-23565', '/player/l-giuly-1062']","['/player/moya-28767', '/player/s-ballesteros-29356', '/player/a-potenza-922', '/player/f-navarro-23482', '/player/cortes-23510', '/player/guillermo-pereyra-471519', '/player/farinos-29231', '/player/j-arango-7348', '/player/campano-29112', '/player/yordi-257807', '/player/y-okubo-10934']"
2005-09-11 17:00:00+00:00,Getafe,Athletic,"['/player/luis-garcia-7158', '/player/mariano-andres-pernia', '/player/david-belenguer-reverte', '/player/anibal-matellan', '/player/cosmin-marius-contra-10218', '/player/diego-rivas-23649', '/player/fabio-celestini', '/player/mario-gutierrez-cotelo', '/player/gavilan-23515', '/player/riki-23586', '/player/d-guiza-217020']","['/player/aranzubia-23570', '/player/javier-casas-cuevas', '/player/luis-prieto-23369', '/player/a-iraola-29960', '/player/u-exposito-29738', '/player/c-gurpegui-29971', '/player/i-gutierrez-34734', '/player/p-orbaiz-29970', '/player/francisco-javier-yeste-navarro-29968', '/player/f-llorente-29980', '/player/joseba-etxeberria-lizardi']"
2005-09-11 17:00:00+00:00,Racing,Cádiz,"['/player/aouate-7129', '/player/jose-moraton-taeno', '/player/samuel-30693', '/player/walid-regragui', '/player/pablo-pinillos-caro', '/player/casquero-23514', '/player/vitolo-53246', '/player/j-valle-28078', '/player/s-dalmat-3162', '/player/jose-fernando-marques-martin', '/player/d-aganzo-7506']","['/player/armando-riveiro-de-aguilar-malda', '/player/de-quintana-257709', '/player/a-paz-10847', '/player/raul-248229', '/player/varela-257691', '/player/a-fleurquin-210969', '/player/suarez-257712', '/player/pavoni-257704', '/player/jonathan-sesma-23373', '/player/enrique-257696', '/player/oli-257707']"
2005-09-11 17:00:00+00:00,R. Sociedad,Alavés,"['/player/riesgo-30475', '/player/labaka-27447', '/player/igor-jauregui', '/player/mikel-alonso-olano', '/player/aitor-lopez-rekarte', '/player/mikel-aranburu-eizagirre-27451', '/player/x-prieto-23648', '/player/gaizka-garitano', '/player/barkero-10861', '/player/darko-kovacevic', '/player/garikoitz-uranga']","['/player/roberto-bonano', '/player/edu-alonso', '/player/m-astudillo-473703', '/player/josu-sarriegi', '/player/hipolito-fernandez-serrano', '/player/juan-jesus-gutierrez-robles', '/player/jandro-30560', '/player/de-lucas-30385', '/player/nene-30766', '/player/ruben-navarro-29116', '/player/bodipo-23584']"
2005-09-11 17:00:00+00:00,Villarreal,Sevilla,"['/player/sebastian-viera-208191', '/player/enrique-alvarez-san-juan', '/player/g-rodriguez-23463', '/player/rodolfo-arruabarrena', '/player/jan-kromkamp-1430', '/player/jose-joaquin-moreno', '/player/alessio-tacchinardi', '/player/s-cazorla-27040', '/player/j-riquelme-81610', '/player/jose-mari-27475', '/player/diego-martin-forlan-corazo-39908']","['/player/a-palop-23480', '/player/david-prieto-30491', '/player/aitor-ocio-29962', '/player/david-castedo', '/player/d-alves-23559', '/player/e-maresca-7432', '/player/marti-23391', '/player/adriano-23484', '/player/renato-248883', '/player/kepa-23518', '/player/f-kanoute-7534']"
2005-09-11 19:00:00+00:00,Málaga,Espanyol,"['/player/francesc-arnau-gravalosa', '/player/alexis-23379', '/player/gerardo-37761', '/player/nacho-28227', '/player/c-navas-34478', '/player/vicente-valcarce', '/player/fernando-sanz', '/player/juan-rodriguez-23582', '/player/duda-28112', '/player/salvador-ballesta-vialcho', '/player/morales-257710']","['/player/c-kameni-23349', '/player/juanfran-23454', '/player/lopo-23574', '/player/david-garcia-23353', '/player/daniel-jarque-gonzalez', '/player/p-zabaleta-7502', '/player/didier-domi', '/player/fredson-camara-pereira', '/player/eduardo-costa-27012', '/player/l-garcia-23364', '/player/tamudo-23367']"
2005-09-11 19:00:00+00:00,Real Zaragoza,Valencia,"['/player/cesar-11120', '/player/g-milito-7271', '/player/toledo-257694', '/player/alvaro-luiz-maior-de-aquino', '/player/movilla-7446', '/player/l-ponzio-16956', '/player/a-zapater-7503', '/player/savio-257804', '/player/oscar-117572', '/player/d-milito-28271', '/player/ewerthon-henrique-de-souza']","['/player/santiago-canizares', '/player/roberto-fabian-ayala', '/player/f-aurelio-126', '/player/r-albiol-7342', '/player/emiliano-moretti', '/player/d-albelda-23380', '/player/ruben-baraja-vegas', '/player/rufete-11268', '/player/miguel-angulo', '/player/miguel-angel-ferrer-martinez', '/player/m-di-vaio-1221']"
