name,market_value,team,Season
Franco Costanzo,800 mil €,Alavés,2005_06
Roberto Bonano,750 mil €,Alavés,2005_06
Nicolas Ardouin,500 mil €,Alavés,2005_06
Gaspar Gálvez,"2,00 mill. €",Alavés,2005_06
Mauricio Pellegrino,"1,25 mill. €",Alavés,2005_06
Josu Sarriegi,700 mil €,Alavés,2005_06
Óscar Téllez,500 mil €,Alavés,2005_06
Poli,500 mil €,Alavés,2005_06
Lluís Carreras,300 mil €,Alavés,2005_06
Ibon Begoña,-,Alavés,2005_06
Edu Alonso,900 mil €,Alavés,2005_06
David Coromina,600 mil €,Alavés,2005_06
Juanito,"1,00 mill. €",Alavés,2005_06
Mehdi Lacen,475 mil €,Alavés,2005_06
Blagoy Georgiev,"2,00 mill. €",Alavés,2005_06
Santiago Carpintero,"1,25 mill. €",Alavés,2005_06
Martín Astudillo,"1,00 mill. €",Alavés,2005_06
Élton,50 mil €,Alavés,2005_06
Claude Gnakpa,-,Alavés,2005_06
Quique de Lucas,"3,00 mill. €",Alavés,2005_06
Jandro Castro,"1,00 mill. €",Alavés,2005_06
Nenê,600 mil €,Alavés,2005_06
Antonio Pacheco,"2,50 mill. €",Alavés,2005_06
Wesley,"2,00 mill. €",Alavés,2005_06
Henri Antchouet,"4,00 mill. €",Alavés,2005_06
John Aloisi,"2,25 mill. €",Alavés,2005_06
Rodolfo Bodipo,"2,00 mill. €",Alavés,2005_06
Pape Thiaw,"1,80 mill. €",Alavés,2005_06
Rubén Navarro,450 mil €,Alavés,2005_06
José María Mena,400 mil €,Alavés,2005_06
Arthuro,250 mil €,Alavés,2005_06
Daniel Aranzubia,"3,00 mill. €",Athletic,2005_06
Iñaki Lafuente,"1,50 mill. €",Athletic,2005_06
Miguel Escalona,50 mil €,Athletic,2005_06
Igor Etxebarrieta,-,Athletic,2005_06
Eder Martínez,100 mil €,Athletic,2005_06
Carlos Gurpegui,"3,75 mill. €",Athletic,2005_06
Aitor Karanka,"2,00 mill. €",Athletic,2005_06
Luis Prieto,800 mil €,Athletic,2005_06
Ustaritz,700 mil €,Athletic,2005_06
Ander Murillo,400 mil €,Athletic,2005_06
Fernando Amorebieta,400 mil €,Athletic,2005_06
Francisco Tarantino,175 mil €,Athletic,2005_06
Jon Moya,-,Athletic,2005_06
Javi Casas,700 mil €,Athletic,2005_06
Andoni Iraola,"7,50 mill. €",Athletic,2005_06
Mari Lacruz,600 mil €,Athletic,2005_06
Felipe Guréndez,400 mil €,Athletic,2005_06
Unai Expósito,300 mil €,Athletic,2005_06
Asier Ormazábal,100 mil €,Athletic,2005_06
Pablo Orbaiz,900 mil €,Athletic,2005_06
Gontzal Rodríguez,100 mil €,Athletic,2005_06
Tiko,"1,50 mill. €",Athletic,2005_06
Endika Bordas,500 mil €,Athletic,2005_06
Ibon Gutiérrez,200 mil €,Athletic,2005_06
Pablo Paredes,100 mil €,Athletic,2005_06
David de Paula,50 mil €,Athletic,2005_06
Andoitz Galdós,-,Athletic,2005_06
Mikel Martins,-,Athletic,2005_06
Javi González,900 mil €,Athletic,2005_06
Aritz Solabarrieta,500 mil €,Athletic,2005_06
Fran Yeste,"6,50 mill. €",Athletic,2005_06
Julen Guerrero,"1,00 mill. €",Athletic,2005_06
Jonan García,700 mil €,Athletic,2005_06
Mikel Dañobeitia,650 mil €,Athletic,2005_06
Urko Arroyo,125 mil €,Athletic,2005_06
Joseba Etxeberria,"4,00 mill. €",Athletic,2005_06
Aritz Aduriz,"3,25 mill. €",Athletic,2005_06
Ismael Urzaiz,"2,50 mill. €",Athletic,2005_06
Fernando Llorente,700 mil €,Athletic,2005_06
Joseba Arriaga,500 mil €,Athletic,2005_06
David Lizoain,75 mil €,Athletic,2005_06
Leo Franco,"6,50 mill. €",Atlético,2005_06
Iván Cuéllar,550 mil €,Atlético,2005_06
Roberto,350 mil €,Atlético,2005_06
Ismael Falcón,300 mil €,Atlético,2005_06
Curro Galán,-,Atlético,2005_06
Luis Amaranto Perea,"12,00 mill. €",Atlético,2005_06
Pablo Ibáñez,"9,50 mill. €",Atlético,2005_06
García Calvo,"4,25 mill. €",Atlético,2005_06
Juan Velasco,"3,50 mill. €",Atlético,2005_06
Pablo Sicilia,150 mil €,Atlético,2005_06
Antonio López,"10,50 mill. €",Atlético,2005_06
Juan Valera,650 mil €,Atlético,2005_06
Francisco Molinero,500 mil €,Atlético,2005_06
Antonio Moreno,-,Atlético,2005_06
Julián Vara,-,Atlético,2005_06
Peter Luccin,"5,50 mill. €",Atlético,2005_06
Gonzalo Colsa,"2,50 mill. €",Atlético,2005_06
José Ignacio Zahinos,"2,50 mill. €",Atlético,2005_06
Mario Suárez,250 mil €,Atlético,2005_06
Gabi,"2,00 mill. €",Atlético,2005_06
Ariel Ibagaza,"7,50 mill. €",Atlético,2005_06
Martin Petrov,"10,00 mill. €",Atlético,2005_06
Maxi Rodríguez,"9,00 mill. €",Atlético,2005_06
Luciano Galletti,"3,75 mill. €",Atlético,2005_06
Fernando Marqués,500 mil €,Atlético,2005_06
Fernando Torres,"25,00 mill. €",Atlético,2005_06
Mateja Kežman,"12,50 mill. €",Atlético,2005_06
Javier Arizmendi,"4,00 mill. €",Atlético,2005_06
Braulio Nóbrega,200 mil €,Atlético,2005_06
Manu del Moral,100 mil €,Atlético,2005_06
Rufino Segovia,100 mil €,Atlético,2005_06
Víctor Valdés,"11,00 mill. €",Barcelona,2005_06
Albert Jorquera,"1,75 mill. €",Barcelona,2005_06
Carles Puyol,"27,00 mill. €",Barcelona,2005_06
Rafa Márquez,"16,00 mill. €",Barcelona,2005_06
Oleguer,"6,00 mill. €",Barcelona,2005_06
Rodri,"1,50 mill. €",Barcelona,2005_06
Javi Martos,50 mil €,Barcelona,2005_06
Ramón Masó,-,Barcelona,2005_06
Jesús Olmo,-,Barcelona,2005_06
Giovanni van Bronckhorst,"6,00 mill. €",Barcelona,2005_06
Sylvinho,"4,25 mill. €",Barcelona,2005_06
Carlos Peña,50 mil €,Barcelona,2005_06
Juliano Belletti,"8,00 mill. €",Barcelona,2005_06
Damià Abella,"2,00 mill. €",Barcelona,2005_06
Thiago Motta,"9,00 mill. €",Barcelona,2005_06
Edmílson,"8,00 mill. €",Barcelona,2005_06
Gabri,"4,50 mill. €",Barcelona,2005_06
Xavi,"28,00 mill. €",Barcelona,2005_06
Mark van Bommel,"12,00 mill. €",Barcelona,2005_06
Andrés Iniesta,"12,00 mill. €",Barcelona,2005_06
Pitu,50 mil €,Barcelona,2005_06
Jordi Gómez,50 mil €,Barcelona,2005_06
Ludovic Sylvestre,-,Barcelona,2005_06
Andrea Orlandi,-,Barcelona,2005_06
Deco,"24,25 mill. €",Barcelona,2005_06
Ronaldinho,"70,00 mill. €",Barcelona,2005_06
Cristian Hidalgo,50 mil €,Barcelona,2005_06
Paco Montañés,-,Barcelona,2005_06
Lionel Messi,"15,00 mill. €",Barcelona,2005_06
Ludovic Giuly,"10,00 mill. €",Barcelona,2005_06
Samuel Eto'o,"36,00 mill. €",Barcelona,2005_06
Maxi López,"5,50 mill. €",Barcelona,2005_06
Santiago Ezquerro,"5,00 mill. €",Barcelona,2005_06
Henrik Larsson,"4,50 mill. €",Barcelona,2005_06
Pedro Contreras,"3,75 mill. €",Real Betis,2005_06
Toni Doblas,"1,00 mill. €",Real Betis,2005_06
Víctor Bocanegra,-,Real Betis,2005_06
David Relaño,-,Real Betis,2005_06
Juanito,"6,00 mill. €",Real Betis,2005_06
Melli,"5,00 mill. €",Real Betis,2005_06
Alejandro Lembo,"1,25 mill. €",Real Betis,2005_06
David Rivas,800 mil €,Real Betis,2005_06
Arzu,500 mil €,Real Betis,2005_06
Nano Rivas,100 mil €,Real Betis,2005_06
Paolo Castellini,"2,25 mill. €",Real Betis,2005_06
Luis Fernández,450 mil €,Real Betis,2005_06
Óscar López,"1,25 mill. €",Real Betis,2005_06
Fernando Varela,500 mil €,Real Betis,2005_06
Isidoro,-,Real Betis,2005_06
Miguel Ángel,"2,00 mill. €",Real Betis,2005_06
Juanjo Cañas,400 mil €,Real Betis,2005_06
Juande Prados,200 mil €,Real Betis,2005_06
José Alberto Cañas,-,Real Betis,2005_06
Marcos Assunção,"6,25 mill. €",Real Betis,2005_06
Alberto Rivera,800 mil €,Real Betis,2005_06
Israel Bascón,400 mil €,Real Betis,2005_06
Juanlu,300 mil €,Real Betis,2005_06
Capi,"4,00 mill. €",Real Betis,2005_06
Fernando,"1,50 mill. €",Real Betis,2005_06
Denilson,"6,00 mill. €",Real Betis,2005_06
Joaquín,"22,00 mill. €",Real Betis,2005_06
Xisco Muñoz,"4,00 mill. €",Real Betis,2005_06
Edú,"3,50 mill. €",Real Betis,2005_06
Ricardo Oliveira,"6,00 mill. €",Real Betis,2005_06
Robert,"4,00 mill. €",Real Betis,2005_06
Dani,"1,00 mill. €",Real Betis,2005_06
Diego Tardelli,750 mil €,Real Betis,2005_06
Armando Ribeiro,900 mil €,Cádiz,2005_06
Alejandro Limia,600 mil €,Cádiz,2005_06
Raúl Navas,-,Cádiz,2005_06
José Julian De La Cuesta,"3,00 mill. €",Cádiz,2005_06
Ramón de Quintana,500 mil €,Cádiz,2005_06
Abraham Paz,450 mil €,Cádiz,2005_06
Eduardo Berizzo,150 mil €,Cádiz,2005_06
Raúl López,800 mil €,Cádiz,2005_06
Mário Silva,600 mil €,Cádiz,2005_06
Alejandro Varela,800 mil €,Cádiz,2005_06
Marc Bertrán,400 mil €,Cádiz,2005_06
Luciano Vella,350 mil €,Cádiz,2005_06
Andrés Fleurquín,500 mil €,Cádiz,2005_06
Benjamín,"1,25 mill. €",Cádiz,2005_06
Roberto Suárez,700 mil €,Cádiz,2005_06
Manolo Pérez,175 mil €,Cádiz,2005_06
Fabián Estoyanoff,"1,75 mill. €",Cádiz,2005_06
Fernando Morán,500 mil €,Cádiz,2005_06
Iván Ania,300 mil €,Cádiz,2005_06
Matías Pavoni,800 mil €,Cádiz,2005_06
Juan José Bezares,800 mil €,Cádiz,2005_06
Enrique Ortiz,"1,25 mill. €",Cádiz,2005_06
Jonathan Sesma,"1,25 mill. €",Cádiz,2005_06
Lucas Lobos,"2,00 mill. €",Cádiz,2005_06
Alexander Medina,900 mil €,Cádiz,2005_06
Nenad Mirosavljevic,750 mil €,Cádiz,2005_06
Oli,600 mil €,Cádiz,2005_06
Javi Acuña,75 mil €,Cádiz,2005_06
Esteban,"3,00 mill. €",Celta,2005_06
José Manuel Pinto,50 mil €,Celta,2005_06
Pablo Contreras,"3,00 mill. €",Celta,2005_06
Sergio Fernández,"2,50 mill. €",Celta,2005_06
Matías Lequi,"2,00 mill. €",Celta,2005_06
Sebastián Méndez,750 mil €,Celta,2005_06
Yago Yao,300 mil €,Celta,2005_06
Diego Placente,"4,50 mill. €",Celta,2005_06
José Enrique,800 mil €,Celta,2005_06
Ángel López,50 mil €,Celta,2005_06
Borja Oubiña,"3,00 mill. €",Celta,2005_06
Roberto Sousa,800 mil €,Celta,2005_06
Jorge Larena,"3,00 mill. €",Celta,2005_06
Iriney,900 mil €,Celta,2005_06
Everton Giovanella,750 mil €,Celta,2005_06
Jonathan Aspas,500 mil €,Celta,2005_06
Isaac,200 mil €,Celta,2005_06
Fabián Canobbio,"1,50 mill. €",Celta,2005_06
David Silva,800 mil €,Celta,2005_06
Gustavo López,"7,50 mill. €",Celta,2005_06
Daniël de Ridder,"1,25 mill. €",Celta,2005_06
Carlos Vela,"3,00 mill. €",Celta,2005_06
Antonio Núñez,"1,30 mill. €",Celta,2005_06
Javi Guerrero,"3,50 mill. €",Celta,2005_06
Fernando Baiano,"3,00 mill. €",Celta,2005_06
Jesús Perera,350 mil €,Celta,2005_06
Juan Sánchez,-,Celta,2005_06
José Francisco Molina,"3,85 mill. €",RC Deportivo,2005_06
Gustavo Munúa,"1,50 mill. €",RC Deportivo,2005_06
Dani Mallo,750 mil €,RC Deportivo,2005_06
Jorge Andrade,"12,50 mill. €",RC Deportivo,2005_06
Fabricio Coloccini,"8,00 mill. €",RC Deportivo,2005_06
Juanma Delgado,"1,80 mill. €",RC Deportivo,2005_06
César Martín,"1,75 mill. €",RC Deportivo,2005_06
Pablo Amo,"1,75 mill. €",RC Deportivo,2005_06
Chapi,150 mil €,RC Deportivo,2005_06
Joan Capdevila,"7,50 mill. €",RC Deportivo,2005_06
Enrique Romero,"1,75 mill. €",RC Deportivo,2005_06
Manuel Pablo,"6,00 mill. €",RC Deportivo,2005_06
Héctor Berenguel,"4,50 mill. €",RC Deportivo,2005_06
Lionel Scaloni,"4,00 mill. €",RC Deportivo,2005_06
Aldo Duscher,"7,50 mill. €",RC Deportivo,2005_06
Julian de Guzmán,"3,00 mill. €",RC Deportivo,2005_06
Carlos Pita,150 mil €,RC Deportivo,2005_06
Sergio,"8,00 mill. €",RC Deportivo,2005_06
Roberto Acuña,"1,25 mill. €",RC Deportivo,2005_06
Jesús Muñoz,500 mil €,RC Deportivo,2005_06
Paco Gallardo,750 mil €,RC Deportivo,2005_06
Juan Carlos Valerón,"14,00 mill. €",RC Deportivo,2005_06
Iago Iglesias,250 mil €,RC Deportivo,2005_06
Iván Carril,100 mil €,RC Deportivo,2005_06
Albert Luque,"10,00 mill. €",RC Deportivo,2005_06
Momo,500 mil €,RC Deportivo,2005_06
Víctor Sánchez,"7,50 mill. €",RC Deportivo,2005_06
Pedro Munitis,"6,50 mill. €",RC Deportivo,2005_06
Diego Tristán,"9,00 mill. €",RC Deportivo,2005_06
Javier Arizmendi,"4,00 mill. €",RC Deportivo,2005_06
Sebastián Taborda,"2,25 mill. €",RC Deportivo,2005_06
Rubén Castro,"1,50 mill. €",RC Deportivo,2005_06
Xisco,"1,00 mill. €",RC Deportivo,2005_06
Senel,250 mil €,RC Deportivo,2005_06
Carlos Kameni,"4,00 mill. €",Espanyol,2005_06
Biel Ribas,300 mil €,Espanyol,2005_06
Gorka Iraizoz,50 mil €,Espanyol,2005_06
Mauricio Pochettino,"2,00 mill. €",Espanyol,2005_06
Alberto Lopo,"1,50 mill. €",Espanyol,2005_06
Dani Jarque,300 mil €,Espanyol,2005_06
Sergio Sánchez,300 mil €,Espanyol,2005_06
Marc Torrejón,100 mil €,Espanyol,2005_06
Miquel Robusté,-,Espanyol,2005_06
Didier Domi,"2,50 mill. €",Espanyol,2005_06
David García,400 mil €,Espanyol,2005_06
Juanfran Torres,"6,00 mill. €",Espanyol,2005_06
Pablo Zabaleta,"3,75 mill. €",Espanyol,2005_06
Armando Sá,"1,00 mill. €",Espanyol,2005_06
Eduardo Costa,"3,00 mill. €",Espanyol,2005_06
Frédson,900 mil €,Espanyol,2005_06
Moisés Hurtado,800 mil €,Espanyol,2005_06
Àngel Morales,300 mil €,Espanyol,2005_06
Luis García,"3,00 mill. €",Espanyol,2005_06
Ito,"1,00 mill. €",Espanyol,2005_06
Miki Martínez,-,Espanyol,2005_06
Toni Velamazán,500 mil €,Espanyol,2005_06
Albert Riera,"5,00 mill. €",Espanyol,2005_06
Iván de la Peña,"5,25 mill. €",Espanyol,2005_06
Jofre Mateu,250 mil €,Espanyol,2005_06
Martín Posse,300 mil €,Espanyol,2005_06
Raúl Tamudo,"8,00 mill. €",Espanyol,2005_06
Walter Pandiani,"7,50 mill. €",Espanyol,2005_06
Jonathan Soriano,500 mil €,Espanyol,2005_06
Ferrán Corominas,400 mil €,Espanyol,2005_06
Albert Yagüe,75 mil €,Espanyol,2005_06
Juan Calatayud,"2,50 mill. €",Getafe,2005_06
Luis García,"1,00 mill. €",Getafe,2005_06
Alejandro Rebollo,-,Getafe,2005_06
Sito,-,Getafe,2005_06
Aníbal Matellán,"1,80 mill. €",Getafe,2005_06
David Belenguer,800 mil €,Getafe,2005_06
Rubén Pulido,800 mil €,Getafe,2005_06
Alberto Aguilar,500 mil €,Getafe,2005_06
Manuel Tena,450 mil €,Getafe,2005_06
Mariano Pernía,"4,50 mill. €",Getafe,2005_06
Nano,"2,50 mill. €",Getafe,2005_06
Javier Paredes,275 mil €,Getafe,2005_06
Cosmin Contra,-,Getafe,2005_06
Fabio Celestini,"1,50 mill. €",Getafe,2005_06
David Cubillo,250 mil €,Getafe,2005_06
Diego Rivas,"1,50 mill. €",Getafe,2005_06
Mario Cotelo,800 mil €,Getafe,2005_06
Ángel Vivar Dorado,500 mil €,Getafe,2005_06
Pablo Redondo,200 mil €,Getafe,2005_06
Jaime Gavilán,"2,50 mill. €",Getafe,2005_06
Riki,"6,00 mill. €",Getafe,2005_06
Jajá,"4,00 mill. €",Getafe,2005_06
Veljko Paunovic,"2,25 mill. €",Getafe,2005_06
Dani Güiza,"1,25 mill. €",Getafe,2005_06
Sergio Pachón,500 mil €,Getafe,2005_06
Gică Craioveanu,-,Getafe,2005_06
Francesc Arnau,"2,50 mill. €",Málaga,2005_06
Iñaki Goitia,250 mil €,Málaga,2005_06
Manolo Reina,-,Málaga,2005_06
Litos,"1,50 mill. €",Málaga,2005_06
Fernando Sanz,900 mil €,Málaga,2005_06
César Navas,800 mil €,Málaga,2005_06
Alexis Ruano,300 mil €,Málaga,2005_06
Marc Torrejón,100 mil €,Málaga,2005_06
Jorge Ribeiro,"2,50 mill. €",Málaga,2005_06
Nacho,750 mil €,Málaga,2005_06
Vicente Valcarce,600 mil €,Málaga,2005_06
Gabriel,"1,75 mill. €",Málaga,2005_06
Gerardo García,600 mil €,Málaga,2005_06
Jesús Gámez,300 mil €,Málaga,2005_06
Ricardo Bóvio,"1,75 mill. €",Málaga,2005_06
Anderson Silva,500 mil €,Málaga,2005_06
Juan Rodríguez,300 mil €,Málaga,2005_06
Antonio Hidalgo,"1,25 mill. €",Málaga,2005_06
Fernando Usero,100 mil €,Málaga,2005_06
Marcelo Romero,-,Málaga,2005_06
Abel Gómez,-,Málaga,2005_06
Manu Sánchez,700 mil €,Málaga,2005_06
Duda,"2,00 mill. €",Málaga,2005_06
Antonio López,-,Málaga,2005_06
Jorge Pina,75 mil €,Málaga,2005_06
Saúl,-,Málaga,2005_06
Diego Castro,-,Málaga,2005_06
Edgar,"1,00 mill. €",Málaga,2005_06
Salva Ballesta,"6,00 mill. €",Málaga,2005_06
Richard Morales,750 mil €,Málaga,2005_06
Pablo Couñago,750 mil €,Málaga,2005_06
Paco Esteban,-,Málaga,2005_06
Ador,-,Málaga,2005_06
Miguel Ángel Moyá,"2,50 mill. €",Mallorca,2005_06
Toni Prats,"1,25 mill. €",Mallorca,2005_06
Eduardo Tuzzio,"2,50 mill. €",Mallorca,2005_06
José Nunes,"1,50 mill. €",Mallorca,2005_06
Sergio Ballesteros,"1,50 mill. €",Mallorca,2005_06
Mark Iuliano,"1,00 mill. €",Mallorca,2005_06
José Rodríguez,-,Mallorca,2005_06
Fernando Navarro,"2,50 mill. €",Mallorca,2005_06
David Cortés,"3,00 mill. €",Mallorca,2005_06
Alessandro Potenza,"3,00 mill. €",Mallorca,2005_06
Francisco Diego Maciel,600 mil €,Mallorca,2005_06
Rafita,200 mil €,Mallorca,2005_06
Angelos Basinas,"4,00 mill. €",Mallorca,2005_06
Javier Farinós,"2,00 mill. €",Mallorca,2005_06
Borja Fernández,"1,50 mill. €",Mallorca,2005_06
Guillermo Pereyra,"3,50 mill. €",Mallorca,2005_06
Bernat Alomar,-,Mallorca,2005_06
Alejandro Campano,450 mil €,Mallorca,2005_06
Juan Arango,"1,50 mill. €",Mallorca,2005_06
Jonás Gutiérrez,"1,00 mill. €",Mallorca,2005_06
Adrián Peralta,400 mil €,Mallorca,2005_06
Leonardo Pisculichi,"1,75 mill. €",Mallorca,2005_06
Cristiano Doni,800 mil €,Mallorca,2005_06
Tuni,500 mil €,Mallorca,2005_06
Yoshito Okubo,"1,50 mill. €",Mallorca,2005_06
Lampros Choutos,"1,50 mill. €",Mallorca,2005_06
Yordi,"1,00 mill. €",Mallorca,2005_06
Víctor Casadesús,800 mil €,Mallorca,2005_06
Braulio Nóbrega,200 mil €,Mallorca,2005_06
Toni Muñoz,200 mil €,Mallorca,2005_06
Chus Seco,-,Mallorca,2005_06
Ricardo,"1,00 mill. €",Osasuna,2005_06
Juantxo Elía,300 mil €,Osasuna,2005_06
Roberto Santamaría,100 mil €,Osasuna,2005_06
Miguel Flaño,"4,00 mill. €",Osasuna,2005_06
César Cruchaga,600 mil €,Osasuna,2005_06
Josetxo,500 mil €,Osasuna,2005_06
Carlos Cuéllar,200 mil €,Osasuna,2005_06
Enrique Corrales,900 mil €,Osasuna,2005_06
Rafael Clavero,600 mil €,Osasuna,2005_06
Juanma Ortiz,"1,25 mill. €",Osasuna,2005_06
José Izquierdo,900 mil €,Osasuna,2005_06
Javier Flaño,400 mil €,Osasuna,2005_06
Marcelo Sosa,"2,00 mill. €",Osasuna,2005_06
Patxi Puñal,"1,50 mill. €",Osasuna,2005_06
Iñaki Muñoz,"1,10 mill. €",Osasuna,2005_06
David López,"1,00 mill. €",Osasuna,2005_06
Raúl García,"10,00 mill. €",Osasuna,2005_06
Moha,700 mil €,Osasuna,2005_06
Fran Moreno,350 mil €,Osasuna,2005_06
Ludovic Delporte,700 mil €,Osasuna,2005_06
Valdo,"4,25 mill. €",Osasuna,2005_06
Savo Milosevic,"3,60 mill. €",Osasuna,2005_06
Bernardo Romeo,"3,50 mill. €",Osasuna,2005_06
Pierre Webó,"1,00 mill. €",Osasuna,2005_06
Gorka Brit,250 mil €,Osasuna,2005_06
Dudu Aouate,"2,00 mill. €",Racing,2005_06
Toño,100 mil €,Racing,2005_06
Juanjo Valencia,-,Racing,2005_06
Trevi,-,Racing,2005_06
Pablo Alfaro,"1,00 mill. €",Racing,2005_06
Ho-jin Lee,750 mil €,Racing,2005_06
José Moratón,600 mil €,Racing,2005_06
Oriol Lozano,400 mil €,Racing,2005_06
Ezequiel Garay,300 mil €,Racing,2005_06
Samuel San José,225 mil €,Racing,2005_06
Ayoze Díaz,500 mil €,Racing,2005_06
Neru,350 mil €,Racing,2005_06
Damià Abella,"2,00 mill. €",Racing,2005_06
Pablo Pinillos,600 mil €,Racing,2005_06
Walid Regragui,300 mil €,Racing,2005_06
Javi Casquero,"1,25 mill. €",Racing,2005_06
Felipe Melo,900 mil €,Racing,2005_06
Sergio Matabuena,500 mil €,Racing,2005_06
Stéphane Dalmat,"7,00 mill. €",Racing,2005_06
Vitolo,"1,25 mill. €",Racing,2005_06
Antonio Tomás,500 mil €,Racing,2005_06
Cristian Portilla,-,Racing,2005_06
Chema Mato,-,Racing,2005_06
Rubén García,-,Racing,2005_06
Raúl Martín,375 mil €,Racing,2005_06
Óscar Serrano,600 mil €,Racing,2005_06
Jonathan Valle,"1,25 mill. €",Racing,2005_06
Álex García,-,Racing,2005_06
Fernando Marqués,500 mil €,Racing,2005_06
Wilfried Dalmat,500 mil €,Racing,2005_06
Mauricio Pinilla,"2,50 mill. €",Racing,2005_06
Antoñito,"1,80 mill. €",Racing,2005_06
David Aganzo,"1,50 mill. €",Racing,2005_06
Juanjo Expósito,800 mil €,Racing,2005_06
Iker Casillas,"25,00 mill. €",Real Madrid,2005_06
Diego López,"2,00 mill. €",Real Madrid,2005_06
David Cobeño,500 mil €,Real Madrid,2005_06
Jordi Codina,-,Real Madrid,2005_06
Sergio Ramos,"17,50 mill. €",Real Madrid,2005_06
Jonathan Woodgate,"12,00 mill. €",Real Madrid,2005_06
Iván Helguera,"8,50 mill. €",Real Madrid,2005_06
Raúl Bravo,"3,50 mill. €",Real Madrid,2005_06
Francisco Pavón,"3,50 mill. €",Real Madrid,2005_06
Álvaro Mejía,"2,00 mill. €",Real Madrid,2005_06
Rubén González,900 mil €,Real Madrid,2005_06
Roberto Carlos,"6,50 mill. €",Real Madrid,2005_06
Cicinho,"12,50 mill. €",Real Madrid,2005_06
Míchel Salgado,"5,00 mill. €",Real Madrid,2005_06
Carlos Diogo,"3,50 mill. €",Real Madrid,2005_06
Álvaro Arbeloa,700 mil €,Real Madrid,2005_06
Pablo García,"4,50 mill. €",Real Madrid,2005_06
Thomas Gravesen,"3,50 mill. €",Real Madrid,2005_06
Javi García,"1,75 mill. €",Real Madrid,2005_06
Marcos Tébar,-,Real Madrid,2005_06
David Beckham,"22,00 mill. €",Real Madrid,2005_06
Guti,"10,50 mill. €",Real Madrid,2005_06
Rubén de la Red,"1,50 mill. €",Real Madrid,2005_06
Borja Valero,-,Real Madrid,2005_06
Júlio Baptista,"20,00 mill. €",Real Madrid,2005_06
Zinédine Zidane,"12,50 mill. €",Real Madrid,2005_06
José Manuel Jurado,"2,00 mill. €",Real Madrid,2005_06
Adrián Martín,"1,25 mill. €",Real Madrid,2005_06
Robinho,"25,00 mill. €",Real Madrid,2005_06
Javier Balboa,"2,50 mill. €",Real Madrid,2005_06
Antonio Cassano,"20,50 mill. €",Real Madrid,2005_06
Raúl,"17,50 mill. €",Real Madrid,2005_06
Ronaldo,"27,50 mill. €",Real Madrid,2005_06
Javier Portillo,"3,50 mill. €",Real Madrid,2005_06
Roberto Soldado,"2,00 mill. €",Real Madrid,2005_06
David Barral,-,Real Madrid,2005_06
Asier Riesgo,"2,00 mill. €",R. Sociedad,2005_06
Alberto López,300 mil €,R. Sociedad,2005_06
Jérémie Bréchet,"3,00 mill. €",R. Sociedad,2005_06
Sergio Boris,"2,50 mill. €",R. Sociedad,2005_06
Igor Jauregi,750 mil €,R. Sociedad,2005_06
Ion Ansotegi,450 mil €,R. Sociedad,2005_06
Mikel Labaka,400 mil €,R. Sociedad,2005_06
Daniel Cifuentes,400 mil €,R. Sociedad,2005_06
Mikel González,200 mil €,R. Sociedad,2005_06
Javier Garrido,400 mil €,R. Sociedad,2005_06
Xabier Castillo,-,R. Sociedad,2005_06
Aitor López Rekarte,"5,00 mill. €",R. Sociedad,2005_06
Jhon Viáfara,"2,50 mill. €",R. Sociedad,2005_06
Gaizka Garitano,900 mil €,R. Sociedad,2005_06
Mikel Alonso,"3,00 mill. €",R. Sociedad,2005_06
Mikel Aranburu,"2,00 mill. €",R. Sociedad,2005_06
Dalibor Stevanovic,"1,00 mill. €",R. Sociedad,2005_06
Gorka Larrea,325 mil €,R. Sociedad,2005_06
Álvaro Novo,"2,50 mill. €",R. Sociedad,2005_06
Igor Gabilondo,"3,00 mill. €",R. Sociedad,2005_06
José Javier Barkero,"2,00 mill. €",R. Sociedad,2005_06
Xabi Prieto,"1,50 mill. €",R. Sociedad,2005_06
Gari Uranga,400 mil €,R. Sociedad,2005_06
Mark González,"1,50 mill. €",R. Sociedad,2005_06
Oskitz Estefanía,400 mil €,R. Sociedad,2005_06
Nihat Kahveci,"8,00 mill. €",R. Sociedad,2005_06
Darko Kovacevic,"6,00 mill. €",R. Sociedad,2005_06
Morten Skoubo,"2,50 mill. €",R. Sociedad,2005_06
Óscar de Paula,600 mil €,R. Sociedad,2005_06
Imanol Agirretxe,200 mil €,R. Sociedad,2005_06
Iñigo Díaz de Cerio,100 mil €,R. Sociedad,2005_06
Andrés Palop,"2,00 mill. €",Sevilla,2005_06
Antonio Notario,900 mil €,Sevilla,2005_06
Sergio Ramos,"17,50 mill. €",Sevilla,2005_06
Julien Escudé,"3,00 mill. €",Sevilla,2005_06
Javi Navarro,"2,00 mill. €",Sevilla,2005_06
Ivica Dragutinovic,"1,50 mill. €",Sevilla,2005_06
Pablo Alfaro,"1,00 mill. €",Sevilla,2005_06
Aitor Ocio,400 mil €,Sevilla,2005_06
Pablo Ruiz,300 mil €,Sevilla,2005_06
David Prieto,200 mil €,Sevilla,2005_06
José Crespo,200 mil €,Sevilla,2005_06
Adriano,"2,25 mill. €",Sevilla,2005_06
David Castedo,400 mil €,Sevilla,2005_06
Antonio Puerta,-,Sevilla,2005_06
Dani Alves,"5,00 mill. €",Sevilla,2005_06
Jesús Navas,"2,50 mill. €",Sevilla,2005_06
Manuel Blanco,175 mil €,Sevilla,2005_06
