Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2005-09-24,Valencia,R. Sociedad,2,1,H,1,0,H,11,11,8,4,20,12,5,8,2,1,0,0,1.5,3.75,7.0
SP1,2005-09-24,Real Zaragoza,RC Deportivo,1,1,D,1,1,D,15,16,7,5,22,15,8,7,2,1,0,0,2.4,3.25,2.8
SP1,2005-09-25,Alavés,Real Madrid,0,3,A,0,0,D,17,20,6,7,17,24,7,10,1,3,0,0,6.0,3.4,1.61
SP1,2005-09-25,Athletic,Racing,0,0,D,0,0,D,17,5,3,1,16,29,17,5,3,6,0,0,1.72,3.3,5.0
SP1,2005-09-25,Celta,Sevilla,2,1,H,2,0,H,12,9,5,3,22,24,4,6,2,5,0,0,2.2,3.2,3.25
SP1,2005-09-25,Mallorca,Málaga,1,4,A,0,2,A,14,9,7,5,24,22,8,2,0,1,0,0,2.1,3.25,3.4
SP1,2005-09-25,Osasuna,Cádiz,2,0,H,1,0,H,19,3,7,0,27,13,5,5,4,2,0,0,1.9,3.25,4.0
SP1,2005-10-01,Barcelona,Real Zaragoza,2,2,D,0,0,D,22,7,7,3,16,23,1,2,4,3,0,1,1.33,4.5,9.5
SP1,2005-10-01,Getafe,Valencia,2,1,H,1,1,D,12,9,6,2,25,24,2,0,1,4,0,1,2.6,3.2,2.62
SP1,2005-10-02,Cádiz,Celta,1,1,D,1,1,D,11,8,6,5,26,18,3,3,2,4,0,0,2.5,3.2,2.75
SP1,2005-10-02,RC Deportivo,Osasuna,0,1,A,0,1,A,12,7,1,4,24,25,2,5,1,3,0,0,1.66,3.4,5.5
SP1,2005-10-02,Málaga,Atlético,0,2,A,0,1,A,7,14,2,7,19,20,4,6,3,4,0,0,2.4,3.25,2.8
SP1,2005-10-02,Real Madrid,Mallorca,4,0,H,2,0,H,16,11,8,3,17,18,9,5,0,2,0,1,1.25,5.0,13.0
SP1,2005-10-02,Racing,Alavés,1,2,A,0,1,A,9,9,4,3,26,9,6,2,3,1,0,0,1.9,3.25,4.0
SP1,2005-10-02,Sevilla,Espanyol,1,1,D,0,1,A,12,8,3,3,13,11,9,2,3,1,0,0,1.9,3.25,4.0
SP1,2005-10-02,R. Sociedad,Real Betis,1,1,D,0,1,A,16,11,5,3,14,25,4,5,2,2,0,0,2.5,3.2,2.75
SP1,2005-10-02,Villarreal,Athletic,3,1,H,1,1,D,19,10,6,5,11,15,7,2,3,3,0,1,1.83,3.3,4.33
SP1,2005-10-15,Alavés,Villarreal,1,1,D,1,1,D,12,9,4,4,16,18,12,2,2,5,0,0,2.62,3.2,2.37
SP1,2005-10-15,Atlético,Real Madrid,0,3,A,0,1,A,15,14,3,7,16,16,7,5,5,2,1,0,3.0,3.25,2.1
SP1,2005-10-15,RC Deportivo,Barcelona,3,3,D,1,2,A,9,13,4,6,19,18,2,3,4,4,0,0,3.0,3.25,2.1
SP1,2005-10-16,Athletic,Sevilla,0,1,A,0,1,A,21,10,3,3,9,17,6,3,1,2,1,0,2.2,3.25,2.8
SP1,2005-10-16,Real Betis,Getafe,1,0,H,1,0,H,13,13,3,6,26,19,4,5,2,4,0,1,1.8,3.25,4.0
SP1,2005-10-16,Espanyol,Cádiz,0,2,A,0,0,D,7,8,1,4,18,18,4,4,1,3,1,0,1.72,3.25,4.33
SP1,2005-10-16,Mallorca,Racing,0,0,D,0,0,D,13,7,3,4,23,21,9,0,2,7,0,0,2.2,3.25,2.8
SP1,2005-10-16,Osasuna,Celta,2,0,H,0,0,D,10,14,4,3,25,17,3,7,4,2,0,0,2.1,3.25,3.0
SP1,2005-10-16,Valencia,Málaga,2,1,H,1,0,H,15,11,7,4,21,23,9,4,3,2,0,0,1.57,3.6,5.0
SP1,2005-10-16,Real Zaragoza,R. Sociedad,0,1,A,0,1,A,17,7,2,3,14,16,11,5,2,1,0,1,1.72,3.25,4.33
SP1,2005-10-22,Barcelona,Osasuna,3,0,H,0,0,D,24,6,10,1,10,21,7,2,1,4,0,0,1.36,4.33,9.0
SP1,2005-10-22,Sevilla,Alavés,2,0,H,1,0,H,13,8,5,3,21,19,6,3,2,7,0,0,1.72,3.4,5.0
SP1,2005-10-23,Cádiz,Athletic,1,0,H,1,0,H,11,12,2,0,20,10,3,1,3,0,0,0,2.25,3.2,3.1
SP1,2005-10-23,Celta,Espanyol,1,0,H,0,0,D,19,12,5,4,18,21,3,1,3,4,0,1,2.0,3.3,3.6
SP1,2005-10-23,Getafe,Real Zaragoza,5,2,H,4,0,H,14,14,8,6,15,24,5,7,2,5,0,0,2.2,3.2,3.25
SP1,2005-10-23,Málaga,Real Betis,5,0,H,2,0,H,17,10,9,4,26,14,7,4,1,1,0,0,2.4,3.25,2.8
SP1,2005-10-23,Real Madrid,Valencia,1,2,A,1,2,A,15,16,3,6,20,23,6,6,4,3,2,0,1.66,3.4,5.5
SP1,2005-10-23,Racing,Atlético,0,1,A,0,1,A,8,12,3,5,20,20,10,4,2,2,0,0,2.6,3.2,2.62
SP1,2005-10-23,R. Sociedad,RC Deportivo,2,0,H,0,0,D,16,13,9,1,26,14,5,4,2,2,0,0,2.4,3.25,2.8
SP1,2005-10-23,Villarreal,Mallorca,3,0,H,3,0,H,18,13,7,2,13,16,4,6,1,1,0,0,1.57,3.6,6.0
SP1,2005-10-26,Barcelona,Málaga,2,0,H,0,0,D,36,4,20,1,6,24,12,2,0,5,0,0,1.25,5.0,13.0
SP1,2005-10-26,Real Betis,Villarreal,2,3,A,1,1,D,10,4,4,4,10,8,2,2,4,4,1,0,2.25,3.2,3.1
SP1,2005-10-26,RC Deportivo,Real Madrid,3,1,H,2,0,H,21,7,5,4,21,20,5,3,3,3,0,0,2.87,3.25,2.37
SP1,2005-10-26,Mallorca,Celta,1,0,H,0,0,D,15,8,5,2,23,22,5,4,3,1,0,1,2.5,3.2,2.75
SP1,2005-10-26,Osasuna,Athletic,3,2,H,1,1,D,11,16,7,2,21,19,2,2,4,1,0,0,1.9,3.25,4.0
