"name","market_value","team"
"Unai Simón","16,00 mill. €","Athletic"
"Iago Herrerín","2,80 mill. €","Athletic"
"Jokin Ezkieta","300 mil €","Athletic"
"Ander Iru","50 mil €","Athletic"
"Iñigo Martínez","25,50 mill. €","Athletic"
"Yeray Álvarez","24,00 mill. €","Athletic"
"Unai Núñez","16,00 mill. €","Athletic"
"Jon Sillero","200 mil €","Athletic"
"Dani Vivian","200 mil €","Athletic"
"Yuri Berchiche","16,00 mill. €","Athletic"
"Mikel Balenziaga","1,60 mill. €","Athletic"
"Ander Capa","6,00 mill. €","Athletic"
"Óscar de Marcos","3,20 mill. €","Athletic"
"Gaizka Larrazabal","2,00 mill. €","Athletic"
"Iñigo Lekue","1,60 mill. €","Athletic"
"Jesús Areso","200 mil €","Athletic"
"Mikel San José","4,80 mill. €","Athletic"
"Dani García","4,80 mill. €","Athletic"
"Mikel Vesga","2,40 mill. €","Athletic"
"Beñat Etxebarria","2,40 mill. €","Athletic"
"Unai López","2,40 mill. €","Athletic"
"Unai Vencedor","1,80 mill. €","Athletic"
"Raúl García","6,00 mill. €","Athletic"
"Oihan Sancet","2,30 mill. €","Athletic"
"Iker Muniain","14,00 mill. €","Athletic"
"Álex Berenguer","4,80 mill. €","Athletic"
"Iñigo Córdoba","3,20 mill. €","Athletic"
"Ibai Gómez","3,20 mill. €","Athletic"
"Iñaki Williams","40,00 mill. €","Athletic"
"Asier Villalibre","3,20 mill. €","Athletic"
"Kenan Kodro","800 mil €","Athletic"
"Aritz Aduriz","-","Athletic"
"Jan Oblak","80,00 mill. €","Atlético"
"Antonio Adán","800 mil €","Atlético"
"Álex dos Santos","200 mil €","Atlético"
"José María Giménez","56,00 mill. €","Atlético"
"Stefan Savic","25,50 mill. €","Atlético"
"Felipe","25,50 mill. €","Atlético"
"Mario Hermoso","20,00 mill. €","Atlético"
"Álvaro García","150 mil €","Atlético"
"Renan Lodi","31,50 mill. €","Atlético"
"Manu Sánchez","2,70 mill. €","Atlético"
"Kieran Trippier","28,00 mill. €","Atlético"
"Marcos Llorente","16,00 mill. €","Atlético"
"Santiago Arias","12,00 mill. €","Atlético"
"Sime Vrsaljko","12,00 mill. €","Atlético"
"Ricard Sánchez","250 mil €","Atlético"
"Thomas Partey","40,00 mill. €","Atlético"
"Saúl Ñíguez","72,00 mill. €","Atlético"
"Koke","48,00 mill. €","Atlético"
