"name","market_value","team"
"Kepa Arrizabalaga","20,00 mill. €","Athletic"
"Iago Herrerín","3,00 mill. €","Athletic"
"Unai Simón","500 mil €","Athletic"
"Aymeric Laporte","50,00 mill. €","Athletic"
"Iñigo Martínez","32,00 mill. €","Athletic"
"Yeray Álvarez","15,00 mill. €","Athletic"
"Unai Núñez","15,00 mill. €","Athletic"
"Xabi Etxeita","2,00 mill. €","Athletic"
"Enric Saborit","800 mil €","Athletic"
"Óscar Gil","400 mil €","Athletic"
"Dani Vivian","50 mil €","Athletic"
"Mikel Balenziaga","4,00 mill. €","Athletic"
"Andoni López","600 mil €","Athletic"
"Iñigo Lekue","7,50 mill. €","Athletic"
"Óscar de Marcos","6,00 mill. €","Athletic"
"Eneko Bóveda","1,50 mill. €","Athletic"
"Mikel San José","9,00 mill. €","Athletic"
"Ander Iturraspe","5,00 mill. €","Athletic"
"Mikel Vesga","2,50 mill. €","Athletic"
"Peru Nolaskoain","300 mil €","Athletic"
"Beñat Etxebarria","4,00 mill. €","Athletic"
"Mikel Rico","1,50 mill. €","Athletic"
"Víctor San Bartolomé","50 mil €","Athletic"
"Raúl García","9,00 mill. €","Athletic"
"Iker Muniain","10,00 mill. €","Athletic"
"Iñigo Córdoba","5,00 mill. €","Athletic"
"Iñaki Williams","30,00 mill. €","Athletic"
"Markel Susaeta","9,00 mill. €","Athletic"
"Ager Aketxe","2,50 mill. €","Athletic"
"Iñigo Muñoz","200 mil €","Athletic"
"Sabin Merino","1,50 mill. €","Athletic"
"Aritz Aduriz","1,00 mill. €","Athletic"
"Kike Sola","500 mil €","Athletic"
"Jan Oblak","70,00 mill. €","Atlético"
"Miguel Ángel Moyá","2,00 mill. €","Atlético"
"Axel Werner","1,00 mill. €","Atlético"
"Miguel San Román","250 mil €","Atlético"
"Álex dos Santos","-","Atlético"
"José María Giménez","45,00 mill. €","Atlético"
"Stefan Savic","40,00 mill. €","Atlético"
"Diego Godín","35,00 mill. €","Atlético"
"Antonio Montoro","300 mil €","Atlético"
"Lucas Hernández","35,00 mill. €","Atlético"
"Filipe Luís","8,00 mill. €","Atlético"
"Sergi González","300 mil €","Atlético"
"Sime Vrsaljko","25,00 mill. €","Atlético"
"Juanfran Torres","5,00 mill. €","Atlético"
"Carlos Isaac","200 mil €","Atlético"
"Thomas Partey","25,00 mill. €","Atlético"
"Koke","70,00 mill. €","Atlético"
"Saúl Ñíguez","70,00 mill. €","Atlético"
"Gabi","3,00 mill. €","Atlético"
"Augusto Fernández","2,50 mill. €","Atlético"
"Keidi Bare","500 mil €","Atlético"
"Toni Moya","300 mil €","Atlético"
