"name","market_value","team"
"Unai Simón","25,00 mill. €","Athletic"
"Álex Padilla","3,00 mill. €","Athletic"
"Dani Vivian","25,00 mill. €","Athletic"
"Aitor Paredes","15,00 mill. €","Athletic"
"Aymeric Laporte","9,00 mill. €","Athletic"
"Yeray Álvarez","1,00 mill. €","Athletic"
"Unai Egiluz","600 mil €","Athletic"
"Adama Boiro","3,00 mill. €","Athletic"
"Yuri Berchiche","1,20 mill. €","Athletic"
"Jesús Areso","8,00 mill. €","Athletic"
"Andoni Gorosabel","4,00 mill. €","Athletic"
"Iñigo Lekue","1,20 mill. €","Athletic"
"Mikel Vesga","1,50 mill. €","Athletic"
"Mikel Jauregizar","35,00 mill. €","Athletic"
"Beñat Prados","18,00 mill. €","Athletic"
"Alejandro Rego","3,00 mill. €","Athletic"
"Selton Sánchez","3,00 mill. €","Athletic"
"Iñigo Ruiz de Galarreta","2,50 mill. €","Athletic"
"Oihan Sancet","35,00 mill. €","Athletic"
"Unai Gómez","5,00 mill. €","Athletic"
"Nico Williams","50,00 mill. €","Athletic"
"Álex Berenguer","5,00 mill. €","Athletic"
"Nico Serrano","1,50 mill. €","Athletic"
"Iñaki Williams","10,00 mill. €","Athletic"
"Robert Navarro","6,00 mill. €","Athletic"
"Gorka Guruzeta","5,00 mill. €","Athletic"
"Maroan Sannadi","5,00 mill. €","Athletic"
"Urko Izeta","1,50 mill. €","Athletic"
"Jan Oblak","17,00 mill. €","Atlético"
"Juan Musso","3,00 mill. €","Atlético"
"Dávid Hancko","35,00 mill. €","Atlético"
"Marc Pubill","28,00 mill. €","Atlético"
"Robin Le Normand","25,00 mill. €","Atlético"
"José María Giménez","12,00 mill. €","Atlético"
"Clément Lenglet","5,00 mill. €","Atlético"
"Matteo Ruggeri","20,00 mill. €","Atlético"
"Marcos Llorente","22,00 mill. €","Atlético"
"Nahuel Molina","15,00 mill. €","Atlético"
"Pablo Barrios","60,00 mill. €","Atlético"
"Johnny Cardoso","22,00 mill. €","Atlético"
"Rodrigo Mendoza","20,00 mill. €","Atlético"
"Obed Vargas","8,00 mill. €","Atlético"
"Koke","6,00 mill. €","Atlético"
"Álex Baena","45,00 mill. €","Atlético"
"Ademola Lookman","40,00 mill. €","Atlético"
"Nico González","24,00 mill. €","Atlético"
"Thiago Almada","20,00 mill. €","Atlético"
"Giuliano Simeone","40,00 mill. €","Atlético"
"Antoine Griezmann","10,00 mill. €","Atlético"
"Julián Alvarez","90,00 mill. €","Atlético"
"Alexander Sørloth","20,00 mill. €","Atlético"
"Joan García","40,00 mill. €","Barcelona"
"Wojciech Szczęsny","900 mil €","Barcelona"
"Diego Kochen","500 mil €","Barcelona"
"Pau Cubarsí","80,00 mill. €","Barcelona"
"Eric García","35,00 mill. €","Barcelona"
"Ronald Araujo","20,00 mill. €","Barcelona"
"Andreas Christensen","9,00 mill. €","Barcelona"
"Alejandro Balde","55,00 mill. €","Barcelona"
