"name","market_value","team"
"Unai Simón","30,00 mill. €","Athletic"
"Julen Agirrezabala","5,00 mill. €","Athletic"
"Álex Padilla","200 mil €","Athletic"
"Dani Vivian","25,00 mill. €","Athletic"
"Aitor Paredes","22,00 mill. €","Athletic"
"Yeray Álvarez","8,00 mill. €","Athletic"
"Unai Egiluz","100 mil €","Athletic"
"Yuri Berchiche","1,80 mill. €","Athletic"
"Imanol García de Albéniz","1,20 mill. €","Athletic"
"Iñigo Lekue","3,00 mill. €","Athletic"
"Óscar de Marcos","1,50 mill. €","Athletic"
"Hugo Rincón","250 mil €","Athletic"
"Mikel Vesga","4,00 mill. €","Athletic"
"Dani García","1,80 mill. €","Athletic"
"Peru Nolaskoain","1,00 mill. €","Athletic"
"Beñat Prados","15,00 mill. €","Athletic"
"Iñigo Ruiz de Galarreta","5,00 mill. €","Athletic"
"Ander Herrera","2,00 mill. €","Athletic"
"Mikel Jauregizar","800 mil €","Athletic"
"Oihan Sancet","35,00 mill. €","Athletic"
"Unai Gómez","6,00 mill. €","Athletic"
"Raúl García","1,50 mill. €","Athletic"
"Nico Williams","60,00 mill. €","Athletic"
"Álex Berenguer","12,00 mill. €","Athletic"
"Iker Muniain","5,00 mill. €","Athletic"
"Iñaki Williams","25,00 mill. €","Athletic"
"Adu Ares","2,00 mill. €","Athletic"
"Aingeru Olabarrieta","500 mil €","Athletic"
"Gorka Guruzeta","18,00 mill. €","Athletic"
"Asier Villalibre","2,50 mill. €","Athletic"
"Javi Martón","500 mil €","Athletic"
"Jan Oblak","28,00 mill. €","Atlético"
"Ivo Grbic","3,50 mill. €","Atlético"
"Horațiu Moldovan","2,50 mill. €","Atlético"
"Antonio Gomis","150 mil €","Atlético"
"Sergio Mestre","50 mil €","Atlético"
"Mario Hermoso","25,00 mill. €","Atlético"
"José María Giménez","22,00 mill. €","Atlético"
"Çağlar Söyüncü","10,00 mill. €","Atlético"
"Stefan Savic","2,50 mill. €","Atlético"
"César Azpilicueta","2,00 mill. €","Atlético"
"Gabriel Paulista","2,00 mill. €","Atlético"
"Marco Moreno","400 mil €","Atlético"
"Ilias Kostis","300 mil €","Atlético"
"Reinildo Mandava","9,00 mill. €","Atlético"
"Javi Galán","7,00 mill. €","Atlético"
"Marcos Llorente","30,00 mill. €","Atlético"
"Nahuel Molina","28,00 mill. €","Atlético"
"Javier Boñar","500 mil €","Atlético"
"Arthur Vermeeren","25,00 mill. €","Atlético"
"Axel Witsel","3,50 mill. €","Atlético"
"Rodrigo De Paul","30,00 mill. €","Atlético"
"Pablo Barrios","25,00 mill. €","Atlético"
"Koke","12,00 mill. €","Atlético"
