"name","position","age","nationality","market_value","profile_url","team"
"Florent Sinama-Pongolle","Florent Sinama-Pongolle Mediapunta","Mediapunta","Francia","11,00 mill. €","https://www.transfermarkt.es/florent-sinama-pongolle/profil/spieler/4216","Atlético"
"Sergio Agüero","Sergio Agüero Delantero centro","Delantero centro","Argentina","30,00 mill. €","https://www.transfermarkt.es/sergio-aguero/profil/spieler/26399","Atlético"
"Diego Forlán","Diego Forlán Delantero centro","Delantero centro","Uruguay","24,00 mill. €","https://www.transfermarkt.es/diego-forlan/profil/spieler/3408","Atlético"
"Víctor Valdés","Víctor Valdés Portero","Portero","España","12,00 mill. €","https://www.transfermarkt.es/victor-valdes/profil/spieler/7589","Barcelona"
"José Manuel Pinto","José Manuel Pinto Portero","Portero","España","1,60 mill. €","https://www.transfermarkt.es/jose-manuel-pinto/profil/spieler/7537","Barcelona"
"Albert Jorquera","Albert Jorquera Portero","Portero","España","900 mil €","https://www.transfermarkt.es/albert-jorquera/profil/spieler/7915","Barcelona"
"Oier Olazábal","Oier Olazábal Portero","Portero","España","-","https://www.transfermarkt.es/oier-olazabal/profil/spieler/8176","Barcelona"
"Carles Puyol","Carles Puyol Defensa central","Defensa central","España","28,00 mill. €","https://www.transfermarkt.es/carles-puyol/profil/spieler/7594","Barcelona"
"Gabriel Milito","Gabriel Milito Defensa central","Defensa central","Argentina","16,00 mill. €","https://www.transfermarkt.es/gabriel-milito/profil/spieler/7968","Barcelona"
"Rafa Márquez","Rafa Márquez Defensa central","Defensa central","México","12,00 mill. €","https://www.transfermarkt.es/rafa-marquez/profil/spieler/2904","Barcelona"
"Gerard Piqué","Gerard Piqué Defensa central","Defensa central","España","10,00 mill. €","https://www.transfermarkt.es/gerard-pique/profil/spieler/18944","Barcelona"
"Martín Cáceres","Martín Cáceres Defensa central","Defensa central","Uruguay","8,00 mill. €","https://www.transfermarkt.es/martin-caceres/profil/spieler/54935","Barcelona"
"Alberto Botía","Alberto Botía Defensa central","Defensa central","España","300 mil €","https://www.transfermarkt.es/alberto-botia/profil/spieler/53077","Barcelona"
"Andreu Fontàs","Andreu Fontàs Defensa central","Defensa central","España","-","https://www.transfermarkt.es/andreu-fontas/profil/spieler/65237","Barcelona"
"Marc Muniesa","Marc Muniesa Defensa central","Defensa central","España","-","https://www.transfermarkt.es/marc-muniesa/profil/spieler/74228","Barcelona"
"Éric Abidal","Éric Abidal Lateral izquierdo","Lateral izquierdo","Francia","18,00 mill. €","https://www.transfermarkt.es/eric-abidal/profil/spieler/5283","Barcelona"
"Sylvinho","Sylvinho Lateral izquierdo","Lateral izquierdo","Brasil","1,20 mill. €","https://www.transfermarkt.es/sylvinho/profil/spieler/3359","Barcelona"
"Dani Alves","Dani Alves Lateral derecho","Lateral derecho","Brasil","28,00 mill. €","https://www.transfermarkt.es/dani-alves/profil/spieler/15951","Barcelona"
"Sergio Busquets","Sergio Busquets Pivote","Pivote","España","5,00 mill. €","https://www.transfermarkt.es/sergio-busquets/profil/spieler/65230","Barcelona"
"Xavi Torres","Xavi Torres Pivote","Pivote","España","-","https://www.transfermarkt.es/xavi-torres/profil/spieler/65301","Barcelona"
"Xavi","Xavi Mediocentro","Mediocentro","España","44,00 mill. €","https://www.transfermarkt.es/xavi/profil/spieler/7607","Barcelona"
"Andrés Iniesta","Andrés Iniesta Mediocentro","Mediocentro","España","42,00 mill. €","https://www.transfermarkt.es/andres-iniesta/profil/spieler/7600","Barcelona"
"Yaya Touré","Yaya Touré Mediocentro","Mediocentro","Costa de Marfil","22,00 mill. €","https://www.transfermarkt.es/yaya-toure/profil/spieler/13091","Barcelona"
"Seydou Keita","Seydou Keita Mediocentro","Mediocentro","Malí","13,00 mill. €","https://www.transfermarkt.es/seydou-keita/profil/spieler/5486","Barcelona"
"Víctor Sánchez","Víctor Sánchez Mediocentro","Mediocentro","España","800 mil €","https://www.transfermarkt.es/victor-sanchez/profil/spieler/63290","Barcelona"
"Thiago Alcántara","Thiago Alcántara Mediocentro","Mediocentro","España","100 mil €","https://www.transfermarkt.es/thiago-alcantara/profil/spieler/60444","Barcelona"
"Abraham González","Abraham González Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/abraham-gonzalez/profil/spieler/65243","Barcelona"
"Aleksandr Hleb","Aleksandr Hleb Mediocentro ofensivo","Mediocentro ofensivo","Bielorrusia","15,00 mill. €","https://www.transfermarkt.es/aleksandr-hleb/profil/spieler/597","Barcelona"
"Víctor Vázquez","Víctor Vázquez Mediocentro ofensivo","Mediocentro ofensivo","España","-","https://www.transfermarkt.es/victor-vazquez/profil/spieler/35813","Barcelona"
"Nolito","Nolito Extremo izquierdo","Extremo izquierdo","España","-","https://www.transfermarkt.es/nolito/profil/spieler/70934","Barcelona"
"Lionel Messi","Lionel Messi Extremo derecho","Extremo derecho","Argentina","60,00 mill. €","https://www.transfermarkt.es/lionel-messi/profil/spieler/28003","Barcelona"
"Pedro","Pedro Extremo derecho","Extremo derecho","España","1,00 mill. €","https://www.transfermarkt.es/pedro/profil/spieler/65278","Barcelona"
"Jeffrén","Jeffrén Extremo derecho","Extremo derecho","Venezuela","500 mil €","https://www.transfermarkt.es/jeffren/profil/spieler/53309","Barcelona"
"Bojan Krkic","Bojan Krkic Mediapunta","Mediapunta","España","12,00 mill. €","https://www.transfermarkt.es/bojan-krkic/profil/spieler/44675","Barcelona"
"Samuel Eto'o","Samuel Eto'o Delantero centro","Delantero centro","Camerún","42,00 mill. €","https://www.transfermarkt.es/samuel-etoo/profil/spieler/4257","Barcelona"
"Thierry Henry","Thierry Henry Delantero centro","Delantero centro","Francia","27,00 mill. €","https://www.transfermarkt.es/thierry-henry/profil/spieler/3207","Barcelona"
"Eidur Gudjohnsen","Eidur Gudjohnsen Delantero centro","Delantero centro","Islandia","5,00 mill. €","https://www.transfermarkt.es/eidur-gudjohnsen/profil/spieler/3176","Barcelona"
"Ricardo","Ricardo Portero","Portero","Portugal","3,00 mill. €","https://www.transfermarkt.es/ricardo/profil/spieler/13867","Betis"
"Casto","Casto Portero","Portero","España","2,40 mill. €","https://www.transfermarkt.es/casto/profil/spieler/47722","Betis"
"Adrián","Adrián Portero","Portero","España","-","https://www.transfermarkt.es/adrian/profil/spieler/71271","Betis"
"Juanito","Juanito Defensa central","Defensa central","España","5,00 mill. €","https://www.transfermarkt.es/juanito/profil/spieler/7647","Betis"
"Melli","Melli Defensa central","Defensa central","España","4,00 mill. €","https://www.transfermarkt.es/melli/profil/spieler/15717","Betis"
"Arzu","Arzu Defensa central","Defensa central","España","4,00 mill. €","https://www.transfermarkt.es/arzu/profil/spieler/7653","Betis"
"Branko Ilic","Branko Ilic Defensa central","Defensa central","Eslovenia","1,20 mill. €","https://www.transfermarkt.es/branko-ilic/profil/spieler/29977","Betis"
"David Rivas","David Rivas Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/david-rivas/profil/spieler/7650","Betis"
"Lima","Lima Defensa central","Defensa central","Brasil","900 mil €","https://www.transfermarkt.es/lima/profil/spieler/53011","Betis"
"Álex Ortiz","Álex Ortiz Defensa central","Defensa central","España","-","https://www.transfermarkt.es/alex-ortiz/profil/spieler/62479","Betis"
"Fabián Monzón","Fabián Monzón Lateral izquierdo","Lateral izquierdo","Argentina","6,00 mill. €","https://www.transfermarkt.es/fabian-monzon/profil/spieler/67084","Betis"
"Fernando Vega","Fernando Vega Lateral izquierdo","Lateral izquierdo","España","4,00 mill. €","https://www.transfermarkt.es/fernando-vega/profil/spieler/43976","Betis"
"Nélson","Nélson Lateral derecho","Lateral derecho","Portugal","9,00 mill. €","https://www.transfermarkt.es/nelson/profil/spieler/17555","Betis"
"Damià Abella","Damià Abella Lateral derecho","Lateral derecho","España","3,40 mill. €","https://www.transfermarkt.es/damia-abella/profil/spieler/28002","Betis"
"Isidoro","Isidoro Lateral derecho","Lateral derecho","España","-","https://www.transfermarkt.es/isidoro/profil/spieler/48291","Betis"
"Mehmet Aurélio","Mehmet Aurélio Pivote","Pivote","Turquía","10,00 mill. €","https://www.transfermarkt.es/mehmet-aurelio/profil/spieler/7421","Betis"
"Juande Prados","Juande Prados Pivote","Pivote","España","2,20 mill. €","https://www.transfermarkt.es/juande-prados/profil/spieler/36355","Betis"
"José Alberto Cañas","José Alberto Cañas Pivote","Pivote","España","100 mil €","https://www.transfermarkt.es/jose-alberto-canas/profil/spieler/69609","Betis"
"Alberto Rivera","Alberto Rivera Mediocentro","Mediocentro","España","2,40 mill. €","https://www.transfermarkt.es/alberto-rivera/profil/spieler/23306","Betis"
"Diego Segura","Diego Segura Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/diego-segura/profil/spieler/69607","Betis"
"Rodri","Rodri Interior derecho","Interior derecho","España","-","https://www.transfermarkt.es/rodri/profil/spieler/63725","Betis"
"Marko Babic","Marko Babic Interior izquierdo","Interior izquierdo","Croacia","900 mil €","https://www.transfermarkt.es/marko-babic/profil/spieler/62","Betis"
"Achille Emaná","Achille Emaná Mediocentro ofensivo","Mediocentro ofensivo","Camerún","14,00 mill. €","https://www.transfermarkt.es/achille-emana/profil/spieler/7020","Betis"
"Capi","Capi Mediocentro ofensivo","Mediocentro ofensivo","España","2,40 mill. €","https://www.transfermarkt.es/capi/profil/spieler/7658","Betis"
"Mark González","Mark González Extremo izquierdo","Extremo izquierdo","Chile","5,00 mill. €","https://www.transfermarkt.es/mark-gonzalez/profil/spieler/21750","Betis"
"Juanma","Juanma Extremo derecho","Extremo derecho","España","2,60 mill. €","https://www.transfermarkt.es/juanma/profil/spieler/23220","Betis"
"David Odonkor","David Odonkor Extremo derecho","Extremo derecho","Alemania","2,00 mill. €","https://www.transfermarkt.es/david-odonkor/profil/spieler/1716","Betis"
"Edú","Edú Mediapunta","Mediapunta","Brasil","5,00 mill. €","https://www.transfermarkt.es/edutm/profil/spieler/7550","Betis"
"Xisco Muñoz","Xisco Muñoz Mediapunta","Mediapunta","España","3,00 mill. €","https://www.transfermarkt.es/xisco-munoz/profil/spieler/15465","Betis"
"Ricardo Oliveira","Ricardo Oliveira Delantero centro","Delantero centro","Brasil","10,00 mill. €","https://www.transfermarkt.es/ricardo-oliveira/profil/spieler/15468","Betis"
"Sergio García","Sergio García Delantero centro","Delantero centro","España","9,00 mill. €","https://www.transfermarkt.es/sergio-garcia/profil/spieler/7922","Betis"
"Mariano Pavone","Mariano Pavone Delantero centro","Delantero centro","Argentina","5,00 mill. €","https://www.transfermarkt.es/mariano-pavone/profil/spieler/27462","Betis"
"José Mari","José Mari Delantero centro","Delantero centro","España","1,20 mill. €","https://www.transfermarkt.es/jose-mari/profil/spieler/6194","Betis"
"Daniel Aranzubia","Daniel Aranzubia Portero","Portero","España","3,40 mill. €","https://www.transfermarkt.es/daniel-aranzubia/profil/spieler/7612","RC Deportivo"
"Manu Fernández","Manu Fernández Portero","Portero","España","500 mil €","https://www.transfermarkt.es/manu-fernandez/profil/spieler/53293","RC Deportivo"
"Gustavo Munúa","Gustavo Munúa Portero","Portero","Uruguay","400 mil €","https://www.transfermarkt.es/gustavo-munua/profil/spieler/9091","RC Deportivo"
"Alberto Domínguez","Alberto Domínguez Portero","Portero","España","-","https://www.transfermarkt.es/alberto-dominguez/profil/spieler/51726","RC Deportivo"
"Fabri","Fabri Portero","Portero","España","-","https://www.transfermarkt.es/fabri/profil/spieler/45882","RC Deportivo"
"Alberto Lopo","Alberto Lopo Defensa central","Defensa central","España","4,00 mill. €","https://www.transfermarkt.es/alberto-lopo/profil/spieler/7881","RC Deportivo"
"Diego Colotto","Diego Colotto Defensa central","Defensa central","Argentina","2,60 mill. €","https://www.transfermarkt.es/diego-colotto/profil/spieler/27453","RC Deportivo"
"Zé Castro","Zé Castro Defensa central","Defensa central","Portugal","2,40 mill. €","https://www.transfermarkt.es/ze-castro/profil/spieler/13872","RC Deportivo"
"Pablo Amo","Pablo Amo Defensa central","Defensa central","España","2,00 mill. €","https://www.transfermarkt.es/pablo-amo/profil/spieler/7508","RC Deportivo"
"Adrián López","Adrián López Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/adrian-lopez/profil/spieler/44966","RC Deportivo"
"David Rochela","David Rochela Defensa central","Defensa central","España","-","https://www.transfermarkt.es/david-rochela/profil/spieler/58904","RC Deportivo"
"Juanan","Juanan Defensa central","Defensa central","España","-","https://www.transfermarkt.es/juanan/profil/spieler/72203","RC Deportivo"
"Filipe Luís","Filipe Luís Lateral izquierdo","Lateral izquierdo","Brasil","6,00 mill. €","https://www.transfermarkt.es/filipe-luis/profil/spieler/21725","RC Deportivo"
"Manuel Pablo","Manuel Pablo Lateral derecho","Lateral derecho","España","2,20 mill. €","https://www.transfermarkt.es/manuel-pablo/profil/spieler/7492","RC Deportivo"
"Laure","Laure Lateral derecho","Lateral derecho","España","500 mil €","https://www.transfermarkt.es/laure/profil/spieler/57876","RC Deportivo"
"Diego Seoane","Diego Seoane Lateral derecho","Lateral derecho","España","-","https://www.transfermarkt.es/diego-seoane/profil/spieler/104916","RC Deportivo"
"Julian de Guzmán","Julian de Guzmán Pivote","Pivote","Canadá","4,40 mill. €","https://www.transfermarkt.es/julian-de-guzman/profil/spieler/1083","RC Deportivo"
"Juan Rodríguez","Juan Rodríguez Pivote","Pivote","España","3,00 mill. €","https://www.transfermarkt.es/juan-rodriguez/profil/spieler/15983","RC Deportivo"
"Andrés Guardado","Andrés Guardado Mediocentro","Mediocentro","México","10,00 mill. €","https://www.transfermarkt.es/andres-guardado/profil/spieler/20506","RC Deportivo"
"Sergio","Sergio Mediocentro","Mediocentro","España","4,00 mill. €","https://www.transfermarkt.es/sergio/profil/spieler/7500","RC Deportivo"
"Antonio Tomás","Antonio Tomás Mediocentro","Mediocentro","España","1,00 mill. €","https://www.transfermarkt.es/antonio-tomas/profil/spieler/37340","RC Deportivo"
"Joan Verdú","Joan Verdú Mediocentro ofensivo","Mediocentro ofensivo","España","3,00 mill. €","https://www.transfermarkt.es/joan-verdu/profil/spieler/28005","RC Deportivo"
"Juan Carlos Valerón","Juan Carlos Valerón Mediocentro ofensivo","Mediocentro ofensivo","España","2,00 mill. €","https://www.transfermarkt.es/juan-carlos-valeron/profil/spieler/7501","RC Deportivo"
"Ángel Lafita","Ángel Lafita Extremo izquierdo","Extremo izquierdo","España","6,00 mill. €","https://www.transfermarkt.es/angel-lafita/profil/spieler/35562","RC Deportivo"
"Cristian Hidalgo","Cristian Hidalgo Extremo izquierdo","Extremo izquierdo","España","1,60 mill. €","https://www.transfermarkt.es/cristian-hidalgo/profil/spieler/8155","RC Deportivo"
"Pablo Álvarez","Pablo Álvarez Extremo derecho","Extremo derecho","España","1,80 mill. €","https://www.transfermarkt.es/pablo-alvarez/profil/spieler/44000","RC Deportivo"
"Xisco","Xisco Delantero centro","Delantero centro","España","3,30 mill. €","https://www.transfermarkt.es/xisco/profil/spieler/34564","RC Deportivo"
"Omar Bravo","Omar Bravo Delantero centro","Delantero centro","México","3,00 mill. €","https://www.transfermarkt.es/omar-bravo/profil/spieler/31425","RC Deportivo"
"Riki","Riki Delantero centro","Delantero centro","España","2,60 mill. €","https://www.transfermarkt.es/riki/profil/spieler/23102","RC Deportivo"
"Rodolfo Bodipo","Rodolfo Bodipo Delantero centro","Delantero centro","Guinea Ecuatorial","2,00 mill. €","https://www.transfermarkt.es/rodolfo-bodipo/profil/spieler/7867","RC Deportivo"
"Mista","Mista Delantero centro","Delantero centro","España","1,80 mill. €","https://www.transfermarkt.es/mista/profil/spieler/15460","RC Deportivo"
"Adrián López","Adrián López Delantero centro","Delantero centro","España","1,80 mill. €","https://www.transfermarkt.es/adrian-lopez/profil/spieler/45383","RC Deportivo"
"Lassad Nouioui","Lassad Nouioui Delantero centro","Delantero centro","Túnez","1,00 mill. €","https://www.transfermarkt.es/lassad-nouioui/profil/spieler/101015","RC Deportivo"
"Francesco Cataldi","Francesco Cataldi Delantero centro","Delantero centro","Italia","-","https://www.transfermarkt.es/francesco-cataldi/profil/spieler/72209","RC Deportivo"
"Carlos Kameni","Carlos Kameni Portero","Portero","Camerún","8,00 mill. €","https://www.transfermarkt.es/carlos-kameni/profil/spieler/7914","Espanyol"
"Cristian Álvarez","Cristian Álvarez Portero","Portero","Argentina","2,00 mill. €","https://www.transfermarkt.es/cristian-alvarez/profil/spieler/55135","Espanyol"
"Javier Ruiz","Javier Ruiz Portero","Portero","España","200 mil €","https://www.transfermarkt.es/javier-ruiz/profil/spieler/8177","Espanyol"
"Nicolás Pareja","Nicolás Pareja Defensa central","Defensa central","Argentina","5,00 mill. €","https://www.transfermarkt.es/nicolas-pareja/profil/spieler/41281","Espanyol"
"Marc Torrejón","Marc Torrejón Defensa central","Defensa central","España","5,00 mill. €","https://www.transfermarkt.es/marc-torrejon/profil/spieler/38266","Espanyol"
"Dani Jarque","Dani Jarque Defensa central","Defensa central","España","5,00 mill. €","https://www.transfermarkt.es/dani-jarque/profil/spieler/15766","Espanyol"
"Sergio Sánchez","Sergio Sánchez Defensa central","Defensa central","España","3,00 mill. €","https://www.transfermarkt.es/sergio-sanchez/profil/spieler/38270","Espanyol"
"Grégory Béranger","Grégory Béranger Lateral izquierdo","Lateral izquierdo","Francia","2,20 mill. €","https://www.transfermarkt.es/gregory-beranger/profil/spieler/51572","Espanyol"
"David García","David García Lateral izquierdo","Lateral izquierdo","España","1,00 mill. €","https://www.transfermarkt.es/david-garcia/profil/spieler/7878","Espanyol"
"Dídac Vilà","Dídac Vilà Lateral izquierdo","Lateral izquierdo","España","300 mil €","https://www.transfermarkt.es/didac-vila/profil/spieler/67090","Espanyol"
"Steve Finnan","Steve Finnan Lateral derecho","Lateral derecho","Irlanda","3,80 mill. €","https://www.transfermarkt.es/steve-finnan/profil/spieler/4038","Espanyol"
"Mari Lacruz","Mari Lacruz Lateral derecho","Lateral derecho","España","1,80 mill. €","https://www.transfermarkt.es/mari-lacruz/profil/spieler/7620","Espanyol"
"Javi Chica","Javi Chica Lateral derecho","Lateral derecho","España","1,40 mill. €","https://www.transfermarkt.es/javi-chica/profil/spieler/44860","Espanyol"
"Moisés Hurtado","Moisés Hurtado Pivote","Pivote","España","4,00 mill. €","https://www.transfermarkt.es/moises-hurtado/profil/spieler/15764","Espanyol"
"Milan Smiljanic","Milan Smiljanic Pivote","Pivote","Serbia","2,40 mill. €","https://www.transfermarkt.es/milan-smiljanic/profil/spieler/34412","Espanyol"
