"name","market_value","team"
"Iago Herrerín","2,00 mill. €","Athletic"
"Gorka Iraizoz","1,50 mill. €","Athletic"
"Álex Remiro","1,00 mill. €","Athletic"
"Aymeric Laporte","25,00 mill. €","Athletic"
"Xabi Etxeita","3,50 mill. €","Athletic"
"Yeray Álvarez","700 mil €","Athletic"
"Carlos Gurpegui","500 mil €","Athletic"
"Enric Saborit","300 mil €","Athletic"
"Mikel Balenziaga","5,00 mill. €","Athletic"
"Óscar de Marcos","8,00 mill. €","Athletic"
"Eneko Bóveda","2,00 mill. €","Athletic"
"Iñigo Lekue","2,00 mill. €","Athletic"
"Mikel San José","10,00 mill. €","Athletic"
"Ander Iturraspe","7,50 mill. €","Athletic"
"Gorka Elustondo","2,00 mill. €","Athletic"
"Beñat Etxebarria","6,00 mill. €","Athletic"
"Mikel Rico","5,00 mill. €","Athletic"
"Javi Eraso","2,00 mill. €","Athletic"
"Raúl García","12,00 mill. €","Athletic"
"Iker Muniain","15,00 mill. €","Athletic"
"Ibai Gómez","2,50 mill. €","Athletic"
"Iñaki Williams","15,00 mill. €","Athletic"
"Markel Susaeta","10,00 mill. €","Athletic"
"Ager Aketxe","1,00 mill. €","Athletic"
"Aritz Aduriz","3,00 mill. €","Athletic"
"Sabin Merino","2,50 mill. €","Athletic"
"Kike Sola","1,50 mill. €","Athletic"
"Borja Viguera","1,50 mill. €","Athletic"
"Jan Oblak","25,00 mill. €","Atlético"
"Miguel Ángel Moyá","5,00 mill. €","Atlético"
"Diego Godín","35,00 mill. €","Atlético"
"José María Giménez","25,00 mill. €","Atlético"
"Stefan Savic","12,00 mill. €","Atlético"
"Nacho Monsalve","-","Atlético"
"Filipe Luís","15,00 mill. €","Atlético"
"Lucas Hernández","5,00 mill. €","Atlético"
"Guilherme Siqueira","4,00 mill. €","Atlético"
"Theo Hernández","-","Atlético"
"Juanfran Torres","16,00 mill. €","Atlético"
"Jesús Gámez","3,50 mill. €","Atlético"
"Borja González","-","Atlético"
"Matías Kranevitter","6,00 mill. €","Atlético"
"Thomas Partey","5,00 mill. €","Atlético"
"Koke","60,00 mill. €","Atlético"
"Saúl Ñíguez","20,00 mill. €","Atlético"
"Óliver Torres","14,00 mill. €","Atlético"
"Gabi","8,00 mill. €","Atlético"
"Augusto Fernández","6,00 mill. €","Atlético"
"Tiago Mendes","2,00 mill. €","Atlético"
"Raúl García","12,00 mill. €","Atlético"
"Yannick Carrasco","25,00 mill. €","Atlético"
"Samuel Villa","-","Atlético"
"Antoine Griezmann","70,00 mill. €","Atlético"
"Ángel Correa","9,00 mill. €","Atlético"
"Luciano Vietto","15,00 mill. €","Atlético"
"Jackson Martínez","14,00 mill. €","Atlético"
"Fernando Torres","7,00 mill. €","Atlético"
"Roberto Núñez","-","Atlético"
"Marc-André ter Stegen","15,00 mill. €","Barcelona"
"Claudio Bravo","15,00 mill. €","Barcelona"
"Jordi Masip","1,00 mill. €","Barcelona"
"Gerard Piqué","40,00 mill. €","Barcelona"
"Marc Bartra","8,00 mill. €","Barcelona"
"Thomas Vermaelen","3,00 mill. €","Barcelona"
"Jordi Alba","35,00 mill. €","Barcelona"
"Jérémy Mathieu","10,00 mill. €","Barcelona"
"Adriano","4,00 mill. €","Barcelona"
"Dani Alves","9,00 mill. €","Barcelona"
"Douglas","1,00 mill. €","Barcelona"
"Sergio Busquets","60,00 mill. €","Barcelona"
"Javier Mascherano","15,00 mill. €","Barcelona"
"Sergi Samper","5,00 mill. €","Barcelona"
"Gerard Gumbau","-","Barcelona"
"Ivan Rakitic","50,00 mill. €","Barcelona"
"Andrés Iniesta","35,00 mill. €","Barcelona"
"Sergi Roberto","20,00 mill. €","Barcelona"
"Wilfrid Kaptoum","-","Barcelona"
"Carles Aleñá","-","Barcelona"
"Neymar","100,00 mill. €","Barcelona"
"Rafinha","12,00 mill. €","Barcelona"
"Munir El Haddadi","10,00 mill. €","Barcelona"
"Juan Cámara","-","Barcelona"
"Aitor Cantalapiedra","-","Barcelona"
"Arda Turan","30,00 mill. €","Barcelona"
"Lionel Messi","120,00 mill. €","Barcelona"
"Pedro","23,00 mill. €","Barcelona"
"Aleix Vidal","10,00 mill. €","Barcelona"
"Luis Suárez","90,00 mill. €","Barcelona"
"Sandro Ramírez","5,00 mill. €","Barcelona"
"Dani Romera","-","Barcelona"
"Francesco Bardi","4,00 mill. €","Espanyol"
"Giedrius Arlauskis","1,50 mill. €","Espanyol"
"Pau López","1,50 mill. €","Espanyol"
"Andrés Prieto","-","Espanyol"
"Álvaro González","4,00 mill. €","Espanyol"
"Enzo Roco","3,00 mill. €","Espanyol"
"Rubén Duarte","2,00 mill. €","Espanyol"
"Anaitz Arbilla","2,00 mill. €","Espanyol"
"Óscar Duarte","2,00 mill. €","Espanyol"
"Michaël Ciani","1,00 mill. €","Espanyol"
"Antonio Raíllo","200 mil €","Espanyol"
"Lluís López","-","Espanyol"
"Cristian Galas","-","Espanyol"
"Víctor Álvarez","2,50 mill. €","Espanyol"
"Juan Rafael Fuentes","2,00 mill. €","Espanyol"
"Javi López","3,00 mill. €","Espanyol"
"Rober Correa","200 mil €","Espanyol"
"José Alberto Cañas","3,00 mill. €","Espanyol"
"Pape Diop","2,50 mill. €","Espanyol"
"Víctor Sánchez","3,50 mill. €","Espanyol"
"Salva Sevilla","1,50 mill. €","Espanyol"
"Abraham González","1,00 mill. €","Espanyol"
"Joan Jordán","800 mil €","Espanyol"
"Marc Navarro","-","Espanyol"
"Marco Asensio","8,00 mill. €","Espanyol"
