"name","market_value","team"
"Gorka Iraizoz","4,00 mill. €","Athletic"
"Raúl Fernández","600 mil €","Athletic"
"Aitor Fernández","-","Athletic"
"Javi Martínez","20,00 mill. €","Athletic"
"Fernando Amorebieta","8,00 mill. €","Athletic"
"Carlos Gurpegui","3,00 mill. €","Athletic"
"Jon Aurtenetxe","3,00 mill. €","Athletic"
"Ustaritz","2,00 mill. €","Athletic"
"Borja Ekiza","1,50 mill. €","Athletic"
"Aitor Ocio","500 mil €","Athletic"
"Koikili","2,00 mill. €","Athletic"
"Mikel Balenziaga","1,00 mill. €","Athletic"
"Xabier Castillo","1,00 mill. €","Athletic"
"Andoni Iraola","9,00 mill. €","Athletic"
"Óscar de Marcos","2,00 mill. €","Athletic"
"Mikel San José","5,00 mill. €","Athletic"
"Pablo Orbaiz","2,50 mill. €","Athletic"
"Ander Iturraspe","2,00 mill. €","Athletic"
"David López","2,50 mill. €","Athletic"
"Iñigo Pérez","500 mil €","Athletic"
"Igor Gabilondo","2,50 mill. €","Athletic"
"Igor Martínez","1,50 mill. €","Athletic"
"Iker Muniain","6,00 mill. €","Athletic"
"Ibai Gómez","-","Athletic"
"Markel Susaeta","6,00 mill. €","Athletic"
"Gaizka Toquero","3,50 mill. €","Athletic"
"Fernando Llorente","20,00 mill. €","Athletic"
"Iñigo Díaz de Cerio","1,20 mill. €","Athletic"
"Ion Vélez","800 mil €","Athletic"
"Urko Vera","400 mil €","Athletic"
"David de Gea","12,00 mill. €","Atlético"
"Sergio Asenjo","5,00 mill. €","Atlético"
"Joel Robles","1,00 mill. €","Atlético"
"Iago Herrerín","-","Atlético"
"Diego Godín","12,00 mill. €","Atlético"
"Álvaro Domínguez","9,00 mill. €","Atlético"
"Tomas Ujfalusi","3,50 mill. €","Atlético"
"Luis Amaranto Perea","3,00 mill. €","Atlético"
"Juanito","900 mil €","Atlético"
"Jorge Pulido","-","Atlético"
"Filipe Luís","9,00 mill. €","Atlético"
"Antonio López","5,00 mill. €","Atlético"
"Juanfran Torres","8,00 mill. €","Atlético"
"Juan Valera","2,00 mill. €","Atlético"
"Paulo Assunção","5,00 mill. €","Atlético"
"Mario Suárez","4,00 mill. €","Atlético"
"Ignacio Camacho","1,50 mill. €","Atlético"
"Tiago Mendes","8,00 mill. €","Atlético"
"Elias","7,00 mill. €","Atlético"
"Fran Mérida","3,00 mill. €","Atlético"
"Koke","1,00 mill. €","Atlético"
"José Manuel Jurado","9,50 mill. €","Atlético"
"Raúl García","6,00 mill. €","Atlético"
"Alberto Noguera","-","Atlético"
"Simão","9,00 mill. €","Atlético"
"Alberto Perea","100 mil €","Atlético"
"José Antonio Reyes","12,00 mill. €","Atlético"
"Sergio Agüero","36,00 mill. €","Atlético"
"Diego Forlán","10,00 mill. €","Atlético"
"Diego Costa","4,50 mill. €","Atlético"
"Borja Bastón","-","Atlético"
"Víctor Valdés","20,00 mill. €","Barcelona"
"Rubén Miño","1,20 mill. €","Barcelona"
"Oier Olazábal","900 mil €","Barcelona"
"José Manuel Pinto","600 mil €","Barcelona"
"Gerard Piqué","35,00 mill. €","Barcelona"
"Carles Puyol","20,00 mill. €","Barcelona"
"Gabriel Milito","8,00 mill. €","Barcelona"
"Marc Muniesa","2,50 mill. €","Barcelona"
"Andreu Fontàs","2,50 mill. €","Barcelona"
"Marc Bartra","1,50 mill. €","Barcelona"
"Sergi Gómez","500 mil €","Barcelona"
"Éric Abidal","17,00 mill. €","Barcelona"
"Adriano","12,00 mill. €","Barcelona"
"Maxwell","10,00 mill. €","Barcelona"
"Dani Alves","35,00 mill. €","Barcelona"
"Martín Montoya","1,50 mill. €","Barcelona"
"Sergio Busquets","30,00 mill. €","Barcelona"
"Javier Mascherano","25,00 mill. €","Barcelona"
"Jonathan dos Santos","3,00 mill. €","Barcelona"
"Oriol Romeu","2,50 mill. €","Barcelona"
"Andrés Iniesta","60,00 mill. €","Barcelona"
"Xavi","50,00 mill. €","Barcelona"
"Seydou Keita","14,00 mill. €","Barcelona"
"Thiago Alcántara","5,00 mill. €","Barcelona"
"Sergi Roberto","1,50 mill. €","Barcelona"
"Ibrahim Afellay","14,00 mill. €","Barcelona"
"Víctor Vázquez","1,00 mill. €","Barcelona"
"Nolito","2,50 mill. €","Barcelona"
"Lionel Messi","100,00 mill. €","Barcelona"
"Pedro","25,00 mill. €","Barcelona"
"Jeffrén","3,00 mill. €","Barcelona"
"Bojan Krkic","15,00 mill. €","Barcelona"
"David Villa","50,00 mill. €","Barcelona"
"Zlatan Ibrahimović","35,00 mill. €","Barcelona"
"Gerard Deulofeu","-","Barcelona"
