"name","market_value","team"
"Unai Simón","20,00 mill. €","Athletic"
"Iago Herrerín","1,00 mill. €","Athletic"
"Jokin Ezkieta","300 mil €","Athletic"
"Unai Núñez","20,00 mill. €","Athletic"
"Iñigo Martínez","20,00 mill. €","Athletic"
"Yeray Álvarez","20,00 mill. €","Athletic"
"Aitor Paredes","200 mil €","Athletic"
"Yuri Berchiche","12,00 mill. €","Athletic"
"Mikel Balenziaga","1,20 mill. €","Athletic"
"Ander Capa","6,00 mill. €","Athletic"
"Óscar de Marcos","2,00 mill. €","Athletic"
"Iñigo Lekue","1,50 mill. €","Athletic"
"Dani García","3,00 mill. €","Athletic"
"Peru Nolaskoain","3,00 mill. €","Athletic"
"Mikel Vesga","2,00 mill. €","Athletic"
"Unai López","12,00 mill. €","Athletic"
"Unai Vencedor","5,00 mill. €","Athletic"
"Oier Zarraga","500 mil €","Athletic"
"Beñat Prados","200 mil €","Athletic"
"Julen Bernaola","50 mil €","Athletic"
"Oihan Sancet","3,50 mill. €","Athletic"
"Raúl García","2,50 mill. €","Athletic"
"Álex Berenguer","15,00 mill. €","Athletic"
"Iker Muniain","12,00 mill. €","Athletic"
"Jon Morcillo","5,00 mill. €","Athletic"
"Iñigo Córdoba","2,00 mill. €","Athletic"
"Nico Williams","1,50 mill. €","Athletic"
"Ibai Gómez","1,20 mill. €","Athletic"
"Iñigo Vicente","1,00 mill. €","Athletic"
"Iñaki Williams","25,00 mill. €","Athletic"
"Asier Villalibre","4,50 mill. €","Athletic"
"Kenan Kodro","1,00 mill. €","Athletic"
"Jan Oblak","70,00 mill. €","Atlético"
"Ivo Grbic","3,50 mill. €","Atlético"
"Miguel San Román","700 mil €","Atlético"
"José María Giménez","60,00 mill. €","Atlético"
"Mario Hermoso","35,00 mill. €","Atlético"
"Stefan Savic","25,00 mill. €","Atlético"
"Felipe","12,00 mill. €","Atlético"
"Nehuén Pérez","4,00 mill. €","Atlético"
"Álvaro García","200 mil €","Atlético"
"Renan Lodi","25,00 mill. €","Atlético"
"Manu Sánchez","8,00 mill. €","Atlético"
"Juan Manuel Sanabria","800 mil €","Atlético"
"Adrián Corral","200 mil €","Atlético"
"Marcos Llorente","80,00 mill. €","Atlético"
"Kieran Trippier","20,00 mill. €","Atlético"
"Sime Vrsaljko","5,00 mill. €","Atlético"
"Ricard Sánchez","1,50 mill. €","Atlético"
"Thomas Partey","40,00 mill. €","Atlético"
"Lucas Torreira","20,00 mill. €","Atlético"
"Geoffrey Kondogbia","15,00 mill. €","Atlético"
"Koke","60,00 mill. €","Atlético"
"Saúl Ñíguez","40,00 mill. €","Atlético"
"Héctor Herrera","7,00 mill. €","Atlético"
"Toni Moya","400 mil €","Atlético"
"Josep Calavera","250 mil €","Atlético"
"Óscar Castro","50 mil €","Atlético"
"Thomas Lemar","25,00 mill. €","Atlético"
"Mario Soriano","500 mil €","Atlético"
"Yannick Carrasco","40,00 mill. €","Atlético"
"Vitolo","4,00 mill. €","Atlético"
"Germán Valera","2,50 mill. €","Atlético"
"Víctor Mollejo","3,00 mill. €","Atlético"
"João Félix","80,00 mill. €","Atlético"
"Ángel Correa","40,00 mill. €","Atlético"
"Moussa Dembélé","20,00 mill. €","Atlético"
"Luis Suárez","15,00 mill. €","Atlético"
"Diego Costa","6,00 mill. €","Atlético"
"Sergio Camello","2,30 mill. €","Atlético"
"Ivan Saponjic","1,20 mill. €","Atlético"
"Marc-André ter Stegen","60,00 mill. €","Barcelona"
"Neto","6,00 mill. €","Barcelona"
"Iñaki Peña","3,00 mill. €","Barcelona"
"Arnau Tenas","1,50 mill. €","Barcelona"
"Ronald Araujo","25,00 mill. €","Barcelona"
"Clément Lenglet","25,00 mill. €","Barcelona"
"Gerard Piqué","10,00 mill. €","Barcelona"
"Samuel Umtiti","8,00 mill. €","Barcelona"
"Santiago Ramos Mingo","500 mil €","Barcelona"
"Jordi Alba","20,00 mill. €","Barcelona"
"Junior Firpo","8,00 mill. €","Barcelona"
"Sergiño Dest","30,00 mill. €","Barcelona"
"Óscar Mingueza","15,00 mill. €","Barcelona"
"Sergio Busquets","9,00 mill. €","Barcelona"
"Matheus Fernandes","1,50 mill. €","Barcelona"
"Frenkie de Jong","90,00 mill. €","Barcelona"
"Pedri","70,00 mill. €","Barcelona"
"Ilaix Moriba","25,00 mill. €","Barcelona"
"Miralem Pjanić","20,00 mill. €","Barcelona"
"Riqui Puig","18,00 mill. €","Barcelona"
"Sergi Roberto","18,00 mill. €","Barcelona"
"Carles Aleñá","15,00 mill. €","Barcelona"
"Philippe Coutinho","30,00 mill. €","Barcelona"
"Francisco Trincão","22,00 mill. €","Barcelona"
"Rafinha","15,00 mill. €","Barcelona"
"Álex Collado","5,00 mill. €","Barcelona"
"Ansu Fati","60,00 mill. €","Barcelona"
"Konrad de la Fuente","4,00 mill. €","Barcelona"
"Lionel Messi","80,00 mill. €","Barcelona"
"Antoine Griezmann","60,00 mill. €","Barcelona"
"Ousmane Dembélé","50,00 mill. €","Barcelona"
"Martin Braithwaite","9,00 mill. €","Barcelona"
"Thibaut Courtois","60,00 mill. €","Real Madrid"
"Andriy Lunin","3,00 mill. €","Real Madrid"
"Diego Altube","500 mil €","Real Madrid"
"Luis López","150 mil €","Real Madrid"
"Lucas Cañizares","-","Real Madrid"
"Raphaël Varane","70,00 mill. €","Real Madrid"
"Éder Militão","40,00 mill. €","Real Madrid"
"Sergio Ramos","10,00 mill. €","Real Madrid"
"Nacho Fernández","10,00 mill. €","Real Madrid"
"Víctor Chust","400 mil €","Real Madrid"
"Pablo Ramón","50 mil €","Real Madrid"
"Ferland Mendy","50,00 mill. €","Real Madrid"
"Marcelo","7,50 mill. €","Real Madrid"
"Miguel Gutiérrez","5,00 mill. €","Real Madrid"
"Daniel Carvajal","30,00 mill. €","Real Madrid"
"Lucas Vázquez","15,00 mill. €","Real Madrid"
"Álvaro Odriozola","10,00 mill. €","Real Madrid"
"Marvin Park","500 mil €","Real Madrid"
"Sergio Santos","200 mil €","Real Madrid"
"Casemiro","70,00 mill. €","Real Madrid"
"Antonio Blanco","5,00 mill. €","Real Madrid"
"Federico Valverde","65,00 mill. €","Real Madrid"
"Toni Kroos","40,00 mill. €","Real Madrid"
"Luka Modrić","10,00 mill. €","Real Madrid"
"Martin Ødegaard","40,00 mill. €","Real Madrid"
"Marco Asensio","35,00 mill. €","Real Madrid"
"Isco","18,00 mill. €","Real Madrid"
"Sergio Arribas","3,00 mill. €","Real Madrid"
"Eden Hazard","40,00 mill. €","Real Madrid"
"Vinicius Junior","40,00 mill. €","Real Madrid"
"Óscar Aranda","-","Real Madrid"
"Rodrygo","35,00 mill. €","Real Madrid"
"Karim Benzema","25,00 mill. €","Real Madrid"
"Luka Jović","20,00 mill. €","Real Madrid"
"Borja Mayoral","14,00 mill. €","Real Madrid"
"Mariano Díaz","10,00 mill. €","Real Madrid"
"Hugo Duro","5,00 mill. €","Real Madrid"
"Yassine Bounou","18,00 mill. €","Sevilla"
"Tomáš Vaclík","4,00 mill. €","Sevilla"
"Javi Díaz","400 mil €","Sevilla"
"Alfonso Pastor","250 mil €","Sevilla"
"Adrián González","50 mil €","Sevilla"
"Diego Carlos","45,00 mill. €","Sevilla"
"Sergi Gómez","3,00 mill. €","Sevilla"
"Karim Rekik","3,00 mill. €","Sevilla"
"Joris Gnagnon","1,50 mill. €","Sevilla"
"Kike Ríos","50 mil €","Sevilla"
"Marcos Acuña","15,00 mill. €","Sevilla"
"Sergio Escudero","2,50 mill. €","Sevilla"
"Javi Vázquez","150 mil €","Sevilla"
"Pablo Pérez","100 mil €","Sevilla"
"Jules Koundé","60,00 mill. €","Sevilla"
"Juanlu Sánchez","400 mil €","Sevilla"
"Nemanja Gudelj","6,00 mill. €","Sevilla"
"Fernando","4,00 mill. €","Sevilla"
"Joan Jordán","30,00 mill. €","Sevilla"
"Óliver Torres","13,00 mill. €","Sevilla"
"Ivan Rakitic","10,00 mill. €","Sevilla"
"Jesús Navas","3,00 mill. €","Sevilla"
"Suso","20,00 mill. €","Sevilla"
"Óscar Rodríguez","12,00 mill. €","Sevilla"
"Munir El Haddadi","10,00 mill. €","Sevilla"
"Franco Vázquez","4,00 mill. €","Sevilla"
"Carlos Álvarez","300 mil €","Sevilla"
"Lucas Ocampos","40,00 mill. €","Sevilla"
"Bryan Gil","30,00 mill. €","Sevilla"
"Papu Gómez","9,00 mill. €","Sevilla"
"Oussama Idrissi","8,00 mill. €","Sevilla"
"Álex Pozo","4,00 mill. €","Sevilla"
"Aleix Vidal","2,00 mill. €","Sevilla"
"Antonio Zarzana","50 mil €","Sevilla"
"Youssef En-Nesyri","40,00 mill. €","Sevilla"
"Luuk de Jong","10,00 mill. €","Sevilla"
"Carlos Fernández","9,00 mill. €","Sevilla"
"Iván Romero","500 mil €","Sevilla"
"Jasper Cillessen","5,00 mill. €","Valencia"
"Jaume Doménech","4,00 mill. €","Valencia"
"Cristian Rivero","300 mil €","Valencia"
"Unai Etxebarria","150 mil €","Valencia"
"Gabriel Paulista","15,00 mill. €","Valencia"
"Mouctar Diakhaby","10,00 mill. €","Valencia"
"Ferro","5,00 mill. €","Valencia"
"Eliaquim Mangala","2,50 mill. €","Valencia"
"Cristiano Piccini","2,20 mill. €","Valencia"
"Kevin Sibille","250 mil €","Valencia"
"José Gayà","35,00 mill. €","Valencia"
"Toni Lato","2,50 mill. €","Valencia"
"Álex Centelles","2,00 mill. €","Valencia"
"Jesús Vázquez","250 mil €","Valencia"
"Thierry Correia","6,00 mill. €","Valencia"
"Guillem Molina","600 mil €","Valencia"
"Geoffrey Kondogbia","15,00 mill. €","Valencia"
"Uros Racic","10,00 mill. €","Valencia"
"Hugo Guillamón","7,50 mill. €","Valencia"
"Christian Oliva","4,00 mill. €","Valencia"
"Carlos Soler","40,00 mill. €","Valencia"
"Yunus Musah","15,00 mill. €","Valencia"
"Daniel Wass","7,00 mill. €","Valencia"
"Koba Koindredi","600 mil €","Valencia"
"Kang-in Lee","10,00 mill. €","Valencia"
"Vicente Esquerdo","1,00 mill. €","Valencia"
"Gonçalo Guedes","25,00 mill. €","Valencia"
"Denis Cheryshev","3,50 mill. €","Valencia"
"Álex Blanco","1,50 mill. €","Valencia"
"Jason Remeseiro","2,50 mill. €","Valencia"
"Manu Vallejo","7,00 mill. €","Valencia"
"Maxi Gómez","25,00 mill. €","Valencia"
"Patrick Cutrone","9,00 mill. €","Valencia"
"Kévin Gameiro","3,00 mill. €","Valencia"
"Rubén Sobrino","1,50 mill. €","Valencia"
"Álex Remiro","20,00 mill. €","R. Sociedad"
"Miguel Ángel Moyá","800 mil €","R. Sociedad"
"Andoni Zubiaurre","300 mil €","R. Sociedad"
"Gaizka Ayesa","200 mil €","R. Sociedad"
"Unai Marrero","-","R. Sociedad"
"Robin Le Normand","22,00 mill. €","R. Sociedad"
"Diego Llorente","20,00 mill. €","R. Sociedad"
"Igor Zubeldia","20,00 mill. €","R. Sociedad"
"Aritz Elustondo","15,00 mill. €","R. Sociedad"
"Modibo Sagnan","3,00 mill. €","R. Sociedad"
"Jon Pacheco","200 mil €","R. Sociedad"
"Jérémy Blasco","150 mil €","R. Sociedad"
"Aritz Arambarri","150 mil €","R. Sociedad"
"Aihen Muñoz","6,00 mill. €","R. Sociedad"
"Nacho Monreal","1,50 mill. €","R. Sociedad"
"Andoni Gorosabel","10,00 mill. €","R. Sociedad"
"Joseba Zaldua","5,00 mill. €","R. Sociedad"
"Martín Zubimendi","20,00 mill. €","R. Sociedad"
"Asier Illarramendi","6,00 mill. €","R. Sociedad"
"Urko González de Zárate","500 mil €","R. Sociedad"
"Mikel Merino","40,00 mill. €","R. Sociedad"
"Ander Guevara","7,50 mill. €","R. Sociedad"
"Jon Guridi","1,80 mill. €","R. Sociedad"
"Luca Sangalli","1,50 mill. €","R. Sociedad"
"Beñat Turrientes","300 mil €","R. Sociedad"
"Roberto López","8,00 mill. €","R. Sociedad"
"David Silva","5,00 mill. €","R. Sociedad"
"Ander Barrenetxea","15,00 mill. €","R. Sociedad"
"Martín Merquelanz","2,00 mill. €","R. Sociedad"
"Julen Lobete","1,50 mill. €","R. Sociedad"
"Portu","20,00 mill. €","R. Sociedad"
"Adnan Januzaj","12,00 mill. €","R. Sociedad"
"Robert Navarro","3,00 mill. €","R. Sociedad"
