"name","market_value","team"
"Kepa Arrizabalaga","8,00 mill. €","Athletic"
"Iago Herrerín","3,00 mill. €","Athletic"
"Álex Remiro","600 mil €","Athletic"
"Gorka Iraizoz","500 mil €","Athletic"
"Unai Simón","300 mil €","Athletic"
"Aymeric Laporte","25,00 mill. €","Athletic"
"Yeray Álvarez","15,00 mill. €","Athletic"
"Xabi Etxeita","2,50 mill. €","Athletic"
"Enric Saborit","500 mil €","Athletic"
"Mikel Balenziaga","5,00 mill. €","Athletic"
"Óscar de Marcos","8,00 mill. €","Athletic"
"Iñigo Lekue","4,00 mill. €","Athletic"
"Eneko Bóveda","3,00 mill. €","Athletic"
"Mikel San José","12,00 mill. €","Athletic"
"Ander Iturraspe","5,00 mill. €","Athletic"
"Mikel Vesga","1,50 mill. €","Athletic"
"Gorka Elustondo","1,00 mill. €","Athletic"
"Beñat Etxebarria","8,00 mill. €","Athletic"
"Mikel Rico","2,00 mill. €","Athletic"
"Javi Eraso","1,50 mill. €","Athletic"
"Raúl García","12,00 mill. €","Athletic"
"Iker Muniain","15,00 mill. €","Athletic"
"Iñaki Williams","25,00 mill. €","Athletic"
"Markel Susaeta","7,50 mill. €","Athletic"
"Ager Aketxe","1,00 mill. €","Athletic"
"Sabin Merino","2,00 mill. €","Athletic"
"Borja Viguera","1,50 mill. €","Athletic"
"Aritz Aduriz","1,00 mill. €","Athletic"
"Asier Villalibre","700 mil €","Athletic"
"Kike Sola","500 mil €","Athletic"
"Jan Oblak","40,00 mill. €","Atlético"
"Miguel Ángel Moyá","2,00 mill. €","Atlético"
"André Moreira","1,00 mill. €","Atlético"
"Bernabé Barragán","-","Atlético"
"Diego Godín","38,00 mill. €","Atlético"
"Stefan Savic","30,00 mill. €","Atlético"
"José María Giménez","28,00 mill. €","Atlético"
"Álex García","300 mil €","Atlético"
"Tachi","-","Atlético"
"Filipe Luís","18,00 mill. €","Atlético"
"Lucas Hernández","15,00 mill. €","Atlético"
"Caio Henrique","-","Atlético"
"Sime Vrsaljko","16,00 mill. €","Atlético"
"Juanfran Torres","12,00 mill. €","Atlético"
"Javier Manquillo","4,00 mill. €","Atlético"
"Rafa Muñoz","-","Atlético"
"Thomas Partey","4,50 mill. €","Atlético"
"Koke","60,00 mill. €","Atlético"
"Saúl Ñíguez","40,00 mill. €","Atlético"
"Augusto Fernández","4,00 mill. €","Atlético"
"Gabi","3,00 mill. €","Atlético"
"Tiago Mendes","1,00 mill. €","Atlético"
"Keidi Bare","500 mil €","Atlético"
"Roberto Olabe","-","Atlético"
"Toni Moya","-","Atlético"
"Nico Gaitán","20,00 mill. €","Atlético"
"Juan Moreno","-","Atlético"
"Yannick Carrasco","40,00 mill. €","Atlético"
"Diogo Jota","8,00 mill. €","Atlético"
"Nicolás Schiappacasse","500 mil €","Atlético"
"Ferni","-","Atlético"
"Alessio Cerci","4,00 mill. €","Atlético"
"Antoine Griezmann","80,00 mill. €","Atlético"
"Ángel Correa","18,00 mill. €","Atlético"
"Kévin Gameiro","24,00 mill. €","Atlético"
"Fernando Torres","4,00 mill. €","Atlético"
"Roberto Núñez","-","Atlético"
"Mohammed Zakaria Boulahia","-","Atlético"
"Marc-André ter Stegen","25,00 mill. €","Barcelona"
"Jasper Cillessen","9,00 mill. €","Barcelona"
"Claudio Bravo","8,00 mill. €","Barcelona"
"Jordi Masip","1,00 mill. €","Barcelona"
"Gerard Piqué","40,00 mill. €","Barcelona"
"Samuel Umtiti","30,00 mill. €","Barcelona"
"Marlon","5,00 mill. €","Barcelona"
"Borja López","300 mil €","Barcelona"
"Jordi Alba","32,00 mill. €","Barcelona"
"Lucas Digne","16,00 mill. €","Barcelona"
"Jérémy Mathieu","3,00 mill. €","Barcelona"
"Douglas","1,50 mill. €","Barcelona"
"Sergio Busquets","60,00 mill. €","Barcelona"
"Javier Mascherano","8,00 mill. €","Barcelona"
"Sergi Samper","3,50 mill. €","Barcelona"
"Ivan Rakitic","45,00 mill. €","Barcelona"
"Sergi Roberto","25,00 mill. €","Barcelona"
"André Gomes","25,00 mill. €","Barcelona"
"Andrés Iniesta","20,00 mill. €","Barcelona"
"Carles Aleñá","5,00 mill. €","Barcelona"
"Wilfrid Kaptoum","300 mil €","Barcelona"
"Àlex Carbonell","300 mil €","Barcelona"
"Neymar","100,00 mill. €","Barcelona"
"Denis Suárez","18,00 mill. €","Barcelona"
"Rafinha","15,00 mill. €","Barcelona"
"Munir El Haddadi","9,00 mill. €","Barcelona"
"Nili Perdomo","200 mil €","Barcelona"
"Arda Turan","24,00 mill. €","Barcelona"
"Lionel Messi","120,00 mill. €","Barcelona"
"Aleix Vidal","7,50 mill. €","Barcelona"
"Luis Suárez","90,00 mill. €","Barcelona"
"Paco Alcácer","18,00 mill. €","Barcelona"
"Marc Cardona","700 mil €","Barcelona"
"Roberto","2,00 mill. €","Espanyol"
"Pau López","1,50 mill. €","Espanyol"
"Diego López","1,00 mill. €","Espanyol"
"Andrés Prieto","300 mil €","Espanyol"
"David López","6,50 mill. €","Espanyol"
"Álvaro González","6,00 mill. €","Espanyol"
"Diego Reyes","6,00 mill. €","Espanyol"
"Óscar Duarte","2,00 mill. €","Espanyol"
"Rubén Duarte","1,00 mill. €","Espanyol"
"Michaël Ciani","500 mil €","Espanyol"
"Martín Demichelis","200 mil €","Espanyol"
"Aarón Martín","10,00 mill. €","Espanyol"
"Víctor Álvarez","1,00 mill. €","Espanyol"
"Javi López","2,00 mill. €","Espanyol"
"Marc Roca","2,00 mill. €","Espanyol"
"Javi Fuego","1,50 mill. €","Espanyol"
"Pape Diop","1,50 mill. €","Espanyol"
"Víctor Sánchez","4,00 mill. €","Espanyol"
"Salva Sevilla","500 mil €","Espanyol"
"Marc Navarro","1,00 mill. €","Espanyol"
"Pablo Piatti","6,00 mill. €","Espanyol"
"José Manuel Jurado","3,50 mill. €","Espanyol"
"Óscar Melendo","500 mil €","Espanyol"
"Léo Baptistão","4,00 mill. €","Espanyol"
"Hernán Pérez","3,00 mill. €","Espanyol"
"José Antonio Reyes","800 mil €","Espanyol"
"Gerard Moreno","8,00 mill. €","Espanyol"
"Felipe Caicedo","3,00 mill. €","Espanyol"
"Álvaro Vázquez","1,50 mill. €","Espanyol"
"Keylor Navas","18,00 mill. €","Real Madrid"
"Kiko Casilla","6,00 mill. €","Real Madrid"
"Rubén Yáñez","300 mil €","Real Madrid"
"Sergio Ramos","40,00 mill. €","Real Madrid"
"Raphaël Varane","35,00 mill. €","Real Madrid"
"Danilo","16,00 mill. €","Real Madrid"
"Nacho Fernández","15,00 mill. €","Real Madrid"
"Pepe","3,00 mill. €","Real Madrid"
"Marcelo","38,00 mill. €","Real Madrid"
"Fábio Coentrão","5,00 mill. €","Real Madrid"
"Daniel Carvajal","32,00 mill. €","Real Madrid"
"Lucas Vázquez","15,00 mill. €","Real Madrid"
"Marcos Llorente","15,00 mill. €","Real Madrid"
"Álvaro Tejero","300 mil €","Real Madrid"
"Achraf Hakimi","300 mil €","Real Madrid"
"Casemiro","30,00 mill. €","Real Madrid"
"Toni Kroos","70,00 mill. €","Real Madrid"
"Luka Modrić","40,00 mill. €","Real Madrid"
"Mateo Kovacic","25,00 mill. €","Real Madrid"
"James Rodríguez","50,00 mill. €","Real Madrid"
"Isco","40,00 mill. €","Real Madrid"
"Marco Asensio","20,00 mill. €","Real Madrid"
"Enzo Zidane","2,50 mill. €","Real Madrid"
"Martin Ødegaard","1,50 mill. €","Real Madrid"
"Gareth Bale","80,00 mill. €","Real Madrid"
"Cristiano Ronaldo","100,00 mill. €","Real Madrid"
"Karim Benzema","60,00 mill. €","Real Madrid"
"Álvaro Morata","40,00 mill. €","Real Madrid"
"Mariano Díaz","5,00 mill. €","Real Madrid"
"Sergio Rico","20,00 mill. €","Sevilla"
"Salvatore Sirigu","4,00 mill. €","Sevilla"
"David Soria","1,50 mill. €","Sevilla"
"José Antonio Caro","800 mil €","Sevilla"
"Clément Lenglet","7,50 mill. €","Sevilla"
"Timothée Kolodziejczak","6,00 mill. €","Sevilla"
"Adil Rami","5,00 mill. €","Sevilla"
"Gabriel Mercado","5,00 mill. €","Sevilla"
"Daniel Carriço","2,00 mill. €","Sevilla"
"Diego González","1,50 mill. €","Sevilla"
"Nicolás Pareja","1,00 mill. €","Sevilla"
"Cristian Tassano","400 mil €","Sevilla"
"Sergio Escudero","7,50 mill. €","Sevilla"
"Benoît Trémoulinas","2,00 mill. €","Sevilla"
"José Matos","1,20 mill. €","Sevilla"
"Álex Muñoz","200 mil €","Sevilla"
"Mariano","8,00 mill. €","Sevilla"
"David Carmona","1,50 mill. €","Sevilla"
"Steven Nzonzi","30,00 mill. €","Sevilla"
"Vicente Iborra","9,00 mill. €","Sevilla"
"Matías Kranevitter","6,00 mill. €","Sevilla"
"Walter Montoya","3,00 mill. €","Sevilla"
"Michael Krohn-Dehli","1,50 mill. €","Sevilla"
"Franco Vázquez","18,00 mill. €","Sevilla"
"Samir Nasri","16,00 mill. €","Sevilla"
"Pablo Sarabia","15,00 mill. €","Sevilla"
"Hiroshi Kiyotake","5,00 mill. €","Sevilla"
"Ganso","5,00 mill. €","Sevilla"
"Borja Lasso","1,50 mill. €","Sevilla"
"Pepe Mena","-","Sevilla"
"Vitolo","25,00 mill. €","Sevilla"
"Yevgen Konoplyanka","10,00 mill. €","Sevilla"
"Álex Pozo","2,00 mill. €","Sevilla"
"Joaquín Correa","10,00 mill. €","Sevilla"
"Stevan Jovetić","10,00 mill. €","Sevilla"
"Wissam Ben Yedder","15,00 mill. €","Sevilla"
"Luciano Vietto","12,00 mill. €","Sevilla"
"Carlos Fernández","1,00 mill. €","Sevilla"
"Diego Alves","5,00 mill. €","Valencia"
"Mathew Ryan","3,50 mill. €","Valencia"
"Jaume Doménech","2,50 mill. €","Valencia"
"Shkodran Mustafi","30,00 mill. €","Valencia"
"Eliaquim Mangala","15,00 mill. €","Valencia"
"Ezequiel Garay","15,00 mill. €","Valencia"
"Aymen Abdennour","6,00 mill. €","Valencia"
"Aderllan Santos","3,50 mill. €","Valencia"
"Rúben Vezo","1,50 mill. €","Valencia"
"Javi Jiménez","300 mil €","Valencia"
"José Gayà","18,00 mill. €","Valencia"
"Toni Lato","3,00 mill. €","Valencia"
"Guilherme Siqueira","1,50 mill. €","Valencia"
"João Cancelo","20,00 mill. €","Valencia"
"Martín Montoya","10,00 mill. €","Valencia"
"Nacho Vidal","300 mil €","Valencia"
"Enzo Pérez","8,00 mill. €","Valencia"
"Mario Suárez","6,00 mill. €","Valencia"
"Dani Parejo","15,00 mill. €","Valencia"
"Carlos Soler","7,50 mill. €","Valencia"
"Álvaro Medrán","2,50 mill. €","Valencia"
"Eugeni","300 mil €","Valencia"
"Munir El Haddadi","9,00 mill. €","Valencia"
"Nani","10,00 mill. €","Valencia"
"Zakaria Bakkali","2,00 mill. €","Valencia"
"Nacho Gil","300 mil €","Valencia"
"Sito Pascual","200 mil €","Valencia"
"Fabián Orellana","3,00 mill. €","Valencia"
"Rober Ibáñez","1,50 mill. €","Valencia"
"Fede Cartabia","1,50 mill. €","Valencia"
"Nando García","400 mil €","Valencia"
"Paco Alcácer","18,00 mill. €","Valencia"
"Simone Zaza","15,00 mill. €","Valencia"
"Álvaro Negredo","7,50 mill. €","Valencia"
"Rodrigo","7,50 mill. €","Valencia"
"Santi Mina","6,00 mill. €","Valencia"
"Vinícius Araújo","700 mil €","Valencia"
"Rafa Mir","500 mil €","Valencia"
"Carlos Kameni","2,00 mill. €","Málaga"
"Denys Boyko","1,00 mill. €","Málaga"
"Aarón Escandell","200 mil €","Málaga"
"Diego Llorente","7,50 mill. €","Málaga"
"Luis Hernández","3,00 mill. €","Málaga"
"Federico Ricca","2,50 mill. €","Málaga"
"Mikel Villanueva","1,00 mill. €","Málaga"
"Bakary Koné","800 mil €","Málaga"
"Weligton","500 mil €","Málaga"
"Martín Demichelis","200 mil €","Málaga"
"Juankar","2,50 mill. €","Málaga"
"Roberto Rosales","5,00 mill. €","Málaga"
"Miguel Torres","2,00 mill. €","Málaga"
"Ignacio Camacho","10,00 mill. €","Málaga"
"Pablo Fornals","10,00 mill. €","Málaga"
"Recio","3,50 mill. €","Málaga"
"Zdravko Kuzmanovic","1,00 mill. €","Málaga"
"José Rodríguez","1,00 mill. €","Málaga"
"Luis Muñoz","-","Málaga"
"Juanpi","2,50 mill. €","Málaga"
"Kuki Zalazar","-","Málaga"
"Adalberto Peñaranda","3,00 mill. €","Málaga"
"Javi Ontiveros","3,00 mill. €","Málaga"
"Jony","2,50 mill. €","Málaga"
"Chory Castro","1,50 mill. €","Málaga"
"Duda","100 mil €","Málaga"
"Álex Mula","-","Málaga"
"Keko Gontán","3,00 mill. €","Málaga"
"Sandro Ramírez","10,00 mill. €","Málaga"
"Michael Santos","2,50 mill. €","Málaga"
"Charles","1,50 mill. €","Málaga"
"Youssef En-Nesyri","1,00 mill. €","Málaga"
"Gerónimo Rulli","14,00 mill. €","R. Sociedad"
"Toño","400 mil €","R. Sociedad"
"Ander Bardají","200 mil €","R. Sociedad"
"Iñigo Martínez","20,00 mill. €","R. Sociedad"
"Raúl Navas","5,00 mill. €","R. Sociedad"
"Aritz Elustondo","2,50 mill. €","R. Sociedad"
"Mikel González","1,00 mill. €","R. Sociedad"
"Igor Zubeldia","350 mil €","R. Sociedad"
"Yuri Berchiche","10,00 mill. €","R. Sociedad"
"Héctor Hernández","600 mil €","R. Sociedad"
"Kévin Rodrigues","300 mil €","R. Sociedad"
"Álvaro Odriozola","7,50 mill. €","R. Sociedad"
"Joseba Zaldua","1,50 mill. €","R. Sociedad"
"Carlos Martínez","1,00 mill. €","R. Sociedad"
"Asier Illarramendi","15,00 mill. €","R. Sociedad"
"Markel Bergara","1,50 mill. €","R. Sociedad"
"Rubén Pardo","4,00 mill. €","R. Sociedad"
"David Zurutuza","3,00 mill. €","R. Sociedad"
"Esteban Granero","2,00 mill. €","R. Sociedad"
"Jon Gaztañaga","500 mil €","R. Sociedad"
