"name","market_value","team"
"Unai Simón","25,00 mill. €","Athletic"
"Julen Agirrezabala","5,00 mill. €","Athletic"
"Ibon Ispizua","100 mil €","Athletic"
"Ander Iru","100 mil €","Athletic"
"Yeray Álvarez","15,00 mill. €","Athletic"
"Dani Vivian","14,00 mill. €","Athletic"
"Iñigo Martínez","10,00 mill. €","Athletic"
"Aitor Paredes","1,00 mill. €","Athletic"
"Yuri Berchiche","2,00 mill. €","Athletic"
"Mikel Balenziaga","500 mil €","Athletic"
"Iñigo Lekue","3,00 mill. €","Athletic"
"Óscar de Marcos","1,80 mill. €","Athletic"
"Ander Capa","1,80 mill. €","Athletic"
"Mikel Vesga","6,00 mill. €","Athletic"
"Dani García","2,00 mill. €","Athletic"
"Peru Nolaskoain","1,00 mill. €","Athletic"
"Unai Vencedor","9,00 mill. €","Athletic"
"Oier Zarraga","3,00 mill. €","Athletic"
"Ander Herrera","2,50 mill. €","Athletic"
"Junior Bita","50 mil €","Athletic"
"Oihan Sancet","30,00 mill. €","Athletic"
"Raúl García","2,50 mill. €","Athletic"
"Unai Gómez","100 mil €","Athletic"
"Nico Williams","30,00 mill. €","Athletic"
"Álex Berenguer","15,00 mill. €","Athletic"
"Iker Muniain","9,00 mill. €","Athletic"
"Jon Morcillo","3,00 mill. €","Athletic"
"Iñaki Williams","25,00 mill. €","Athletic"
"Adu Ares","500 mil €","Athletic"
"Asier Villalibre","2,50 mill. €","Athletic"
"Gorka Guruzeta","2,00 mill. €","Athletic"
"Jan Oblak","35,00 mill. €","Atlético"
"Ivo Grbic","3,50 mill. €","Atlético"
"Alejandro Iturbe","150 mil €","Atlético"
"Antonio Gomis","150 mil €","Atlético"
"Sergio Mestre","-","Atlético"
"José María Giménez","35,00 mill. €","Atlético"
"Mario Hermoso","20,00 mill. €","Atlético"
"Stefan Savic","6,00 mill. €","Atlético"
"Felipe","2,00 mill. €","Atlético"
"Marco Moreno","200 mil €","Atlético"
"Ilias Kostis","100 mil €","Atlético"
"Reinildo Mandava","25,00 mill. €","Atlético"
"Renan Lodi","20,00 mill. €","Atlético"
"Sergio Reguilón","10,00 mill. €","Atlético"
"Diego Bri","150 mil €","Atlético"
"Adrián Corral","50 mil €","Atlético"
"Marcos Llorente","35,00 mill. €","Atlético"
"Nahuel Molina","35,00 mill. €","Atlético"
"Matt Doherty","5,00 mill. €","Atlético"
"Sergio Diez","200 mil €","Atlético"
"Geoffrey Kondogbia","14,00 mill. €","Atlético"
"Axel Witsel","5,00 mill. €","Atlético"
"Rodrigo De Paul","40,00 mill. €","Atlético"
"Koke","16,00 mill. €","Atlético"
"Saúl Ñíguez","10,00 mill. €","Atlético"
