"name","market_value","team"
"Unai Simón","25,00 mill. €","Athletic"
"Julen Agirrezabala","5,00 mill. €","Athletic"
"Jokin Ezkieta","300 mil €","Athletic"
"Ander Iru","100 mil €","Athletic"
"Iñigo Martínez","25,00 mill. €","Athletic"
"Yeray Álvarez","13,00 mill. €","Athletic"
"Dani Vivian","12,00 mill. €","Athletic"
"Unai Núñez","9,00 mill. €","Athletic"
"Aitor Paredes","200 mil €","Athletic"
"Yuri Berchiche","3,00 mill. €","Athletic"
"Mikel Balenziaga","1,20 mill. €","Athletic"
"Iñigo Lekue","3,00 mill. €","Athletic"
"Ander Capa","2,50 mill. €","Athletic"
"Óscar de Marcos","1,80 mill. €","Athletic"
"Álex Petxarroman","1,00 mill. €","Athletic"
"Mikel Vesga","3,00 mill. €","Athletic"
"Dani García","3,00 mill. €","Athletic"
"Peru Nolaskoain","1,50 mill. €","Athletic"
"Unai Vencedor","20,00 mill. €","Athletic"
"Oier Zarraga","3,50 mill. €","Athletic"
"Oihan Sancet","15,00 mill. €","Athletic"
"Raúl García","2,50 mill. €","Athletic"
"Iker Muniain","16,00 mill. €","Athletic"
"Álex Berenguer","12,00 mill. €","Athletic"
"Nico Williams","12,00 mill. €","Athletic"
"Jon Morcillo","4,00 mill. €","Athletic"
"Nico Serrano","2,50 mill. €","Athletic"
"Luis Bilbao","250 mil €","Athletic"
"Iñaki Williams","25,00 mill. €","Athletic"
"Juan Artola","700 mil €","Athletic"
"Asier Villalibre","3,00 mill. €","Athletic"
"Jan Oblak","45,00 mill. €","Atlético"
"Benjamin Lecomte","5,00 mill. €","Atlético"
"Ivo Grbic","3,50 mill. €","Atlético"
"Christian Gómez","-","Atlético"
"Alejandro Iturbe","-","Atlético"
"Antonio Gomis","-","Atlético"
"José María Giménez","50,00 mill. €","Atlético"
"Mario Hermoso","20,00 mill. €","Atlético"
"Stefan Savic","16,00 mill. €","Atlético"
"Nehuén Pérez","6,00 mill. €","Atlético"
"Felipe","6,00 mill. €","Atlético"
"Marco Moreno","-","Atlético"
"Manu Lama","-","Atlético"
"Joan Rojas","-","Atlético"
"Fran González","-","Atlético"
"Ibra Cámara","-","Atlético"
"Renan Lodi","30,00 mill. €","Atlético"
"Reinildo Mandava","22,00 mill. €","Atlético"
"Marcos Llorente","45,00 mill. €","Atlético"
"Kieran Trippier","15,00 mill. €","Atlético"
"Sime Vrsaljko","5,00 mill. €","Atlético"
"Sergio Camus","-","Atlético"
"Sergio Diez","-","Atlético"
"Geoffrey Kondogbia","20,00 mill. €","Atlético"
"Rodrigo De Paul","40,00 mill. €","Atlético"
"Koke","25,00 mill. €","Atlético"
"Saúl Ñíguez","25,00 mill. €","Atlético"
