"name","market_value","team"
"Gorka Iraizoz","2,50 mill. €","Athletic"
"Raúl Fernández","1,50 mill. €","Athletic"
"Kepa Arrizabalaga","500 mil €","Athletic"
"Fernando Amorebieta","6,00 mill. €","Athletic"
"Jon Aurtenetxe","4,00 mill. €","Athletic"
"Borja Ekiza","3,50 mill. €","Athletic"
"Aymeric Laporte","2,00 mill. €","Athletic"
"Carlos Gurpegui","1,50 mill. €","Athletic"
"Jonás Ramalho","1,00 mill. €","Athletic"
"Enric Saborit","-","Athletic"
"Isma López","1,50 mill. €","Athletic"
"Xabier Castillo","1,00 mill. €","Athletic"
"Jonxa Vidal","-","Athletic"
"Óscar de Marcos","8,00 mill. €","Athletic"
"Andoni Iraola","6,00 mill. €","Athletic"
"Markel Etxeberria","300 mil €","Athletic"
"Ander Iturraspe","8,00 mill. €","Athletic"
"Mikel San José","4,00 mill. €","Athletic"
"Ander Herrera","8,00 mill. €","Athletic"
"Iñigo Pérez","1,50 mill. €","Athletic"
"Iñigo Ruiz de Galarreta","1,00 mill. €","Athletic"
"Erik Morán","500 mil €","Athletic"
"Iker Undabarrena","-","Athletic"
"Álvaro Peña","-","Athletic"
"Ismael López","250 mil €","Athletic"
"Igor Martínez","800 mil €","Athletic"
"Iker Muniain","18,00 mill. €","Athletic"
"Ibai Gómez","3,50 mill. €","Athletic"
"Aitor Seguín","-","Athletic"
"Markel Susaeta","9,00 mill. €","Athletic"
"Ager Aketxe","500 mil €","Athletic"
"Gaizka Toquero","1,50 mill. €","Athletic"
"Fernando Llorente","20,00 mill. €","Athletic"
"Aritz Aduriz","4,00 mill. €","Athletic"
"Guillermo Fernández","-","Athletic"
"Thibaut Courtois","18,00 mill. €","Atlético"
"Sergio Asenjo","2,50 mill. €","Atlético"
"Joel Robles","2,00 mill. €","Atlético"
"Diego Godín","18,00 mill. €","Atlético"
"Miranda","14,00 mill. €","Atlético"
"Cata Díaz","1,50 mill. €","Atlético"
"Jorge Pulido","1,00 mill. €","Atlético"
"Fallou Gallas","-","Atlético"
"Filipe Luís","14,00 mill. €","Atlético"
"Emiliano Insúa","6,00 mill. €","Atlético"
"Domingo Cisma","1,50 mill. €","Atlético"
"Juanfran Torres","12,00 mill. €","Atlético"
"Sílvio","5,00 mill. €","Atlético"
"Javier Manquillo","2,00 mill. €","Atlético"
"Iván Calero","-","Atlético"
"Mario Suárez","10,00 mill. €","Atlético"
"Koke","14,00 mill. €","Atlético"
"Gabi","8,00 mill. €","Atlético"
"Óliver Torres","4,00 mill. €","Atlético"
"Emre Belözoğlu","3,00 mill. €","Atlético"
"Tiago Mendes","2,50 mill. €","Atlético"
"Saúl Ñíguez","2,00 mill. €","Atlético"
"Abdelkader Oueslati","1,00 mill. €","Atlético"
"Cristian Rodríguez","5,00 mill. €","Atlético"
"Borja Galán","-","Atlético"
"Raúl García","10,00 mill. €","Atlético"
"Arda Turan","24,00 mill. €","Atlético"
"Momar Ndoye","-","Atlético"
"Dani Aquino","-","Atlético"
"Radamel Falcao","60,00 mill. €","Atlético"
"Diego Costa","15,00 mill. €","Atlético"
"Adrián López","10,00 mill. €","Atlético"
"Pedro Martín","1,00 mill. €","Atlético"
"Víctor Valdés","10,00 mill. €","Barcelona"
"Oier Olazábal","1,50 mill. €","Barcelona"
"Jordi Masip","1,00 mill. €","Barcelona"
"José Manuel Pinto","300 mil €","Barcelona"
"Gerard Piqué","36,00 mill. €","Barcelona"
"Marc Bartra","6,00 mill. €","Barcelona"
"Carles Puyol","3,00 mill. €","Barcelona"
"Sergi Gómez","800 mil €","Barcelona"
"Jordi Alba","25,00 mill. €","Barcelona"
"Adriano","15,00 mill. €","Barcelona"
"Carles Planas","2,50 mill. €","Barcelona"
