"name","market_value","team"
"Gorka Iraizoz","2,50 mill. €","Athletic"
"Iago Herrerín","1,00 mill. €","Athletic"
"Kepa Arrizabalaga","500 mil €","Athletic"
"Gorka Magunazelaia","-","Athletic"
"Aymeric Laporte","10,00 mill. €","Athletic"
"Borja Ekiza","2,00 mill. €","Athletic"
"Carlos Gurpegui","1,50 mill. €","Athletic"
"Xabi Etxeita","1,00 mill. €","Athletic"
"Enric Saborit","400 mil €","Athletic"
"Unai Albizua","200 mil €","Athletic"
"Mikel Balenziaga","3,50 mill. €","Athletic"
"Óscar de Marcos","8,00 mill. €","Athletic"
"Andoni Iraola","6,00 mill. €","Athletic"
"Ander Iturraspe","10,00 mill. €","Athletic"
"Mikel San José","4,00 mill. €","Athletic"
"Ander Herrera","20,00 mill. €","Athletic"
"Beñat Etxebarria","9,00 mill. €","Athletic"
"Mikel Rico","8,00 mill. €","Athletic"
"Iñigo Pérez","1,00 mill. €","Athletic"
"Erik Morán","600 mil €","Athletic"
"Iker Muniain","18,00 mill. €","Athletic"
"Ibai Gómez","4,50 mill. €","Athletic"
"Markel Susaeta","10,00 mill. €","Athletic"
"Gaizka Toquero","1,50 mill. €","Athletic"
"Kike Sola","4,00 mill. €","Athletic"
"Aritz Aduriz","3,50 mill. €","Athletic"
"Guillermo Fernández","-","Athletic"
"Thibaut Courtois","25,00 mill. €","Atlético"
"Daniel Aranzubia","1,00 mill. €","Atlético"
"Yassine Bounou","300 mil €","Atlético"
"David Gil","-","Atlético"
"Diego Godín","20,00 mill. €","Atlético"
"Miranda","15,00 mill. €","Atlético"
"Toby Alderweireld","10,00 mill. €","Atlético"
"Martín Demichelis","2,50 mill. €","Atlético"
"José María Giménez","2,00 mill. €","Atlético"
"Filipe Luís","15,00 mill. €","Atlético"
"Emiliano Insúa","5,00 mill. €","Atlético"
"Lucas Hernández","-","Atlético"
"Juanfran Torres","14,00 mill. €","Atlético"
"Javier Manquillo","6,00 mill. €","Atlético"
"Mario Suárez","10,00 mill. €","Atlético"
"Josuha Guilavogui","10,00 mill. €","Atlético"
"Koke","30,00 mill. €","Atlético"
"Gabi","12,00 mill. €","Atlético"
"Óliver Torres","8,00 mill. €","Atlético"
"Tiago Mendes","3,00 mill. €","Atlético"
"Isaac Nana","-","Atlético"
"Carlos Ramos","-","Atlético"
"Cristian Rodríguez","5,00 mill. €","Atlético"
"Raúl García","12,00 mill. €","Atlético"
"Diego","10,00 mill. €","Atlético"
"José Sosa","9,00 mill. €","Atlético"
"Samu Saiz","-","Atlético"
"Arda Turan","25,00 mill. €","Atlético"
"Momar Ndoye","-","Atlético"
"Léo Baptistão","6,00 mill. €","Atlético"
"Diego Costa","35,00 mill. €","Atlético"
"David Villa","10,00 mill. €","Atlético"
"Adrián López","8,00 mill. €","Atlético"
"Rubén Mesa","-","Atlético"
"Héctor Hernández","-","Atlético"
"Víctor Valdés","12,00 mill. €","Barcelona"
"Oier Olazábal","800 mil €","Barcelona"
"José Manuel Pinto","300 mil €","Barcelona"
"Gerard Piqué","36,00 mill. €","Barcelona"
"Marc Bartra","12,00 mill. €","Barcelona"
"Sergi Gómez","1,00 mill. €","Barcelona"
"Carles Puyol","1,00 mill. €","Barcelona"
"Patric","600 mil €","Barcelona"
"Jordi Alba","25,00 mill. €","Barcelona"
"Adriano","15,00 mill. €","Barcelona"
"Dani Alves","18,00 mill. €","Barcelona"
"Martín Montoya","12,00 mill. €","Barcelona"
"Sergio Busquets","45,00 mill. €","Barcelona"
"Alex Song","18,00 mill. €","Barcelona"
"Javier Mascherano","15,00 mill. €","Barcelona"
"Jonathan dos Santos","3,00 mill. €","Barcelona"
"Andrés Iniesta","55,00 mill. €","Barcelona"
"Cesc Fàbregas","50,00 mill. €","Barcelona"
"Xavi","10,00 mill. €","Barcelona"
"Sergi Roberto","8,00 mill. €","Barcelona"
"Neymar","60,00 mill. €","Barcelona"
"Ibrahim Afellay","5,00 mill. €","Barcelona"
"Cristian Tello","9,00 mill. €","Barcelona"
"Isaac Cuenca","3,00 mill. €","Barcelona"
"Lionel Messi","120,00 mill. €","Barcelona"
"Pedro","25,00 mill. €","Barcelona"
"Adama Traoré","1,00 mill. €","Barcelona"
"Alexis Sánchez","30,00 mill. €","Barcelona"
"Jean Marie Dongou","1,50 mill. €","Barcelona"
"Kiko Casilla","3,50 mill. €","Espanyol"
"Germán Parreño","200 mil €","Espanyol"
"Pau López","-","Espanyol"
"Héctor Moreno","7,00 mill. €","Espanyol"
"Raúl Rodríguez","1,80 mill. €","Espanyol"
"David López","1,80 mill. €","Espanyol"
"Diego Colotto","1,80 mill. €","Espanyol"
"Sidnei","1,50 mill. €","Espanyol"
"Juan Rafael Fuentes","2,00 mill. €","Espanyol"
"Víctor Álvarez","1,20 mill. €","Espanyol"
"Carlos Clerc","300 mil €","Espanyol"
"Joan Capdevila","200 mil €","Espanyol"
"Javi López","3,00 mill. €","Espanyol"
"Felipe Mattioni","1,00 mill. €","Espanyol"
"Víctor Sánchez","3,00 mill. €","Espanyol"
"Álex Fernández","1,50 mill. €","Espanyol"
"Abraham González","1,20 mill. €","Espanyol"
"Sergio Tejera","800 mil €","Espanyol"
"Pizzi","3,00 mill. €","Espanyol"
"Thievy Bifouma","3,00 mill. €","Espanyol"
"Simão","1,50 mill. €","Espanyol"
"Gabriel Torje","3,00 mill. €","Espanyol"
"Manu Lanzarote","1,50 mill. €","Espanyol"
"Sergio García","3,50 mill. €","Espanyol"
"Cristhian Stuani","3,00 mill. €","Espanyol"
"Jhon Córdoba","1,00 mill. €","Espanyol"
"Miguel Ángel Moyá","3,00 mill. €","Getafe"
"Jordi Codina","800 mil €","Getafe"
"Júlio César","500 mil €","Getafe"
"Ángel Galván","-","Getafe"
"Oliver Sánchez","-","Getafe"
"Lisandro López","6,00 mill. €","Getafe"
"Rafa López","2,00 mill. €","Getafe"
"Alexis Ruano","1,00 mill. €","Getafe"
"Álvaro Arroyo","1,00 mill. €","Getafe"
"Alberto Lopo","400 mil €","Getafe"
"Carlos Vigaray","-","Getafe"
"Roberto Lago","3,00 mill. €","Getafe"
"Sergio Escudero","1,50 mill. €","Getafe"
"David Forniés","-","Getafe"
"Juan Valera","2,00 mill. €","Getafe"
"Mehdi Lacen","1,50 mill. €","Getafe"
"Borja Fernández","1,00 mill. €","Getafe"
"Juan Rodríguez","600 mil €","Getafe"
"Pedro Mosquera","2,00 mill. €","Getafe"
"Míchel Madera","1,50 mill. €","Getafe"
"Pablo Sarabia","3,00 mill. €","Getafe"
"Sammir","3,00 mill. €","Getafe"
"Ivi López","-","Getafe"
"Diego Castro","3,00 mill. €","Getafe"
"Ángel Lafita","2,50 mill. €","Getafe"
"Jaime Gavilán","1,60 mill. €","Getafe"
"Pedro León","4,00 mill. €","Getafe"
"Javi Navas","-","Getafe"
"Álvaro Vázquez","3,00 mill. €","Getafe"
"Miku","3,00 mill. €","Getafe"
"Ciprian Marica","2,50 mill. €","Getafe"
"Adrián Colunga","2,50 mill. €","Getafe"
"Andrés Fernández","3,50 mill. €","Osasuna"
"Asier Riesgo","500 mil €","Osasuna"
"Ander Cantero","200 mil €","Osasuna"
"Alejandro Arribas","4,00 mill. €","Osasuna"
"Jordan Lotiès","3,00 mill. €","Osasuna"
"Miguel Flaño","1,50 mill. €","Osasuna"
"Jon Echaide","300 mil €","Osasuna"
"Eneko Satrústegui","300 mil €","Osasuna"
"Joan Oriol","1,20 mill. €","Osasuna"
"Marc Bertrán","1,50 mill. €","Osasuna"
"Damià Abella","1,00 mill. €","Osasuna"
"Francisco Silva","2,00 mill. €","Osasuna"
"Lolo","1,80 mill. €","Osasuna"
"Oier Sanjurjo","1,80 mill. €","Osasuna"
"Raoul Loé","1,80 mill. €","Osasuna"
"Patxi Puñal","100 mil €","Osasuna"
"Roberto Torres","1,50 mill. €","Osasuna"
"Sisi González","1,20 mill. €","Osasuna"
"José García","-","Osasuna"
