"name","market_value","team"
"Franco Costanzo","800 mil €","Alavés"
"Roberto Bonano","750 mil €","Alavés"
"Nicolas Ardouin","500 mil €","Alavés"
"Gaspar Gálvez","2,00 mill. €","Alavés"
"Mauricio Pellegrino","1,25 mill. €","Alavés"
"Josu Sarriegi","700 mil €","Alavés"
"Óscar Téllez","500 mil €","Alavés"
"Poli","500 mil €","Alavés"
"Lluís Carreras","300 mil €","Alavés"
"Ibon Begoña","-","Alavés"
"Edu Alonso","900 mil €","Alavés"
"David Coromina","600 mil €","Alavés"
"Juanito","1,00 mill. €","Alavés"
"Mehdi Lacen","475 mil €","Alavés"
"Blagoy Georgiev","2,00 mill. €","Alavés"
"Santiago Carpintero","1,25 mill. €","Alavés"
"Martín Astudillo","1,00 mill. €","Alavés"
"Élton","50 mil €","Alavés"
"Claude Gnakpa","-","Alavés"
"Quique de Lucas","3,00 mill. €","Alavés"
"Jandro Castro","1,00 mill. €","Alavés"
"Nenê","600 mil €","Alavés"
"Antonio Pacheco","2,50 mill. €","Alavés"
"Wesley","2,00 mill. €","Alavés"
"Henri Antchouet","4,00 mill. €","Alavés"
"John Aloisi","2,25 mill. €","Alavés"
"Rodolfo Bodipo","2,00 mill. €","Alavés"
"Pape Thiaw","1,80 mill. €","Alavés"
"Rubén Navarro","450 mil €","Alavés"
"José María Mena","400 mil €","Alavés"
"Arthuro","250 mil €","Alavés"
"Daniel Aranzubia","3,00 mill. €","Athletic"
"Iñaki Lafuente","1,50 mill. €","Athletic"
"Miguel Escalona","50 mil €","Athletic"
"Igor Etxebarrieta","-","Athletic"
"Eder Martínez","100 mil €","Athletic"
"Carlos Gurpegui","3,75 mill. €","Athletic"
"Aitor Karanka","2,00 mill. €","Athletic"
"Luis Prieto","800 mil €","Athletic"
"Ustaritz","700 mil €","Athletic"
"Ander Murillo","400 mil €","Athletic"
"Fernando Amorebieta","400 mil €","Athletic"
"Francisco Tarantino","175 mil €","Athletic"
"Jon Moya","-","Athletic"
"Javi Casas","700 mil €","Athletic"
"Andoni Iraola","7,50 mill. €","Athletic"
"Mari Lacruz","600 mil €","Athletic"
"Felipe Guréndez","400 mil €","Athletic"
"Unai Expósito","300 mil €","Athletic"
"Asier Ormazábal","100 mil €","Athletic"
"Pablo Orbaiz","900 mil €","Athletic"
"Gontzal Rodríguez","100 mil €","Athletic"
"Tiko","1,50 mill. €","Athletic"
"Endika Bordas","500 mil €","Athletic"
"Ibon Gutiérrez","200 mil €","Athletic"
"Pablo Paredes","100 mil €","Athletic"
"David de Paula","50 mil €","Athletic"
"Andoitz Galdós","-","Athletic"
"Mikel Martins","-","Athletic"
"Javi González","900 mil €","Athletic"
"Aritz Solabarrieta","500 mil €","Athletic"
"Fran Yeste","6,50 mill. €","Athletic"
"Julen Guerrero","1,00 mill. €","Athletic"
"Jonan García","700 mil €","Athletic"
"Mikel Dañobeitia","650 mil €","Athletic"
"Urko Arroyo","125 mil €","Athletic"
"Joseba Etxeberria","4,00 mill. €","Athletic"
"Aritz Aduriz","3,25 mill. €","Athletic"
"Ismael Urzaiz","2,50 mill. €","Athletic"
"Fernando Llorente","700 mil €","Athletic"
"Joseba Arriaga","500 mil €","Athletic"
"David Lizoain","75 mil €","Athletic"
"Leo Franco","6,50 mill. €","Atlético"
"Iván Cuéllar","550 mil €","Atlético"
"Roberto","350 mil €","Atlético"
"Ismael Falcón","300 mil €","Atlético"
"Curro Galán","-","Atlético"
"Luis Amaranto Perea","12,00 mill. €","Atlético"
"Pablo Ibáñez","9,50 mill. €","Atlético"
"José García Calvo","4,25 mill. €","Atlético"
"Juan Velasco","3,50 mill. €","Atlético"
"Pablo Sicilia","150 mil €","Atlético"
"Antonio López","10,50 mill. €","Atlético"
"Juan Valera","650 mil €","Atlético"
"Francisco Molinero","500 mil €","Atlético"
"Antonio Moreno","-","Atlético"
"Julián Vara","-","Atlético"
"Peter Luccin","5,50 mill. €","Atlético"
"Gonzalo Colsa","2,50 mill. €","Atlético"
"José Ignacio Zahinos","2,50 mill. €","Atlético"
"Mario Suárez","250 mil €","Atlético"
"Gabi","2,00 mill. €","Atlético"
"Ariel Ibagaza","7,50 mill. €","Atlético"
"Martin Petrov","10,00 mill. €","Atlético"
"Maxi Rodríguez","9,00 mill. €","Atlético"
"Luciano Galletti","3,75 mill. €","Atlético"
"Fernando Marqués","500 mil €","Atlético"
"Fernando Torres","25,00 mill. €","Atlético"
"Mateja Kežman","12,50 mill. €","Atlético"
"Javier Arizmendi","4,00 mill. €","Atlético"
"Braulio Nóbrega","200 mil €","Atlético"
"Manu del Moral","100 mil €","Atlético"
"Rufino Segovia","100 mil €","Atlético"
"Víctor Valdés","11,00 mill. €","Barcelona"
"Albert Jorquera","1,75 mill. €","Barcelona"
"Carles Puyol","27,00 mill. €","Barcelona"
"Rafa Márquez","16,00 mill. €","Barcelona"
"Oleguer","6,00 mill. €","Barcelona"
"Rodri","1,50 mill. €","Barcelona"
"Javi Martos","50 mil €","Barcelona"
"Ramón Masó","-","Barcelona"
"Jesús Olmo","-","Barcelona"
"Giovanni van Bronckhorst","6,00 mill. €","Barcelona"
"Sylvinho","4,25 mill. €","Barcelona"
"Carlos Peña","50 mil €","Barcelona"
"Juliano Belletti","8,00 mill. €","Barcelona"
"Damià Abella","2,00 mill. €","Barcelona"
"Thiago Motta","9,00 mill. €","Barcelona"
"Edmílson","8,00 mill. €","Barcelona"
"Gabri","4,50 mill. €","Barcelona"
"Xavi","28,00 mill. €","Barcelona"
"Mark van Bommel","12,00 mill. €","Barcelona"
"Andrés Iniesta","12,00 mill. €","Barcelona"
"Pitu","50 mil €","Barcelona"
"Jordi Gómez","50 mil €","Barcelona"
"Ludovic Sylvestre","-","Barcelona"
"Andrea Orlandi","-","Barcelona"
"Deco","24,25 mill. €","Barcelona"
"Ronaldinho","70,00 mill. €","Barcelona"
"Cristian Hidalgo","50 mil €","Barcelona"
"Paco Montañés","-","Barcelona"
"Lionel Messi","15,00 mill. €","Barcelona"
"Ludovic Giuly","10,00 mill. €","Barcelona"
"Samuel Eto'o","36,00 mill. €","Barcelona"
"Maxi López","5,50 mill. €","Barcelona"
"Santiago Ezquerro","5,00 mill. €","Barcelona"
"Henrik Larsson","4,50 mill. €","Barcelona"
"Pedro Contreras","3,75 mill. €","Real Betis"
"Toni Doblas","1,00 mill. €","Real Betis"
"Víctor Bocanegra","-","Real Betis"
"David Relaño","-","Real Betis"
"Juanito","6,00 mill. €","Real Betis"
"Melli","5,00 mill. €","Real Betis"
"Alejandro Lembo","1,25 mill. €","Real Betis"
"David Rivas","800 mil €","Real Betis"
"Arzu","500 mil €","Real Betis"
"Nano Rivas","100 mil €","Real Betis"
"Paolo Castellini","2,25 mill. €","Real Betis"
"Luis Fernández","450 mil €","Real Betis"
"Óscar López","1,25 mill. €","Real Betis"
"Fernando Varela","500 mil €","Real Betis"
"Isidoro","-","Real Betis"
"Miguel Ángel","2,00 mill. €","Real Betis"
"Juanjo Cañas","400 mil €","Real Betis"
"Juande Prados","200 mil €","Real Betis"
"José Alberto Cañas","-","Real Betis"
"Marcos Assunção","6,25 mill. €","Real Betis"
"Alberto Rivera","800 mil €","Real Betis"
"Israel Bascón","400 mil €","Real Betis"
"Juanlu","300 mil €","Real Betis"
"Capi","4,00 mill. €","Real Betis"
"Fernando","1,50 mill. €","Real Betis"
"Denilson","6,00 mill. €","Real Betis"
"Joaquín","22,00 mill. €","Real Betis"
"Xisco Muñoz","4,00 mill. €","Real Betis"
"Edú","3,50 mill. €","Real Betis"
"Ricardo Oliveira","6,00 mill. €","Real Betis"
"Robert","4,00 mill. €","Real Betis"
"Dani","1,00 mill. €","Real Betis"
"Diego Tardelli","750 mil €","Real Betis"
"Armando Ribeiro","900 mil €","Cádiz"
"Alejandro Limia","600 mil €","Cádiz"
"Raúl Navas","-","Cádiz"
"José Julián de la Cuesta","3,00 mill. €","Cádiz"
"Ramón de Quintana","500 mil €","Cádiz"
"Abraham Paz","450 mil €","Cádiz"
"Eduardo Berizzo","150 mil €","Cádiz"
"Raúl López","800 mil €","Cádiz"
"Mário Silva","600 mil €","Cádiz"
"Alejandro Varela","800 mil €","Cádiz"
"Marc Bertrán","400 mil €","Cádiz"
"Luciano Vella","350 mil €","Cádiz"
"Andrés Fleurquín","500 mil €","Cádiz"
"Benjamín","1,25 mill. €","Cádiz"
"Roberto Suárez","700 mil €","Cádiz"
"Manolo Pérez","175 mil €","Cádiz"
"Fabián Estoyanoff","1,75 mill. €","Cádiz"
"Fernando Morán","500 mil €","Cádiz"
"Iván Ania","300 mil €","Cádiz"
"Matías Pavoni","800 mil €","Cádiz"
"Juan José Bezares","800 mil €","Cádiz"
"Enrique Ortiz","1,25 mill. €","Cádiz"
"Jonathan Sesma","1,25 mill. €","Cádiz"
"Lucas Lobos","2,00 mill. €","Cádiz"
"Alexander Medina","900 mil €","Cádiz"
"Nenad Mirosavljevic","750 mil €","Cádiz"
"Oli","600 mil €","Cádiz"
"Javi Acuña","75 mil €","Cádiz"
"Esteban","3,00 mill. €","Celta"
"José Manuel Pinto","50 mil €","Celta"
"Pablo Contreras","3,00 mill. €","Celta"
"Sergio Fernández","2,50 mill. €","Celta"
"Matías Lequi","2,00 mill. €","Celta"
"Sebastián Méndez","750 mil €","Celta"
"Yago Yao","300 mil €","Celta"
"Diego Placente","4,50 mill. €","Celta"
"José Enrique","800 mil €","Celta"
"Ángel López","50 mil €","Celta"
"Borja Oubiña","3,00 mill. €","Celta"
"Roberto Sousa","800 mil €","Celta"
"Jorge Larena","3,00 mill. €","Celta"
"Iriney","900 mil €","Celta"
"Everton Giovanella","750 mil €","Celta"
"Jonathan Aspas","500 mil €","Celta"
"Isaac","200 mil €","Celta"
"Fabián Canobbio","1,50 mill. €","Celta"
"David Silva","800 mil €","Celta"
"Gustavo López","7,50 mill. €","Celta"
"Daniël de Ridder","1,25 mill. €","Celta"
"Carlos Vela","3,00 mill. €","Celta"
"Antonio Núñez","1,30 mill. €","Celta"
"Javi Guerrero","3,50 mill. €","Celta"
"Fernando Baiano","3,00 mill. €","Celta"
"Jesús Perera","350 mil €","Celta"
"Juan Sánchez","-","Celta"
"José Francisco Molina","3,85 mill. €","RC Deportivo"
"Gustavo Munúa","1,50 mill. €","RC Deportivo"
"Dani Mallo","750 mil €","RC Deportivo"
"Jorge Andrade","12,50 mill. €","RC Deportivo"
"Fabricio Coloccini","8,00 mill. €","RC Deportivo"
"Juanma Delgado","1,80 mill. €","RC Deportivo"
"César Martín","1,75 mill. €","RC Deportivo"
"Pablo Amo","1,75 mill. €","RC Deportivo"
"Chapi","150 mil €","RC Deportivo"
"Joan Capdevila","7,50 mill. €","RC Deportivo"
