"name","market_value","team"
"Gorka Iraizoz","3,40 mill. €","Athletic"
"Daniel Aranzubia","3,00 mill. €","Athletic"
"Armando Ribeiro","1,00 mill. €","Athletic"
"Raúl Fernández","500 mil €","Athletic"
"Javi Martínez","5,00 mill. €","Athletic"
"Fernando Amorebieta","3,20 mill. €","Athletic"
"Aitor Ocio","3,00 mill. €","Athletic"
"Carlos Gurpegui","2,40 mill. €","Athletic"
"Ustaritz","1,40 mill. €","Athletic"
"Ander Murillo","1,20 mill. €","Athletic"
"Luis Prieto","800 mil €","Athletic"
"Asier del Horno","4,40 mill. €","Athletic"
"Koikili","1,40 mill. €","Athletic"
"Javi Casas","500 mil €","Athletic"
"Andoni Iraola","6,00 mill. €","Athletic"
"Unai Expósito","1,60 mill. €","Athletic"
"Iban Zubiaurre","300 mil €","Athletic"
"Pablo Orbaiz","3,00 mill. €","Athletic"
"Iñaki Muñoz","1,40 mill. €","Athletic"
"David López","5,00 mill. €","Athletic"
"Joseba Garmendia","1,60 mill. €","Athletic"
"Tiko","1,00 mill. €","Athletic"
"David Cuéllar","800 mil €","Athletic"
"Igor Gabilondo","3,80 mill. €","Athletic"
"Fran Yeste","6,00 mill. €","Athletic"
"Urko Arroyo","100 mil €","Athletic"
"Markel Susaeta","3,00 mill. €","Athletic"
"Joseba Etxeberria","2,20 mill. €","Athletic"
"Aitor Ramos","300 mil €","Athletic"
"Aritz Aduriz","3,60 mill. €","Athletic"
"Fernando Llorente","3,40 mill. €","Athletic"
"Ion Vélez","700 mil €","Athletic"
"Leo Franco","6,00 mill. €","Atlético"
"Christian Abbiati","4,00 mill. €","Atlético"
"Ismael Falcón","900 mil €","Atlético"
"Pablo Ibáñez","10,00 mill. €","Atlético"
"Luis Amaranto Perea","9,00 mill. €","Atlético"
"Fabiano Eller","3,00 mill. €","Atlético"
"Zé Castro","2,60 mill. €","Atlético"
"Álvaro Domínguez","300 mil €","Atlético"
"César Ortiz","100 mil €","Atlético"
"David Fernández","-","Atlético"
"Antonio López","6,00 mill. €","Atlético"
"Mariano Pernía","5,00 mill. €","Atlético"
"Georgios Seitaridis","6,00 mill. €","Atlético"
"Juan Valera","800 mil €","Atlético"
"Thiago Motta","6,00 mill. €","Atlético"
"Peter Luccin","5,00 mill. €","Atlético"
"Ignacio Camacho","1,60 mill. €","Atlético"
"Costinha","1,00 mill. €","Atlético"
"Maniche","8,00 mill. €","Atlético"
"Cléber Santana","4,00 mill. €","Atlético"
"Álex Quillo","500 mil €","Atlético"
"Joshua Zapata","100 mil €","Atlético"
