"name","market_value","team"
"Daniel Aranzubia","3,00 mill. €","Athletic"
"Iñaki Lafuente","1,50 mill. €","Athletic"
"Unai Alba","100 mil €","Athletic"
"Aitor Alcalde","100 mil €","Athletic"
"Javi Martínez","5,00 mill. €","Athletic"
"Carlos Gurpegui","3,00 mill. €","Athletic"
"Ander Murillo","900 mil €","Athletic"
"Luis Prieto","800 mil €","Athletic"
"Ustaritz","750 mil €","Athletic"
"Josu Sarriegi","700 mil €","Athletic"
"Fernando Amorebieta","400 mil €","Athletic"
"Unai Vergara","350 mil €","Athletic"
"Gaizka Bergara","100 mil €","Athletic"
"Javi Casas","1,25 mill. €","Athletic"
"Andoni Iraola","7,50 mill. €","Athletic"
"Unai Expósito","1,00 mill. €","Athletic"
"Iban Zubiaurre","100 mil €","Athletic"
"Pablo Orbaiz","1,50 mill. €","Athletic"
"Javier Iturriaga","350 mil €","Athletic"
"Joseba Garmendia","1,20 mill. €","Athletic"
"Tiko","1,00 mill. €","Athletic"
"Beñat Etxebarria","150 mil €","Athletic"
"Javi González","900 mil €","Athletic"
"Igor Gabilondo","3,00 mill. €","Athletic"
"Fran Yeste","9,50 mill. €","Athletic"
"Mikel Dañobeitia","750 mil €","Athletic"
"Joseba Etxeberria","3,00 mill. €","Athletic"
"Aritz Aduriz","4,50 mill. €","Athletic"
"Fernando Llorente","2,50 mill. €","Athletic"
"Ismael Urzaiz","-","Athletic"
"Leo Franco","8,50 mill. €","Atlético"
"Iván Cuéllar","500 mil €","Atlético"
"Ismael Falcón","100 mil €","Atlético"
"Roberto","100 mil €","Atlético"
"Eder Martínez","100 mil €","Atlético"
"Luis Amaranto Perea","10,50 mill. €","Atlético"
"Pablo Ibáñez","9,00 mill. €","Atlético"
"Zé Castro","3,00 mill. €","Atlético"
"Fabiano Eller","2,50 mill. €","Atlético"
"Federico Azcárate","-","Atlético"
"Antonio López","10,00 mill. €","Atlético"
"Mariano Pernía","3,00 mill. €","Atlético"
"Georgios Seitaridis","7,00 mill. €","Atlético"
"Juan Valera","800 mil €","Atlético"
"Costinha","9,00 mill. €","Atlético"
"Peter Luccin","6,50 mill. €","Atlético"
"Mario Suárez","250 mil €","Atlético"
"Maniche","10,50 mill. €","Atlético"
"Gabi","2,50 mill. €","Atlético"
"Pollo","-","Atlético"
"Óscar Jiménez","-","Atlético"
"José Manuel Jurado","5,50 mill. €","Atlético"
"Víctor Bravo","500 mil €","Atlético"
"Maxi Rodríguez","12,00 mill. €","Atlético"
"Martin Petrov","10,00 mill. €","Atlético"
