"name","market_value","team"
"Gorka Iraizoz","4,00 mill. €","Athletic"
"Raúl Fernández","800 mil €","Athletic"
"Kepa Arrizabalaga","-","Athletic"
"Javi Martínez","22,00 mill. €","Athletic"
"Fernando Amorebieta","9,00 mill. €","Athletic"
"Borja Ekiza","3,50 mill. €","Athletic"
"Jon Aurtenetxe","3,00 mill. €","Athletic"
"Carlos Gurpegui","2,50 mill. €","Athletic"
"Aitor Ocio","500 mil €","Athletic"
"Jonás Ramalho","-","Athletic"
"Xabier Castillo","1,00 mill. €","Athletic"
"Koikili","500 mil €","Athletic"
"Andoni Iraola","9,00 mill. €","Athletic"
"Óscar de Marcos","6,00 mill. €","Athletic"
"Iban Zubiaurre","600 mil €","Athletic"
"Mikel San José","4,50 mill. €","Athletic"
"Ander Iturraspe","3,50 mill. €","Athletic"
"Pablo Orbaiz","2,50 mill. €","Athletic"
"Ander Herrera","8,00 mill. €","Athletic"
"David López","3,00 mill. €","Athletic"
"Iñigo Pérez","2,00 mill. €","Athletic"
"Iñigo Ruiz de Galarreta","-","Athletic"
"Igor Gabilondo","1,50 mill. €","Athletic"
"Igor Martínez","800 mil €","Athletic"
"Iker Muniain","20,00 mill. €","Athletic"
"Ibai Gómez","1,00 mill. €","Athletic"
"Markel Susaeta","6,50 mill. €","Athletic"
"Gaizka Toquero","3,50 mill. €","Athletic"
"Fernando Llorente","25,00 mill. €","Athletic"
"Guillermo Fernández","-","Athletic"
"Thibaut Courtois","9,00 mill. €","Atlético"
"Joel Robles","2,00 mill. €","Atlético"
"Sergio Asenjo","2,00 mill. €","Atlético"
"Diego Godín","12,00 mill. €","Atlético"
"Álvaro Domínguez","8,00 mill. €","Atlético"
"Miranda","7,00 mill. €","Atlético"
"Luis Amaranto Perea","1,50 mill. €","Atlético"
"Jorge Pulido","500 mil €","Atlético"
"Francisco Regalón","-","Atlético"
"Filipe Luís","8,00 mill. €","Atlético"
"Antonio López","1,50 mill. €","Atlético"
"Sílvio","8,00 mill. €","Atlético"
"Juanfran Torres","8,00 mill. €","Atlético"
"Juan Valera","2,50 mill. €","Atlético"
"Javier Manquillo","-","Atlético"
"Mario Suárez","5,00 mill. €","Atlético"
"Paulo Assunção","1,50 mill. €","Atlético"
"Elias","8,00 mill. €","Atlético"
"Tiago Mendes","7,00 mill. €","Atlético"
"Gabi","5,00 mill. €","Atlético"
"Koke","3,50 mill. €","Atlético"
"Fran Mérida","2,50 mill. €","Atlético"
"Miguel Ángel Luque","-","Atlético"
"Saúl Ñíguez","-","Atlético"
"Óliver Torres","-","Atlético"
"Abdelkader Oueslati","-","Atlético"
"Diego","10,00 mill. €","Atlético"
"Raúl García","5,00 mill. €","Atlético"
"Pizzi","4,50 mill. €","Atlético"
"Arda Turan","15,50 mill. €","Atlético"
"Momar Ndoye","-","Atlético"
