"name","market_value","team"
"Gorka Iraizoz","2,00 mill. €","Athletic"
"Iago Herrerín","1,00 mill. €","Athletic"
"Álex Remiro","-","Athletic"
"Aymeric Laporte","15,00 mill. €","Athletic"
"Xabi Etxeita","2,00 mill. €","Athletic"
"Jon Aurtenetxe","1,50 mill. €","Athletic"
"Carlos Gurpegui","1,50 mill. €","Athletic"
"Unai Bustinza","300 mil €","Athletic"
"Mikel Balenziaga","4,00 mill. €","Athletic"
"Óscar de Marcos","5,00 mill. €","Athletic"
"Andoni Iraola","3,00 mill. €","Athletic"
"Ander Iturraspe","12,00 mill. €","Athletic"
"Mikel San José","5,00 mill. €","Athletic"
"Mikel Rico","8,00 mill. €","Athletic"
"Beñat Etxebarria","6,00 mill. €","Athletic"
"Unai López","1,00 mill. €","Athletic"
"Erik Morán","900 mil €","Athletic"
"Iker Muniain","18,00 mill. €","Athletic"
"Ibai Gómez","3,50 mill. €","Athletic"
"Markel Susaeta","11,00 mill. €","Athletic"
"Iñaki Williams","2,50 mill. €","Athletic"
"Ager Aketxe","500 mil €","Athletic"
"Gaizka Toquero","900 mil €","Athletic"
"Aritz Aduriz","3,00 mill. €","Athletic"
"Borja Viguera","2,00 mill. €","Athletic"
"Kike Sola","1,50 mill. €","Athletic"
"Guillermo Fernández","1,00 mill. €","Athletic"
"Jan Oblak","8,00 mill. €","Atlético"
"Miguel Ángel Moyá","7,00 mill. €","Atlético"
"Bernabé Barragán","-","Atlético"
"Diego Godín","30,00 mill. €","Atlético"
"Miranda","22,00 mill. €","Atlético"
"José María Giménez","15,00 mill. €","Atlético"
"Nacho Monsalve","-","Atlético"
"Guilherme Siqueira","10,00 mill. €","Atlético"
"Cristian Ansaldi","9,00 mill. €","Atlético"
"Lucas Hernández","-","Atlético"
"Iván Pérez","-","Atlético"
"Juanfran Torres","18,00 mill. €","Atlético"
"Jesús Gámez","4,00 mill. €","Atlético"
"Mario Suárez","10,00 mill. €","Atlético"
"Koke","50,00 mill. €","Atlético"
"Gabi","12,00 mill. €","Atlético"
"Saúl Ñíguez","9,00 mill. €","Atlético"
"Tiago Mendes","2,50 mill. €","Atlético"
"Carlos Ramos","-","Atlético"
"Cristian Rodríguez","4,50 mill. €","Atlético"
"Raúl García","15,00 mill. €","Atlético"
"Arda Turan","35,00 mill. €","Atlético"
"Cani","1,50 mill. €","Atlético"
"Nacho Huertas","-","Atlético"
"Sekou Keita","-","Atlético"
"Alessio Cerci","13,50 mill. €","Atlético"
"Antoine Griezmann","35,00 mill. €","Atlético"
"Ángel Correa","5,00 mill. €","Atlético"
"Mario Mandžukić","26,00 mill. €","Atlético"
"Raúl Jiménez","7,00 mill. €","Atlético"
"Fernando Torres","7,00 mill. €","Atlético"
"Héctor Hernández","-","Atlético"
"Marc-André ter Stegen","15,00 mill. €","Barcelona"
"Claudio Bravo","12,00 mill. €","Barcelona"
"Jordi Masip","1,50 mill. €","Barcelona"
"Gerard Piqué","35,00 mill. €","Barcelona"
"Marc Bartra","12,00 mill. €","Barcelona"
"Thomas Vermaelen","6,00 mill. €","Barcelona"
"Edgar Ié","1,20 mill. €","Barcelona"
"Jordi Alba","25,00 mill. €","Barcelona"
"Jérémy Mathieu","15,00 mill. €","Barcelona"
"Adriano","8,00 mill. €","Barcelona"
"Martín Montoya","10,00 mill. €","Barcelona"
"Dani Alves","10,00 mill. €","Barcelona"
"Douglas","2,00 mill. €","Barcelona"
"Sergio Busquets","35,00 mill. €","Barcelona"
"Javier Mascherano","15,00 mill. €","Barcelona"
"Sergi Samper","5,00 mill. €","Barcelona"
"Diawandou Diagne","800 mil €","Barcelona"
"Gerard Gumbau","300 mil €","Barcelona"
"Andrés Iniesta","35,00 mill. €","Barcelona"
"Ivan Rakitic","30,00 mill. €","Barcelona"
"Sergi Roberto","8,00 mill. €","Barcelona"
"Xavi","5,00 mill. €","Barcelona"
"Neymar","80,00 mill. €","Barcelona"
"Rafinha","12,00 mill. €","Barcelona"
"Munir El Haddadi","10,00 mill. €","Barcelona"
"Alen Halilovic","5,00 mill. €","Barcelona"
"Lionel Messi","120,00 mill. €","Barcelona"
"Pedro","20,00 mill. €","Barcelona"
"Adama Traoré","5,00 mill. €","Barcelona"
"Luis Suárez","60,00 mill. €","Barcelona"
"Sandro Ramírez","5,00 mill. €","Barcelona"
"Kiko Casilla","7,50 mill. €","Espanyol"
"Pau López","300 mil €","Espanyol"
"Germán Parreño","200 mil €","Espanyol"
"Andrés Prieto","-","Espanyol"
"David López","7,00 mill. €","Espanyol"
"Héctor Moreno","7,00 mill. €","Espanyol"
"Álvaro González","3,00 mill. €","Espanyol"
"Anaitz Arbilla","3,00 mill. €","Espanyol"
"Eric Bailly","3,00 mill. €","Espanyol"
"Diego Colotto","1,80 mill. €","Espanyol"
"Rubén Duarte","1,00 mill. €","Espanyol"
"Raúl Rodríguez","800 mil €","Espanyol"
"Juan Rafael Fuentes","3,00 mill. €","Espanyol"
"Víctor Álvarez","1,00 mill. €","Espanyol"
"Carlos Clerc","400 mil €","Espanyol"
"Lucas Vázquez","4,00 mill. €","Espanyol"
"Javi López","3,00 mill. €","Espanyol"
"Felipe Mattioni","500 mil €","Espanyol"
"Rober Correa","-","Espanyol"
"José Alberto Cañas","4,50 mill. €","Espanyol"
"Víctor Sánchez","3,00 mill. €","Espanyol"
"Salva Sevilla","2,00 mill. €","Espanyol"
"Abraham González","1,20 mill. €","Espanyol"
"Álex Fernández","1,00 mill. €","Espanyol"
"Julián Luque","-","Espanyol"
"Joan Jordán","-","Espanyol"
"Paco Montañés","1,50 mill. €","Espanyol"
"Manu Lanzarote","1,00 mill. €","Espanyol"
"Sergio García","6,00 mill. €","Espanyol"
"Felipe Caicedo","5,00 mill. €","Espanyol"
"Cristhian Stuani","4,00 mill. €","Espanyol"
"Jairo Morillas","-","Espanyol"
"Vicente Guaita","3,00 mill. €","Getafe"
"Jordi Codina","800 mil €","Getafe"
"Jonathan López","200 mil €","Getafe"
"Emiliano Velázquez","3,00 mill. €","Getafe"
"Alexis Ruano","2,00 mill. €","Getafe"
"Naldo","1,50 mill. €","Getafe"
"Álvaro Arroyo","1,50 mill. €","Getafe"
"Rafa López","1,50 mill. €","Getafe"
"Carlos Vigaray","500 mil €","Getafe"
"Pablo Villalón","-","Getafe"
"Sergio Escudero","2,00 mill. €","Getafe"
"Roberto Lago","1,50 mill. €","Getafe"
"Juan Valera","2,00 mill. €","Getafe"
"Edu Payá","-","Getafe"
"Mehdi Lacen","2,00 mill. €","Getafe"
"Juan Rodríguez","1,00 mill. €","Getafe"
"Míchel Madera","1,50 mill. €","Getafe"
"Míchel Herrero","1,20 mill. €","Getafe"
"Alex Felip","-","Getafe"
