"name","market_value","team"
"Unai Simón","28,00 mill. €","Athletic"
"Julen Agirrezabala","15,00 mill. €","Athletic"
"Álex Padilla","3,00 mill. €","Athletic"
"Oier Gastesi","150 mil €","Athletic"
"Dani Vivian","40,00 mill. €","Athletic"
"Aitor Paredes","22,00 mill. €","Athletic"
"Yeray Álvarez","7,00 mill. €","Athletic"
"Unai Núñez","3,00 mill. €","Athletic"
"Unai Egiluz","600 mil €","Athletic"
"Aimar Duñabeitia","150 mil €","Athletic"
"Ander Izagirre","50 mil €","Athletic"
"Adama Boiro","2,50 mill. €","Athletic"
"Yuri Berchiche","1,40 mill. €","Athletic"
"Andoni Gorosabel","5,00 mill. €","Athletic"
"Iñigo Lekue","2,00 mill. €","Athletic"
"Óscar de Marcos","1,50 mill. €","Athletic"
"Mikel Vesga","2,50 mill. €","Athletic"
"Mikel Jauregizar","30,00 mill. €","Athletic"
"Beñat Prados","18,00 mill. €","Athletic"
"Iñigo Ruiz de Galarreta","3,00 mill. €","Athletic"
"Ander Herrera","800 mil €","Athletic"
"Alejandro Rego","300 mil €","Athletic"
"Oihan Sancet","60,00 mill. €","Athletic"
"Unai Gómez","6,00 mill. €","Athletic"
"Peio Canales","1,00 mill. €","Athletic"
"Nico Williams","70,00 mill. €","Athletic"
"Álex Berenguer","9,00 mill. €","Athletic"
"Álvaro Djaló","5,00 mill. €","Athletic"
"Nico Serrano","1,20 mill. €","Athletic"
"Iker Varela","300 mil €","Athletic"
"Iñaki Williams","15,00 mill. €","Athletic"
"Adu Ares","1,60 mill. €","Athletic"
"Aingeru Olabarrieta","500 mil €","Athletic"
"Endika Buján","300 mil €","Athletic"
"Maroan Sannadi","10,00 mill. €","Athletic"
"Gorka Guruzeta","9,00 mill. €","Athletic"
"Javi Martón","500 mil €","Athletic"
"Jan Oblak","20,00 mill. €","Atlético"
"Juan Musso","3,50 mill. €","Atlético"
"Horațiu Moldovan","2,20 mill. €","Atlético"
"Alejandro Iturbe","2,00 mill. €","Atlético"
"Antonio Gomis","150 mil €","Atlético"
"Robin Le Normand","40,00 mill. €","Atlético"
"José María Giménez","20,00 mill. €","Atlético"
"Clément Lenglet","7,50 mill. €","Atlético"
"César Azpilicueta","1,50 mill. €","Atlético"
"Ilias Kostis","500 mil €","Atlético"
"Gerónimo Spina","200 mil €","Atlético"
"Reinildo Mandava","5,00 mill. €","Atlético"
"Javi Galán","4,00 mill. €","Atlético"
"Marcos Llorente","25,00 mill. €","Atlético"
"Nahuel Molina","20,00 mill. €","Atlético"
"Santiago Mouriño","3,00 mill. €","Atlético"
"Carlos Giménez","250 mil €","Atlético"
"Arthur Vermeeren","22,00 mill. €","Atlético"
"Axel Witsel","2,00 mill. €","Atlético"
"Pablo Barrios","55,00 mill. €","Atlético"
"Conor Gallagher","40,00 mill. €","Atlético"
"Rodrigo De Paul","25,00 mill. €","Atlético"
"Koke","8,00 mill. €","Atlético"
"Javi Serrano","700 mil €","Atlético"
"Aitor Gismera","250 mil €","Atlético"
"Thomas Lemar","5,00 mill. €","Atlético"
"Rayane Belaid","600 mil €","Atlético"
"Samuel Lino","22,00 mill. €","Atlético"
"Rodrigo Riquelme","12,00 mill. €","Atlético"
"Carlos Martín","2,80 mill. €","Atlético"
"Germán Valera","1,50 mill. €","Atlético"
"Marcos Paulo","450 mil €","Atlético"
"Giuliano Simeone","35,00 mill. €","Atlético"
"Víctor Mollejo","300 mil €","Atlético"
"Antoine Griezmann","18,00 mill. €","Atlético"
"Ángel Correa","10,00 mill. €","Atlético"
"Julián Alvarez","100,00 mill. €","Atlético"
"Alexander Sørloth","25,00 mill. €","Atlético"
"Omar Janneh","1,00 mill. €","Atlético"
"Adrián Niño","800 mil €","Atlético"
"Borja Garcés","300 mil €","Atlético"
"Marc-André ter Stegen","12,00 mill. €","Barcelona"
"Iñaki Peña","8,00 mill. €","Barcelona"
"Wojciech Szczęsny","1,00 mill. €","Barcelona"
"Ander Astralaga","800 mil €","Barcelona"
"Diego Kochen","500 mil €","Barcelona"
"Áron Yaakobishvili","300 mil €","Barcelona"
"Pau Cubarsí","80,00 mill. €","Barcelona"
"Ronald Araujo","35,00 mill. €","Barcelona"
"Eric García","18,00 mill. €","Barcelona"
"Andreas Christensen","12,00 mill. €","Barcelona"
"Iñigo Martínez","5,00 mill. €","Barcelona"
"Sergi Domínguez","1,00 mill. €","Barcelona"
"Alexis Olmedo","200 mil €","Barcelona"
"Andrés Cuenca","200 mil €","Barcelona"
"Álvaro Cortés","150 mil €","Barcelona"
"Alejandro Balde","60,00 mill. €","Barcelona"
"Gerard Martín","12,00 mill. €","Barcelona"
"Álex Valle","6,00 mill. €","Barcelona"
"Jules Koundé","65,00 mill. €","Barcelona"
"Héctor Fort","10,00 mill. €","Barcelona"
"Landry Farré","300 mil €","Barcelona"
"Marc Casadó","30,00 mill. €","Barcelona"
"Marc Bernal","5,00 mill. €","Barcelona"
"Pedri","140,00 mill. €","Barcelona"
"Gavi","60,00 mill. €","Barcelona"
"Frenkie de Jong","45,00 mill. €","Barcelona"
"Guille Fernández","3,00 mill. €","Barcelona"
"Dani Olmo","60,00 mill. €","Barcelona"
"Fermín López","50,00 mill. €","Barcelona"
"Pablo Torre","6,00 mill. €","Barcelona"
"Raphinha","90,00 mill. €","Barcelona"
"Ansu Fati","5,00 mill. €","Barcelona"
"Lamine Yamal","200,00 mill. €","Barcelona"
"Toni Fernández","3,00 mill. €","Barcelona"
"Noah Darvich","2,00 mill. €","Barcelona"
"Dani Rodríguez","200 mil €","Barcelona"
"Ferran Torres","40,00 mill. €","Barcelona"
"Robert Lewandowski","12,00 mill. €","Barcelona"
"Pau Víctor","4,00 mill. €","Barcelona"
"Thibaut Courtois","20,00 mill. €","Real Madrid"
"Andriy Lunin","18,00 mill. €","Real Madrid"
"Fran González","400 mil €","Real Madrid"
"Sergio Mestre","50 mil €","Real Madrid"
"Dean Huijsen","60,00 mill. €","Real Madrid"
"Raúl Asencio","40,00 mill. €","Real Madrid"
"Éder Militão","30,00 mill. €","Real Madrid"
"Antonio Rüdiger","20,00 mill. €","Real Madrid"
"David Alaba","6,00 mill. €","Real Madrid"
"Jacobo Ramón","1,00 mill. €","Real Madrid"
"Diego Aguado","1,00 mill. €","Real Madrid"
"Jesús Vallejo","1,00 mill. €","Real Madrid"
"Víctor Valdepeñas","500 mil €","Real Madrid"
"Mario Rivas","300 mil €","Real Madrid"
"Fran García","18,00 mill. €","Real Madrid"
"Ferland Mendy","14,00 mill. €","Real Madrid"
"Youssef Enríquez","500 mil €","Real Madrid"
"Trent Alexander-Arnold","75,00 mill. €","Real Madrid"
"Daniel Carvajal","8,00 mill. €","Real Madrid"
"Lucas Vázquez","3,00 mill. €","Real Madrid"
"David Jiménez","400 mil €","Real Madrid"
"Jesús Fortea","200 mil €","Real Madrid"
"Lorenzo Aguado","100 mil €","Real Madrid"
"Aurélien Tchouaméni","75,00 mill. €","Real Madrid"
"Mario Martín","1,50 mill. €","Real Madrid"
"Chema Andrés","800 mil €","Real Madrid"
"Federico Valverde","130,00 mill. €","Real Madrid"
"Eduardo Camavinga","60,00 mill. €","Real Madrid"
"Dani Ceballos","10,00 mill. €","Real Madrid"
"Luka Modrić","4,00 mill. €","Real Madrid"
"Jude Bellingham","180,00 mill. €","Real Madrid"
"Arda Güler","45,00 mill. €","Real Madrid"
"Pol Fortuny","400 mil €","Real Madrid"
"Vinicius Junior","170,00 mill. €","Real Madrid"
"Víctor Muñoz","1,00 mill. €","Real Madrid"
"Hugo de Llanos","200 mil €","Real Madrid"
"Rodrygo","90,00 mill. €","Real Madrid"
"Brahim Díaz","40,00 mill. €","Real Madrid"
"Daniel Yáñez","150 mil €","Real Madrid"
"Kylian Mbappé","180,00 mill. €","Real Madrid"
"Endrick","35,00 mill. €","Real Madrid"
"Gonzalo García","8,00 mill. €","Real Madrid"
"Álvaro Fernández","2,00 mill. €","Sevilla"
"Ørjan Nyland","900 mil €","Sevilla"
"Alberto Flores","300 mil €","Sevilla"
"Matías Árbol","100 mil €","Sevilla"
"Rafa Romero","-","Sevilla"
"Loïc Badé","25,00 mill. €","Sevilla"
"Kike Salas","8,00 mill. €","Sevilla"
"Marcão","2,00 mill. €","Sevilla"
"Tanguy Nianzou","1,50 mill. €","Sevilla"
"Ramón Martínez","1,00 mill. €","Sevilla"
"Andrés Castrín","250 mil €","Sevilla"
"Adrià Pedrosa","7,00 mill. €","Sevilla"
"Diego Hormigo","300 mil €","Sevilla"
"Oso","200 mil €","Sevilla"
"José Ángel Carmona","12,00 mill. €","Sevilla"
"Juanlu Sánchez","12,00 mill. €","Sevilla"
"Gonzalo Montiel","5,00 mill. €","Sevilla"
"Darío Benavides","300 mil €","Sevilla"
"Lucien Agoumé","8,00 mill. €","Sevilla"
"Nemanja Gudelj","3,00 mill. €","Sevilla"
"Valentín Barco","12,00 mill. €","Sevilla"
"Albert Sambi Lokonga","8,00 mill. €","Sevilla"
"Djibril Sow","7,50 mill. €","Sevilla"
"Saúl Ñíguez","3,00 mill. €","Sevilla"
"Manu Bueno","1,50 mill. €","Sevilla"
"Pedro Ortiz","600 mil €","Sevilla"
"Pablo Rivera","200 mil €","Sevilla"
"Alberto Collado","200 mil €","Sevilla"
"Lulo Dasilva","150 mil €","Sevilla"
"Jesús Navas","-","Sevilla"
"Stanis Idumbo","2,50 mill. €","Sevilla"
"Suso","1,50 mill. €","Sevilla"
"Rubén Vargas","7,00 mill. €","Sevilla"
"Lucas Ocampos","6,00 mill. €","Sevilla"
"Chidera Ejuke","4,00 mill. €","Sevilla"
"Isra Domínguez","200 mil €","Sevilla"
"Dodi Lukébakio","20,00 mill. €","Sevilla"
"Peque Fernández","3,50 mill. €","Sevilla"
"Isaac Romero","6,00 mill. €","Sevilla"
"Akor Adams","5,00 mill. €","Sevilla"
"Kelechi Iheanacho","4,50 mill. €","Sevilla"
"Álvaro García Pascual","1,00 mill. €","Sevilla"
"Mateo Mejía","400 mil €","Sevilla"
"Leandro Antonetti","300 mil €","Sevilla"
"Giorgi Mamardashvili","30,00 mill. €","Valencia"
"Stole Dimitrievski","2,50 mill. €","Valencia"
"Jaume Doménech","400 mil €","Valencia"
"Vicent Abril","200 mil €","Valencia"
"Raúl Jiménez","-","Valencia"
"Cristhian Mosquera","30,00 mill. €","Valencia"
"César Tárrega","10,00 mill. €","Valencia"
"Yarek Gasiorowski","7,50 mill. €","Valencia"
"Mouctar Diakhaby","2,00 mill. €","Valencia"
"Cenk Özkacar","1,20 mill. €","Valencia"
"Maximiliano Caufriez","1,00 mill. €","Valencia"
"Álex Serradell","150 mil €","Valencia"
"Iker Córdoba","100 mil €","Valencia"
"José Gayà","9,00 mill. €","Valencia"
"Jesús Vázquez","3,00 mill. €","Valencia"
"Ro Abajas","100 mil €","Valencia"
"Max Aarons","6,00 mill. €","Valencia"
"Thierry Correia","3,00 mill. €","Valencia"
"Dimitri Foulquier","1,50 mill. €","Valencia"
"Rubén Iranzo","300 mil €","Valencia"
"Enzo Barrenechea","10,00 mill. €","Valencia"
"Pepelu","9,00 mill. €","Valencia"
"Hugo Guillamón","2,50 mill. €","Valencia"
"Javi Guerra","25,00 mill. €","Valencia"
"Pedro Alemañ","200 mil €","Valencia"
"Lucas Núñez","25 mil €","Valencia"
"André Almeida","10,00 mill. €","Valencia"
"Iván Jaime","5,00 mill. €","Valencia"
"Germán Valera","1,50 mill. €","Valencia"
"Sergi Canós","1,00 mill. €","Valencia"
"Warren Madrigal","400 mil €","Valencia"
"Pablo López","50 mil €","Valencia"
"Diego López","15,00 mill. €","Valencia"
"Fran Pérez","3,00 mill. €","Valencia"
"Luis Rioja","2,00 mill. €","Valencia"
"David Otorbi","500 mil €","Valencia"
"Martín Tejón","500 mil €","Valencia"
"Hamza Bellari","100 mil €","Valencia"
"Ismael Santana","25 mil €","Valencia"
"Hugo Duro","14,00 mill. €","Valencia"
"Umar Sadiq","5,00 mill. €","Valencia"
"Dani Gómez","1,00 mill. €","Valencia"
"Alberto Marí","1,00 mill. €","Valencia"
"Rafa Mir","800 mil €","Valencia"
"Álex Remiro","18,00 mill. €","R. Sociedad"
"Unai Marrero","600 mil €","R. Sociedad"
"Aitor Fraga","500 mil €","R. Sociedad"
"Egoitz Arana","50 mil €","R. Sociedad"
"Nayef Aguerd","18,00 mill. €","R. Sociedad"
"Igor Zubeldia","12,00 mill. €","R. Sociedad"
"Jon Martín","8,00 mill. €","R. Sociedad"
"Jon Pacheco","6,00 mill. €","R. Sociedad"
"Aritz Elustondo","3,00 mill. €","R. Sociedad"
"Luken Beitia","300 mil €","R. Sociedad"
"Sergio Gómez","20,00 mill. €","R. Sociedad"
"Javi López","7,50 mill. €","R. Sociedad"
"Aihen Muñoz","4,00 mill. €","R. Sociedad"
"Jon Balda","300 mil €","R. Sociedad"
"Jon Aramburu","15,00 mill. €","R. Sociedad"
"Hamari Traoré","2,00 mill. €","R. Sociedad"
"Álvaro Odriozola","1,00 mill. €","R. Sociedad"
"Iñaki Rupérez","300 mil €","R. Sociedad"
"Martín Zubimendi","60,00 mill. €","R. Sociedad"
"Urko González de Zárate","5,00 mill. €","R. Sociedad"
"Luka Sucic","15,00 mill. €","R. Sociedad"
"Beñat Turrientes","10,00 mill. €","R. Sociedad"
"Jon Ander Olasagasti","4,00 mill. €","R. Sociedad"
"Mikel Rodriguez","250 mil €","R. Sociedad"
"Brais Méndez","22,00 mill. €","R. Sociedad"
"Arsen Zakharyan","9,00 mill. €","R. Sociedad"
"Pablo Marín","8,00 mill. €","R. Sociedad"
"Jon Magunazelaia","600 mil €","R. Sociedad"
"Mikel Goti","400 mil €","R. Sociedad"
"Ander Barrenetxea","15,00 mill. €","R. Sociedad"
"Sheraldo Becker","2,50 mill. €","R. Sociedad"
"Arkaitz Mariezkurrena","700 mil €","R. Sociedad"
"Alex Marchal","500 mil €","R. Sociedad"
"Takefusa Kubo","30,00 mill. €","R. Sociedad"
"Dani Díaz","300 mil €","R. Sociedad"
"Mikel Oyarzabal","25,00 mill. €","R. Sociedad"
"Orri Óskarsson","15,00 mill. €","R. Sociedad"
