"name","market_value","team"
"Unai Simón","6,00 mill. €","Athletic"
"Iago Herrerín","4,00 mill. €","Athletic"
"Álex Remiro","1,50 mill. €","Athletic"
"Hodei Oleaga","200 mil €","Athletic"
"Iñigo Martínez","32,00 mill. €","Athletic"
"Yeray Álvarez","25,00 mill. €","Athletic"
"Unai Núñez","15,00 mill. €","Athletic"
"Dani Vivian","250 mil €","Athletic"
"Yuri Berchiche","20,00 mill. €","Athletic"
"Mikel Balenziaga","2,00 mill. €","Athletic"
"Cristian Ganea","1,00 mill. €","Athletic"
"Óscar de Marcos","6,00 mill. €","Athletic"
"Ander Capa","3,00 mill. €","Athletic"
"Iñigo Lekue","2,00 mill. €","Athletic"
"Mikel San José","7,50 mill. €","Athletic"
"Peru Nolaskoain","5,00 mill. €","Athletic"
"Dani García","4,00 mill. €","Athletic"
"Ander Iturraspe","2,50 mill. €","Athletic"
"Beñat Etxebarria","4,00 mill. €","Athletic"
"Unai López","1,50 mill. €","Athletic"
"Mikel Rico","800 mil €","Athletic"
"Raúl García","7,50 mill. €","Athletic"
"Iker Muniain","15,00 mill. €","Athletic"
"Iñigo Córdoba","4,00 mill. €","Athletic"
"Ibai Gómez","4,00 mill. €","Athletic"
"Iñigo Vicente","1,00 mill. €","Athletic"
"Iñaki Williams","50,00 mill. €","Athletic"
"Markel Susaeta","6,00 mill. €","Athletic"
"Kenan Kodro","1,00 mill. €","Athletic"
"Sabin Merino","1,00 mill. €","Athletic"
"Aritz Aduriz","1,00 mill. €","Athletic"
"Gorka Guruzeta","500 mil €","Athletic"
"Jan Oblak","100,00 mill. €","Atlético"
"Antonio Adán","1,50 mill. €","Atlético"
"Álex dos Santos","200 mil €","Atlético"
"José María Giménez","70,00 mill. €","Atlético"
"Stefan Savic","35,00 mill. €","Atlético"
"Diego Godín","20,00 mill. €","Atlético"
"Javi Montero","10,00 mill. €","Atlético"
"Nehuén Pérez","2,50 mill. €","Atlético"
"Tachi","300 mil €","Atlético"
"Lucas Hernández","70,00 mill. €","Atlético"
"Filipe Luís","3,00 mill. €","Atlético"
"Manu Sánchez","-","Atlético"
"Santiago Arias","18,00 mill. €","Atlético"
"Juanfran Torres","3,00 mill. €","Atlético"
"Andrés Solano","200 mil €","Atlético"
"Carlos Isaac","200 mil €","Atlético"
"Rodri","80,00 mill. €","Atlético"
"Thomas Partey","50,00 mill. €","Atlético"
"Gustavo Assunção","-","Atlético"
"Saúl Ñíguez","90,00 mill. €","Atlético"
"Koke","70,00 mill. €","Atlético"
"Roberto Olabe","800 mil €","Atlético"
"Toni Moya","300 mil €","Atlético"
"Cristian Rodríguez","250 mil €","Atlético"
"Mikel Carro","150 mil €","Atlético"
"Thomas Lemar","40,00 mill. €","Atlético"
"Vitolo","18,00 mill. €","Atlético"
"Joaquín Muñoz","300 mil €","Atlético"
"Gelson Martins","28,00 mill. €","Atlético"
"Víctor Mollejo","2,50 mill. €","Atlético"
"Antoine Griezmann","130,00 mill. €","Atlético"
"Ángel Correa","35,00 mill. €","Atlético"
"Álvaro Morata","50,00 mill. €","Atlético"
"Diego Costa","25,00 mill. €","Atlético"
"Nikola Kalinić","10,00 mill. €","Atlético"
"Borja Garcés","3,00 mill. €","Atlético"
"Sergio Camello","2,50 mill. €","Atlético"
"Marc-André ter Stegen","90,00 mill. €","Barcelona"
"Jasper Cillessen","18,00 mill. €","Barcelona"
"Iñaki Peña","1,00 mill. €","Barcelona"
"Jokin Ezkieta","200 mil €","Barcelona"
"Clément Lenglet","60,00 mill. €","Barcelona"
"Samuel Umtiti","45,00 mill. €","Barcelona"
"Gerard Piqué","35,00 mill. €","Barcelona"
"Jeison Murillo","10,00 mill. €","Barcelona"
"Jean-Clair Todibo","8,00 mill. €","Barcelona"
"Thomas Vermaelen","2,50 mill. €","Barcelona"
"Chumi","2,50 mill. €","Barcelona"
"Jorge Cuenca","1,00 mill. €","Barcelona"
"Jordi Alba","50,00 mill. €","Barcelona"
"Juan Miranda","5,00 mill. €","Barcelona"
"Nélson Semedo","40,00 mill. €","Barcelona"
"Moussa Wagué","5,00 mill. €","Barcelona"
"Guillem Jaime","200 mil €","Barcelona"
"Sergio Busquets","50,00 mill. €","Barcelona"
"Uri Busquets","2,50 mill. €","Barcelona"
"Sergi Samper","1,50 mill. €","Barcelona"
"Arthur Melo","70,00 mill. €","Barcelona"
"Sergi Roberto","50,00 mill. €","Barcelona"
"Ivan Rakitic","40,00 mill. €","Barcelona"
"Carles Aleñá","30,00 mill. €","Barcelona"
"Arturo Vidal","15,00 mill. €","Barcelona"
"Riqui Puig","10,00 mill. €","Barcelona"
"Philippe Coutinho","90,00 mill. €","Barcelona"
"Rafinha","15,00 mill. €","Barcelona"
"Denis Suárez","12,00 mill. €","Barcelona"
"Munir El Haddadi","10,00 mill. €","Barcelona"
"Kevin-Prince Boateng","7,00 mill. €","Barcelona"
"Álex Collado","1,00 mill. €","Barcelona"
"Lionel Messi","150,00 mill. €","Barcelona"
"Malcom","40,00 mill. €","Barcelona"
"Carles Pérez","1,50 mill. €","Barcelona"
"Ousmane Dembélé","100,00 mill. €","Barcelona"
"Luis Suárez","50,00 mill. €","Barcelona"
"Paco Alcácer","37,00 mill. €","Barcelona"
"Abel Ruiz","3,00 mill. €","Barcelona"
"Roberto","1,50 mill. €","Espanyol"
"Diego López","1,00 mill. €","Espanyol"
"Mario Hermoso","25,00 mill. €","Espanyol"
"David López","9,00 mill. €","Espanyol"
"Naldo","2,00 mill. €","Espanyol"
"Óscar Duarte","1,00 mill. €","Espanyol"
"Lluís López","300 mil €","Espanyol"
"Iago Indias","200 mil €","Espanyol"
"Adrià Pedrosa","10,00 mill. €","Espanyol"
"Dídac Vilà","4,00 mill. €","Espanyol"
"Roberto Rosales","2,50 mill. €","Espanyol"
"Javi López","1,00 mill. €","Espanyol"
"Pipa","300 mil €","Espanyol"
"Marc Roca","30,00 mill. €","Espanyol"
"Alfa Semedo","2,00 mill. €","Espanyol"
"Sergi Darder","14,00 mill. €","Espanyol"
"Víctor Sánchez","3,00 mill. €","Espanyol"
"Esteban Granero","3,00 mill. €","Espanyol"
"Álex López","400 mil €","Espanyol"
"Óscar Melendo","10,00 mill. €","Espanyol"
"Pablo Piatti","4,00 mill. €","Espanyol"
"Javi Puado","1,00 mill. €","Espanyol"
"Carlos Doncel","200 mil €","Espanyol"
"Lei Wu","10,00 mill. €","Espanyol"
"Léo Baptistão","4,50 mill. €","Espanyol"
"Hernán Pérez","1,50 mill. €","Espanyol"
"Borja Iglesias","28,00 mill. €","Espanyol"
"Facundo Ferreyra","4,00 mill. €","Espanyol"
"Sergio García","1,00 mill. €","Espanyol"
"Víctor Campuzano","300 mil €","Espanyol"
"Thibaut Courtois","55,00 mill. €","Real Madrid"
"Keylor Navas","10,00 mill. €","Real Madrid"
"Andriy Lunin","7,50 mill. €","Real Madrid"
"Kiko Casilla","3,00 mill. €","Real Madrid"
"Luca Zidane","1,00 mill. €","Real Madrid"
"Raphaël Varane","70,00 mill. €","Real Madrid"
"Sergio Ramos","25,00 mill. €","Real Madrid"
"Nacho Fernández","25,00 mill. €","Real Madrid"
"Jesús Vallejo","10,00 mill. €","Real Madrid"
"Javi Sánchez","2,00 mill. €","Real Madrid"
"Adrián Dela","300 mil €","Real Madrid"
"Marcelo","25,00 mill. €","Real Madrid"
"Sergio Reguilón","15,00 mill. €","Real Madrid"
"Fran García","250 mil €","Real Madrid"
"Daniel Carvajal","50,00 mill. €","Real Madrid"
"Lucas Vázquez","25,00 mill. €","Real Madrid"
"Álvaro Odriozola","25,00 mill. €","Real Madrid"
"Marcos Llorente","20,00 mill. €","Real Madrid"
"Casemiro","60,00 mill. €","Real Madrid"
"Toni Kroos","60,00 mill. €","Real Madrid"
"Dani Ceballos","30,00 mill. €","Real Madrid"
"Luka Modrić","20,00 mill. €","Real Madrid"
"Federico Valverde","20,00 mill. €","Real Madrid"
"Álvaro Fidalgo","300 mil €","Real Madrid"
"Jaume Grau","300 mil €","Real Madrid"
"Jaime Seoane","250 mil €","Real Madrid"
"Marco Asensio","60,00 mill. €","Real Madrid"
"Isco","60,00 mill. €","Real Madrid"
"Franchu","200 mil €","Real Madrid"
"Vinicius Junior","70,00 mill. €","Real Madrid"
"Cristo","5,00 mill. €","Real Madrid"
"Gareth Bale","60,00 mill. €","Real Madrid"
"Brahim Díaz","17,00 mill. €","Real Madrid"
"Karim Benzema","40,00 mill. €","Real Madrid"
"Mariano Díaz","20,00 mill. €","Real Madrid"
"Borja Mayoral","4,00 mill. €","Real Madrid"
"Tomáš Vaclík","18,00 mill. €","Sevilla"
"Sergio Rico","12,00 mill. €","Sevilla"
"Juan Soriano","2,50 mill. €","Sevilla"
"Lucho García","250 mil €","Sevilla"
"Javi Díaz","200 mil €","Sevilla"
"Maximilian Wöber","10,00 mill. €","Sevilla"
"Sergi Gómez","9,00 mill. €","Sevilla"
"Simon Kjaer","8,00 mill. €","Sevilla"
"Joris Gnagnon","6,00 mill. €","Sevilla"
"Daniel Carriço","3,00 mill. €","Sevilla"
"Gabriel Mercado","2,50 mill. €","Sevilla"
"Nicolás Pareja","500 mil €","Sevilla"
"Juan Berrocal","500 mil €","Sevilla"
"Sergio Escudero","7,50 mill. €","Sevilla"
"Guilherme Arana","3,00 mill. €","Sevilla"
"Javi Vázquez","100 mil €","Sevilla"
"Sébastien Corchia","2,00 mill. €","Sevilla"
"Ibrahim Amadou","7,00 mill. €","Sevilla"
"Maxime Gonalons","4,00 mill. €","Sevilla"
"Éver Banega","15,00 mill. €","Sevilla"
"Roque Mesa","7,00 mill. €","Sevilla"
"Marko Rog","6,00 mill. €","Sevilla"
"Jesús Navas","4,00 mill. €","Sevilla"
"Pablo Sarabia","40,00 mill. €","Sevilla"
"Franco Vázquez","15,00 mill. €","Sevilla"
"Munir El Haddadi","10,00 mill. €","Sevilla"
"Ganso","2,00 mill. €","Sevilla"
"Borja Lasso","700 mil €","Sevilla"
"Pepe Mena","250 mil €","Sevilla"
